force_amplitude,cycle,cycle_slip,spacing_like_variance
0.34,1,-0.008706727894851735,1.255958575179875e-06
0.34,2,-0.020658062817191493,2.998560194102822e-05
0.34,3,-0.023970318188978674,0.00010140203748143792
0.34,4,-0.023919533148585075,0.00017287415315580022
0.34,5,-0.02404779402997576,0.0002443389825655926
0.34,6,-0.023966511902375365,0.00031580713491964835
0.34,7,-0.023883659005477263,0.00038727505433979977
0.34,8,-0.024006008309388642,0.0004587389579421192
0.34,9,-0.023922779834739453,0.0005302067311123606
0.34,10,-0.024044338602637366,0.0006016705547949835
0.34,11,-0.02396121326345752,0.0006731382824345769
0.4,1,-0.01024663690852326,1.7674921860391063e-06
0.4,2,-1.9755206593151242,0.0006290945174201408
0.4,3,-1.9656757879553495,0.002382250056860671
0.4,4,-1.9651406057687413,0.004118513614596844
0.4,5,-1.9651426191508543,0.005855379989045069
0.4,6,-1.9649775530623599,0.007591969944621935
0.4,7,-1.9648462797816606,0.009328574371849745
0.4,8,-1.9649735709774114,0.011065505852442179
0.4,9,-1.9648596762254658,0.012802118234155398
0.4,10,-1.9650010766779256,0.014539056211508633
0.4,11,-1.9648909809737016,0.01627567047854253
0.5,1,-0.012817064098491522,2.8630030388029226e-06
0.5,2,-2.034389895998621,0.0018824855540729205
0.5,3,-2.8567117265609503,0.005572781923436887
0.5,4,-3.8541229900089267,0.009304171263066239
0.5,5,-4.851682305333739,0.013032564541491527
0.5,6,-5.852860407632316,0.016759585564617593
0.5,7,-6.854242005131259,0.020483803848035845
0.5,8,-7.852348825213636,0.024203880634379914
0.5,9,-8.853795180841896,0.02792225035553531
0.5,10,-9.85187143488621,0.031636402505733976
0.5,11,-10.853359355263722,0.035348786570658326
