M,omega_times_M,omega,sample_cycle,applied_force_at_exact_cycle_boundary,quasistatic_stretch,represented_spacings,mean_stretch,mean_offset_from_quasistatic,variance_c0,rms_nonuniformity,rho1,tau_positive_window,m_eff_positive_window,variance_reduction_vs_alpha_0p62,rms_reduction_vs_alpha_0p62
31,0.62,0.02,2,0.0,1.0,31,0.9885998362700292,0.01140016372997077,2.5640642118875678e-05,0.005063658965498731,0.9334064488437173,10.581361899967506,2.929679590686261,1.0,1.0
31,0.31,0.01,2,0.0,1.0,31,0.9972982956800435,0.0027017043199565327,1.4675637903031144e-06,0.0012114304727482773,0.9341322169028456,10.585151821276998,2.9286306444549552,17.471569064524136,4.179900604622571
31,0.155,0.005,2,0.0,1.0,31,0.9998019965107383,0.00019800348926168887,7.643811898499976e-09,8.742889624431945e-05,0.9308597225807551,10.468244238619434,2.9613370965911208,3354.4313307745583,57.91745273036927
31,0.0775,0.0025,2,0.0,1.0,31,0.999960082687028,3.99173129720376e-05,2.911425190742207e-10,1.706289890593684e-05,0.9291730375592833,10.406206012123913,2.9789915713645265,88069.03986545205,296.76428333856495
63,0.62,0.009841269841269842,2,0.0,1.0,63,0.9903570866424628,0.009642913357537197,1.7489169839724815e-05,0.004182005480594784,0.9662674897314563,21.09566961893583,2.986394892317148,1.0,1.0
63,0.31,0.004920634920634921,2,0.0,1.0,63,0.9976336650684219,0.002366334931578118,1.1805932829148148e-06,0.0010865510953999423,0.9683457965582208,21.52889286214616,2.926300037972305,14.813882217375566,3.848880644729785
63,0.155,0.0024603174603174604,2,0.0,1.0,63,0.9997967047922457,0.00020329520775430598,8.351185192759029e-09,9.138481926862376e-05,0.9667806082556312,21.3124563432541,2.9560177853427483,2094.2141068658084,45.762584136670085
63,0.0775,0.0012301587301587302,2,0.0,1.0,63,0.9999608449490363,3.915505096374616e-05,2.9642823849928943e-10,1.7217091464567685e-05,0.9657567670691245,21.165057801012328,2.976604202658341,58999.67536246294,242.89848777310849
