case,cycle,mean_spacing,variance,max_spacing,min_spacing
100MPa_equivalent,1,0.9999298808201607,9.330896571360454e-10,0.999993825510689,0.9998952515518523
100MPa_equivalent,2,0.9999620787585671,2.9984798838661807e-10,0.9999970111025824,0.999941865278862
100MPa_equivalent,3,0.9999913701414846,1.4748783292302173e-11,0.9999993170055248,0.9999869824084998
100MPa_equivalent,4,0.9999612171489077,3.123543395600465e-10,0.999996966836747,0.9999406238303264
100MPa_equivalent,5,0.9999922652768868,1.2234918193842301e-11,0.999999437496907,0.9999882409828738
100MPa_equivalent,6,0.9999604880405301,3.2356313838054455e-10,0.9999969423494548,0.9999395698890811
100MPa_equivalent,7,0.9999930242620662,1.0237086730586231e-11,0.9999995394997043,0.9999892966358603
100MPa_equivalent,8,0.9999598978510917,3.3329351616050787e-10,0.9999969324109088,0.999938730954157
100MPa_equivalent,9,0.9999936417855371,8.697197939468087e-12,0.9999996277027492,0.9999901407161997
100MPa_equivalent,10,0.9999594517705416,3.413792879496157e-10,0.9999969365422601,0.9999380822405226
100MPa_equivalent,11,0.999994112656333,7.546911409355219e-12,0.9999997000741594,0.9999908144901486
subcritical_slow,1,0.9995888568738324,3.0622078337876817e-08,0.9999621200930733,0.9993934187204692
subcritical_slow,2,0.9972948204779714,1.4680750190687864e-06,0.9997758559607064,0.9958969029206127
subcritical_slow,3,0.9867113716430155,3.987765794899081e-05,0.9989916884320955,0.9794732338356682
subcritical_slow,4,0.9889325870054748,2.4115328842425118e-05,0.99895431289832,0.9827937196339593
subcritical_slow,5,0.9976704291840899,1.1252564467336894e-06,0.9997646371291324,0.9963819960895264
subcritical_slow,6,0.989153031477063,3.121652917721758e-05,0.9992545334056899,0.9817600813650492
subcritical_slow,7,0.9866330562673133,3.335259619644069e-05,0.9991548214388501,0.9811251365931172
subcritical_slow,8,0.9971348886930282,6.103678080207297e-07,0.9994943147836892,0.9961745635924011
subcritical_slow,9,0.991559170682031,2.077651321467335e-05,0.9996150737878715,0.9867214197989036
subcritical_slow,10,0.9848361733934777,4.5077621607330835e-05,0.9987974091048721,0.977452519982787
subcritical_slow,11,0.9967487161965559,1.8972706544677137e-06,0.9992695266908669,0.9947731395658916
subcritical_resonant,1,0.9983254402594307,1.0359425759150167e-06,0.9998429884718805,0.9965156235687873
subcritical_resonant,2,0.9885611826976759,2.5764546092765083e-05,0.9990080633429272,0.9827168916062305
