M,omega,lag_k,scaled_lag_eta,C_k,rho_k
31,0.02,0,0.0,2.5764546092765083e-05,1.0
31,0.02,1,0.03225806451612903,2.4049630037549384e-05,0.9334389183864853
31,0.02,2,0.06451612903225806,2.220424313214721e-05,0.8618138682591564
31,0.02,3,0.0967741935483871,2.022934244047945e-05,0.7851619961649561
31,0.02,4,0.12903225806451613,1.8126477715011696e-05,0.7035434526867824
31,0.02,5,0.16129032258064516,1.5897869905055888e-05,0.6170444395882508
31,0.02,6,0.1935483870967742,1.354649340424095e-05,0.5257804020869177
31,0.02,7,0.22580645161290322,1.1076145607237332e-05,0.42989872856124617
31,0.02,8,0.25806451612903225,8.49148466369149e-06,0.32958021589505027
31,0.02,9,0.2903225806451613,5.798013211318737e-06,0.2250384381096033
31,0.02,10,0.3225806451612903,3.002026576278761e-06,0.11651773586346073
31,0.02,11,0.3548387096774194,1.1053303772428086e-07,0.004290121678305814
31,0.02,12,0.3870967741935484,-2.868813897578402e-06,-0.11134734868797051
31,0.02,13,0.41935483870967744,-5.927778963006935e-06,-0.23007503961699946
31,0.02,14,0.45161290322580644,-9.057601030256675e-06,-0.3515529052072115
31,0.02,15,0.4838709677419355,-1.2249059005527353e-05,-0.4754230469042495
31,0.02,16,0.5161290322580645,-1.5492544332678832e-05,-0.6013125275678456
31,0.02,17,0.5483870967741935,-1.8778158809523822e-05,-0.7288371680181434
31,0.02,18,0.5806451612903226,-2.2095822012682228e-05,-0.8576057165193737
31,0.02,19,0.6129032258064516,-2.5435387774802238e-05,-0.9872243696132774
31,0.02,20,0.6451612903225806,-2.8786781309511116e-05,-1.1173020943533993
31,0.02,21,0.6774193548387096,-3.214015344040071e-05,-1.2474566143987282
31,0.02,22,0.7096774193548387,-3.5486086513730626e-05,-1.3773224021088204
31,0.02,23,0.7419354838709677,-3.881578298822616e-05,-1.5065579982845492
31,0.02,24,0.7741935483870968,-4.212119397568005e-05,-1.6348510012178348
31,0.02,25,0.8064516129032258,-4.539498106155118e-05,-1.7619165848335476
31,0.02,26,0.8387096774193549,-4.863033916586486e-05,-1.887490623385005
31,0.02,27,0.8709677419354839,-5.182070345691792e-05,-2.0113183158879573
31,0.02,28,0.9032258064516129,-5.495947674565534e-05,-2.133143605471414
31,0.02,29,0.9354838709677419,-5.8039832660186234e-05,-2.252701539984993
31,0.02,30,0.967741935483871,-6.105461148843531e-05,-2.369714229337035
63,0.009841269841269842,0,0.0,1.7558702998845592e-05,1.0
63,0.009841269841269842,1,0.015873015873015872,1.696677606853801e-05,0.9662886871344369
63,0.009841269841269842,2,0.031746031746031744,1.6355042517537215e-05,0.9314493512768277
63,0.009841269841269842,3,0.047619047619047616,1.5723450842826378e-05,0.8954790592368995
63,0.009841269841269842,4,0.06349206349206349,1.5071966108577394e-05,0.8583758213558432
63,0.009841269841269842,5,0.07936507936507936,1.44005753187776e-05,0.8201388974871535
63,0.009841269841269842,6,0.09523809523809523,1.3709292993916354e-05,0.7807691145990499
63,0.009841269841269842,7,0.1111111111111111,1.2998166634674868e-05,0.7402691779415279
63,0.009841269841269842,8,0.12698412698412698,1.2267281877043216e-05,0.6986439646396283
63,0.009841269841269842,9,0.14285714285714285,1.1516767222733359e-05,0.6559007930990425
