cell,a,s,a_dot,s_dot
0,1.0224138019638147,0.4492756492748525,-0.0017939031966739323,-0.0028515676122849607
1,1.0223552578607098,0.44932583364594275,-0.0018074044472269819,-0.0028363245096674644
2,1.0222386316434693,0.4494258555540817,-0.0018345749157468415,-0.002805759637729631
3,1.0220646904489503,0.4495749926973122,-0.001875221598279857,-0.002759857613536627
4,1.0218346290853013,0.4497721204908361,-0.0019277648879104207,-0.002698963444218933
5,1.0215498636765012,0.45001566432039086,-0.0019918821547061427,-0.0026230348935214223
6,1.0212146958931373,0.4503023214110725,-0.002067197879267877,-0.0025320705210502035
7,1.0208337393931444,0.4506276261259332,-0.002152398451421789,-0.0024261080041656607
8,1.020412371439541,0.4509860627721498,-0.002245562805517742,-0.002305223058824856
9,1.0199562374003406,0.4513711708820654,-0.002344399695952151,-0.002169528365945595
10,1.0194718004785308,0.4517756482344765,-0.002446200783078173,-0.0020191729664033583
11,1.0189659459309899,0.4521914660034464,-0.0025480252183164397,-0.001854342356345718
12,1.0184456822019867,0.4526100055870522,-0.002646744296150708,-0.0016752574947687105
13,1.017918098479664,0.453022203245422,-0.0027389353126094917,-0.001482174599268319
14,1.0173904973357046,0.45341870416031227,-0.002820933206254869,-0.0012753824421296633
15,1.0168707111769606,0.45379001853700346,-0.002888739758593397,-0.0010551992371367406
16,1.0163675874276494,0.45412668556882163,-0.0029380349982413017,-0.0008220454618408197
17,1.0158917448052094,0.4544194300136117,-0.0029642058386610277,-0.0005763368229119515
18,1.0154548401274197,0.454659315379368,-0.0029614006407605897,-0.00031848321581639965
19,1.015069296516397,0.4548388875705366,-0.0029246469527520625,-4.894299813191343e-05
20,1.0147484484134759,0.45495327592794815,-0.002847064565474519,0.00023132594959791546
21,1.0145051666771077,0.4550003854657471,-0.0027216659393987466,0.0005211033999034478
22,1.014351441987649,0.4549807120507763,-0.002541189910016839,0.0008187910665131487
23,1.014297819948911,0.4548972426235524,-0.002299912656508864,0.0011221607384573826
24,1.0143528146285723,0.45475454604002646,-0.0019944464088610406,0.0014281470880474917
25,1.0145217689799013,0.4545584803059576,-0.0016253098994869484,0.0017325589394010052
26,1.0148063493442092,0.4543158683279455,-0.0011984219765808228,0.0020302531738200624
27,1.0152038272715491,0.4540340670772234,-0.0007264870984390531,0.002315350839027148
28,1.0157074435562385,0.4537205019906338,-0.000229278202198869,0.0025814363174324125
29,1.0163060242059967,0.4533821882646692,0.0002672649102971825,0.002821751731407195
30,1.0169849453699233,0.4530252635368981,0.0007337714857882371,0.003029369401410436
31,1.017726420444669,0.45265555572331074,0.0011405902322247818,0.003197371282501526
32,1.0185100675451637,0.4522772307547442,0.0014597761602186072,0.003319036926325218
33,1.0193136750101586,0.45189252315203696,0.0016687027222593296,0.0033880395056859656
34,1.0201140874549726,0.45150151707219466,0.0017527822164907958,0.003398640264372827
35,1.0208881771887732,0.4511020140353466,0.0017080678152610042,0.0033468544438289954
36,1.0216138618256876,0.4506894756544984,0.0015434808045190253,0.0032305341550540856
37,1.0222719233634816,0.450257062402474,0.0012715627206803937,0.0030494240364337268
38,1.0228474077383247,0.4497956786028805,0.0009108237418549057,0.0028052218875292296
39,1.0232902188616375,0.4492941005796075,0.0004862779052769164,0.002502105779833813
40,1.023573520999087,0.4487392231526581,2.9728442535903454e-05,0.0021463174187388215
41,1.0236573183709468,0.44811750911471465,-0.0004224990904571071,0.0017466453823399093
42,1.0235104884523964,0.4474175608475535,-0.0008307664705790348,0.0013157623184828103
43,1.0231260690566935,0.4466347140317805,-0.0011632047215804357,0.0008730278256950575
44,1.022533570628647,0.44577560991183203,-0.0013995944832505963,0.0004445440617298714
45,1.0217967465244484,0.4448637593662078,-0.0015326542189131884,5.653910276609006e-05
46,1.0209982407845146,0.44394034863461516,-0.0015706270365529736,-0.0002749114688418791
47,1.0202231536473344,0.4430577555061965,-0.001548831717845724,-0.000546942530694668
