set,path,s_over_b,energy_eV_cell,energy_J_m2
linear_joint_start0,direct_110,0.0,0.0,0.0
linear_joint_start0,direct_110,0.016666666666666666,0.0004020323225604723,0.0009069026734096772
linear_joint_start0,direct_110,0.03333333333333333,0.0016080173582396894,0.0036273581979403818
linear_joint_start0,direct_110,0.05,0.0036174620215929233,0.008160254273702403
linear_joint_start0,direct_110,0.06666666666666667,0.006429026279358918,0.014502568059797404
linear_joint_start0,direct_110,0.08333333333333333,0.010039767025498591,0.022647660511090968
linear_joint_start0,direct_110,0.1,0.014444121740133603,0.03258298372069732
linear_joint_start0,direct_110,0.11666666666666667,0.019632673677044035,0.044287295435587466
linear_joint_start0,direct_110,0.13333333333333333,0.025590751430025052,0.05772749996478536
linear_joint_start0,direct_110,0.15,0.03229692601428948,0.07285525790247364
linear_joint_start0,direct_110,0.16666666666666666,0.039721477681196105,0.08960352757567408
linear_joint_start0,direct_110,0.18333333333333332,0.04782491208863892,0.10788321782820207
linear_joint_start0,direct_110,0.2,0.05655661062639131,0.12758014343075455
linear_joint_start0,direct_110,0.21666666666666667,0.06585370205087919,0.1485524797197951
linear_joint_start0,direct_110,0.23333333333333334,0.07564024151708099,0.1706289106614707
linear_joint_start0,direct_110,0.25,0.08582677806152607,0.1936076531817392
linear_joint_start0,direct_110,0.26666666666666666,0.09631038216485759,0.21725651934187218
linear_joint_start0,direct_110,0.2833333333333333,0.10697519097701348,0.24131414625492328
linear_joint_start0,direct_110,0.3,0.11769351016158597,0.26549248162119204
linear_joint_start0,direct_110,0.31666666666666665,0.1283274884786251,0.2894805612444485
linear_joint_start0,direct_110,0.3333333333333333,0.1387313549179636,0.3129495555470498
linear_joint_start0,direct_110,0.35,0.1487541795436905,0.33555899747026935
linear_joint_start0,direct_110,0.36666666666666664,0.1582430896963465,0.35696403756849066
linear_joint_start0,direct_110,0.3833333333333333,0.16704684459269037,0.376823507575002
linear_joint_start0,direct_110,0.4,0.17501964560888697,0.3948085156213749
linear_joint_start0,direct_110,0.4166666666666667,0.1820250386043732,0.41061124908178287
linear_joint_start0,direct_110,0.43333333333333335,0.1879397503663035,0.42395362880682447
linear_joint_start0,direct_110,0.45,0.19265729512665547,0.43459544468830624
linear_joint_start0,direct_110,0.4666666666666667,0.19609119012413073,0.4423416093090626
linear_joint_start0,direct_110,0.48333333333333334,0.19817763171817585,0.4470481947087179
