set,a_over_b,opening_eV_cell,opening_J_m2,traction_eV_per_b
linear_joint_start0,0.816496172881018,0.0,0.0,2.0525248167757582e-13
linear_joint_start0,1.21113598977351,0.28989972136239306,0.6539544647799522,0.5906904090883088
linear_joint_start0,1.605775806666002,0.4270661680339046,0.9633739074661518,0.18026809701716345
linear_joint_start0,2.000415623558494,0.46992007162852906,1.0600435470824034,0.061577649040419416
linear_joint_start0,2.395055440450986,0.48601811973050435,1.096357450321273,0.02642147403375547
linear_joint_start0,2.789695257343478,0.49357203440652314,1.113397536478424,0.013741012094834857
linear_joint_start0,3.1843350742359697,0.49775484303038625,1.1228330970303295,0.008126121666629661
linear_joint_start0,3.578974891128462,0.5003321722603413,1.1286470245126194,0.005222589032016348
linear_joint_start0,3.973614708020954,0.5020363318247294,1.1324912598592134,0.003555837347520312
linear_joint_start0,4.368254524913446,0.5032215211692155,1.135164804558718,0.002527983474647765
linear_joint_start0,4.762894341805938,0.5040783809426953,1.1370977049144828,0.0018597538929061934
linear_joint_start0,5.15753415869843,0.504717458392008,1.1385393329000295,0.001406923577234919
linear_joint_start0,5.552173975590922,0.5052065068435476,1.139642526158978,0.0010894641740217595
linear_joint_start0,5.946813792483414,0.5055889124311879,1.1405051549335725,0.0008604786391600509
linear_joint_start0,6.341453609375906,0.5058934817420015,1.1411922009911042,0.0006912503465608776
linear_joint_start0,6.736093426268398,0.5061399366009516,1.1417481527340714,0.000563535959234695
linear_joint_start0,7.13073324316089,0.5063421401337078,1.142204282537918,0.0004653742922317965
linear_joint_start0,7.525373060053382,0.5065100636181649,1.1425830835656872,0.0003887049298623154
linear_joint_start0,7.920012876945874,0.5066510252646889,1.1429010642028326,0.00032796360730709146
linear_joint_start0,8.314652693838367,0.5067704929609359,1.1431705588853063,0.0002792263187248176
linear_joint_start0,8.709292510730858,0.5068726177129085,1.143400931433452,0.00023967259781938386
linear_joint_start0,9.103932327623351,0.5069605961609436,1.1435993928139134,0.00020724023461836808
linear_joint_start0,9.498572144515842,0.5070369219375006,1.1437715681513807,0.00018039799925421602
linear_joint_start0,9.893211961408335,0.5071035631364248,1.1439218970629434,0.00015799291898723416
linear_joint_start0,10.287851778300826,0.5071620896871261,1.1440539209881802,0.00013914571336464396
linear_joint_start0,10.68249159519332,0.5072137661502463,1.1441704925171996,0.00012317797104673017
linear_joint_start0,11.07713141208581,0.5072596202514708,1.1442739299888993,0.00010956063628860708
linear_joint_start0,11.471771228978303,0.5073004941351186,1.1443661331085806,9.787704454119461e-05
linear_joint_start0,11.866411045870795,0.5073370831394393,1.1444486704170849,8.77960463750465e-05
linear_joint_start0,12.261050862763287,0.5073699654459962,1.1445228461737367,7.90522271902839e-05
linear_joint_start0,12.655690679655779,0.5073996249760101,1.144589752005811,7.143118420870532e-05
linear_joint_start0,13.050330496548272,0.5074264692347834,1.1446503071619043,6.475845230730521e-05
linear_joint_start0,13.444970313440763,0.5074508433383047,1.1447052901530843,5.889109267977774e-05
linear_joint_start0,13.839610130333254,0.5074730411272328,1.1447553638237644,5.371124552814804e-05
linear_joint_start0,14.234249947225747,0.5074933140391301,1.1448010953656476,4.912114583820869e-05
linear_joint_start0,14.628889764118238,0.5075118782409296,1.1448429724071112,4.5039239259211334e-05
linear_joint_start0,15.023529581010731,0.5075289204006806,1.1448814160330876,4.13971324225643e-05
linear_joint_start0,15.418169397903222,0.5075446023872298,1.1449167913865796,3.813718141527639e-05
linear_joint_start0,15.812809214795715,0.5075590651194086,1.1449494163516427,3.521057209139812e-05
linear_joint_start0,16.207449031688206,0.5075724317361171,1.144979568704444,3.257578223465866e-05
linear_joint_start0,16.6020888485807,0.5075848102207955,1.1450074920335338,3.0197342238026092e-05
linear_joint_start0,16.99672866547319,0.5075962955849898,1.1450334006655227,2.80448306854393e-05
linear_joint_start0,17.39136848236568,0.5076069716936396,1.1450574837825578,2.6092055928527357e-05
linear_joint_start0,17.786008299258175,0.5076169127977113,1.1450799088796293,2.431638580444559e-05
linear_joint_start0,18.180648116150664,0.5076261848265755,1.1451008246799097,2.2698196008198498e-05
linear_joint_start0,18.575287933043157,0.5076348464822175,1.1451203636030685,2.1220414010408266e-05
linear_joint_start0,18.96992774993565,0.5076429501692475,1.1451386438631859,1.9868140304443197e-05
linear_joint_start0,19.364567566828143,0.5076505427882725,1.1451557712584362,1.8628332544213363e-05
linear_joint_start0,19.759207383720632,0.5076576664150944,1.145171840703221,1.748954106750603e-05
linear_joint_start0,20.153847200613125,0.5076643588841236,1.1451869375442305,1.6441686590949297e-05
linear_joint_start0,20.548487017505618,0.5076706542911431,1.1452011386945753,1.5475872661950985e-05
linear_joint_start0,20.943126834398107,0.5076765834279091,1.1452145136141587,1.45842268732528e-05
linear_joint_start0,21.3377666512906,0.5076821741589468,1.1452271251596486,1.3759765972482858e-05
linear_joint_start0,21.732406468183093,0.5076874517491633,1.1452390303235072,1.2996280897226796e-05
linear_joint_start0,22.127046285075586,0.5076924391494799,1.1452502808783174,1.2288238485339244e-05
linear_joint_start0,22.521686101968076,0.5076971572465141,1.1452609239400158,1.1630697188671848e-05
linear_joint_start0,22.91632591886057,0.5077016250813957,1.1452710024614954,1.1019234585613185e-05
linear_joint_start0,23.31096573575306,0.5077058600419979,1.1452805556662415,1.0449884866752627e-05
linear_joint_start0,23.705605552645554,0.5077098780322127,1.1452896194301803,9.919084776482886e-06
linear_joint_start0,24.100245369538044,0.5077136936213473,1.145298226618689,9.42362674548439e-06
linear_joint_start0,24.494885186430537,0.50771732017627,1.1453064073846875,8.960618155835883e-06
linear_joint_start1,0.8164961820694091,0.0,0.0,1.6764367671839864e-13
linear_joint_start1,1.2111360034029568,0.2935491447511569,0.6621868173594538,0.5924303725181534
linear_joint_start1,1.6057758247365046,0.425839695176521,0.9606072356071788,0.15993152457344834
linear_joint_start1,2.0004156460700524,0.46090421257106373,1.0397056134798874,0.04425480847564453
linear_joint_start1,2.3950554674036,0.47147833557032354,1.0635586717512133,0.015522085529186188
linear_joint_start1,2.789695288737148,0.4756589828075036,1.0729893566569304,0.0071688145084775
linear_joint_start1,3.1843351100706956,0.47778512609091184,1.0777855009457642,0.004040215795471217
linear_joint_start1,3.5789749314042436,0.47905546080599787,1.080651116182617,0.0025568275794434435
linear_joint_start1,3.973614752737791,0.47988769615274685,1.0825284688692511,0.0017333378763902097
linear_joint_start1,4.368254574071338,0.4804650587015461,1.083830880664646,0.001230939310344003
linear_joint_start1,4.762894395404887,0.48088222051983914,1.084771912385292,0.0009053240117695624
linear_joint_start1,5.157534216738434,0.48119331118903097,1.0854736692932092,0.0006848478614905805
linear_joint_start1,5.552174038071982,0.48143136357687394,1.0860106667803053,0.0005303124552758939
linear_joint_start1,5.9468138594055295,0.481617504874643,1.0864305634679736,0.0004188499481290344
linear_joint_start1,6.341453680739078,0.48176575825626927,1.0867649927677936,0.00033647589246659686
linear_joint_start1,6.736093502072626,0.48188572368436955,1.0870356102315037,0.000274309266207328
linear_joint_start1,7.130733323406173,0.4819841491968945,1.0872576380522325,0.000226527754859305
linear_joint_start1,7.525373144739721,0.48206588842655973,1.0874420250324477,0.00018920787526761573
linear_joint_start1,7.920012966073268,0.48213450360134336,1.0875968068297208,0.000159641169892244
linear_joint_start1,8.314652787406816,0.4821926562864043,1.0877279873905568,0.0001359175876244893
linear_joint_start1,8.709292608740364,0.482242367040159,1.087840124681385,0.00011666423353212202
linear_joint_start1,9.103932430073911,0.4822851918719473,1.0879367287409536,0.00010087730097283009
linear_joint_start1,9.49857225140746,0.48232234459294543,1.0880205376789591,8.781144355892217e-05
linear_joint_start1,9.893212072741008,0.48235478320133907,1.0880937125433245,7.690543602329947e-05
linear_joint_start1,10.287851894074555,0.4823832718832508,1.0881579771816081,6.773127626751724e-05
linear_joint_start1,10.682491715408103,0.4824084261822302,1.088214720134132,5.9958737882289535e-05
linear_joint_start1,11.07713153674165,0.48243074635900596,1.088265069886759,5.333029532831334e-05
linear_joint_start1,11.471771358075198,0.48245064233987656,1.0883099511493568,4.764313104829853e-05
