set,W_aa,W_as,W_ss,eig_min,eig_max
linear_joint_start0,16.395028538031927,-2.948520703310112e-15,2.8946872202059546,2.8946872202059546,16.395028538031927
linear_joint_start1,16.36561647492944,-2.7604345074582114e-15,2.8695707333861704,2.8695707333861704,16.36561647492944
