set,quantity,reciprocal,direct,absolute_error,relative_error,reciprocal_layers,direct_layers,direct_radius
linear_joint_start0,energy,0.0323683851701322,0.03236782885693814,5.563131940597432e-07,1.7187226134893996e-05,10,40,50
linear_joint_start0,d_da,0.1537518472567097,0.15373815755995526,1.3689696754443093e-05,8.904553672112497e-05,10,40,50
linear_joint_start0,d_ds,0.2394350597347695,0.2394350885057158,2.877094629205601e-08,1.201617794267827e-07,10,40,50
linear_joint_start0,d2_daa,14.62216464958465,14.622166129973284,1.480388633012808e-06,1.0124277209367972e-07,10,40,50
linear_joint_start0,d2_das,-4.056309559522808,-4.05630956098788,1.4650716195774294e-09,3.6118338542698e-10,10,40,50
linear_joint_start0,d2_dss,1.17722971278276,1.1772297887022993,7.591953932184481e-08,6.4489991716514e-08,10,40,50
linear_joint_start1,energy,0.032484445601988494,0.03248417480812798,2.7079386051565013e-07,8.336177911710224e-06,10,40,50
linear_joint_start1,d_da,0.16455489109858168,0.1645482274314145,6.663667167172704e-06,4.049674233014873e-05,10,40,50
linear_joint_start1,d_ds,0.23938722221427144,0.2393872362189666,1.4004695153557734e-08,5.850226342371776e-08,10,40,50
linear_joint_start1,d2_daa,14.473722802956413,14.473723523557986,7.206015730787385e-07,4.9786882546558236e-08,10,40,50
linear_joint_start1,d2_das,-3.943093916170416,-3.943093916883577,7.131606416521663e-10,1.8086321469507696e-10,10,40,50
linear_joint_start1,d2_dss,1.1552775372607866,1.1552775742157515,3.695496486599836e-08,3.198795310389788e-08,10,40,50
