source_index,gap_A,energy_difference_eV,conditional_stable,logdet_bath,gaussian_100K_eV,gaussian_300K_eV,gaussian_600K_eV
0,2.6427454609767165,0.0,True,4804.384456600275,0.0,0.0,0.0
2,2.768198869665672,0.048705413546720866,True,4805.015724737681,0.051425337505619895,0.05686518542341796,0.06502495730011505
4,2.893652278354627,0.17457308540514838,True,4805.554428241548,0.17961410317519932,0.18969613871530117,0.20481919202545398
6,3.019105687043582,0.34443076051359434,True,4806.002653179414,0.3514030301166437,0.3653475693227424,0.3862643781318906
8,3.1445590957325376,0.5187114853754462,True,4806.357344858918,0.5272120031822933,0.5442130387959877,0.5697145922165292
10,3.2700125044214925,0.6516196065376696,True,4806.618184243191,0.661243994295603,0.6804927698114698,0.70936593308527
12,3.395465913110448,0.7028547997989478,True,4806.814174199779,0.713323642942858,0.7342613292306783,0.7656678586624088
14,3.5209193217994033,0.6713629295032129,True,4807.0488293874405,0.682842823624009,0.7058026118656016,0.7402422942279903
16,3.646372730488358,0.6165401865962288,True,4807.380405360478,0.6294487310477176,0.6552658199506952,0.6939914533051618
18,3.7718261391773136,0.5802351031258626,True,4807.691275038749,0.5944830813867301,0.6229790379084652,0.665722972691068
20,3.897279547866269,0.5648880091715212,True,4807.953552118077,0.5802660519321834,0.6110221374535079,0.6571562657354947
22,4.022732956555224,0.5695801120444344,True,4808.165992781861,0.5858734908042258,0.6184602483238087,0.667340384603183
24,4.148186365244179,0.5932788501997028,True,4808.327442530189,0.6102678621027097,0.6442458859087232,0.6952129216177436
26,4.273639773933135,0.6348445081076219,True,4808.4301602324795,0.6522760963469089,0.6871392728254828,0.7394340375433437
28,4.39909318262209,0.6929532410329249,True,4808.342989941175,0.710009241546847,0.744121242574691,0.7952892441164573
30,4.524546591311045,0.7652624110045716,True,4807.524651846916,0.7787924654788236,0.8058525744273278,0.8464427378500841
32,4.65,0.8115785945756793,True,4807.180569875793,0.8236261145425993,0.8477211544764394,0.8838637143771995
