state,mode,temperature_K,sigma_coordinate_A,sigma_multiple,max_atom_displacement_A,exact_energy_difference_eV,gaussian_energy_eV,residual_over_kBT
initial,0,100.0,0.27884226623722935,-2.0,0.04291620781098954,0.017234635012795874,0.017234666524290353,-3.6567570872734677e-06
initial,0,100.0,0.27884226623722935,-1.0,0.02145810390549477,0.004308664661675454,0.004308666631072588,-2.2853904731041422e-07
initial,0,100.0,0.27884226623722935,-0.5,0.010729051952747384,0.0010771665346474002,0.001077166657768147,-1.4287569383962313e-08
initial,0,100.0,0.27884226623722935,0.5,0.010729051952747384,0.001077166534686036,0.001077166657768147,-1.428308589004585e-08
initial,0,100.0,0.27884226623722935,1.0,0.02145810390549477,0.0043086646616767865,0.004308666631072588,-2.2853889270717572e-07
initial,0,100.0,0.27884226623722935,2.0,0.04291620781098954,0.017234635012806088,0.017234666524290353,-3.6567559019819724e-06
initial,0,300.0,0.482968972420529,-2.0,0.07433305239681819,0.05170371591545164,0.05170399957287107,-1.0972358880220391e-05
initial,0,300.0,0.482968972420529,-1.0,0.03716652619840909,0.012925982168477734,0.012925999893217768,-6.856235563887411e-07
initial,0,300.0,0.482968972420529,-0.5,0.018583263099204547,0.003231498865523541,0.003231499973304442,-4.2850878462649745e-08
initial,0,300.0,0.482968972420529,0.5,0.018583263099204547,0.0032314988655217647,0.003231499973304442,-4.285094717520019e-08
initial,0,300.0,0.482968972420529,1.0,0.03716652619840909,0.012925982168470629,0.012925999893217768,-6.856238312389428e-07
initial,0,300.0,0.482968972420529,2.0,0.07433305239681819,0.05170371591546541,0.05170399957287107,-1.0972358347698125e-05
initial,0,600.0,0.6830212710025094,-2.0,0.10512281083217019,0.10340686418912659,0.10340799914574214,-2.195104102054859e-05
initial,0,600.0,0.6830212710025094,-1.0,0.052561405416085095,0.025851928882250963,0.025851999786435535,-1.3713481579380149e-06
initial,0,600.0,0.6830212710025094,-0.5,0.026280702708042548,0.006462995515553072,0.006462999946608884,-8.570044578381571e-08
