model,step,shear_x_MPa,a_L0,ux_L0,uy_L0,displacement_from_initial_L0,force_residual_eV_L0,lambda_min,static_unload,experimental_plastic_strain_prediction_available,physical_time_hold,interpretation
old_candidate,0,0.0,0.8164965809280745,-3.179111253682361e-17,-3.133876567899808e-17,0.0,3.254459695538405e-15,4.945211215202439,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,1,3.0,0.8164965871406389,7.701526288469587e-05,1.755083097039434e-08,7.70152651351103e-05,1.2388852964340114e-14,4.9429564582773455,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,2,4.595238095238095,0.8164965955042849,0.00011796785215403166,4.1178585821209657e-08,0.00011796786024161333,5.687502972011796e-15,4.941756806305053,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,3,6.928571428571429,0.8164966140653119,0.0001778687233340236,9.361451282977891e-08,0.00017786875105605329,7.253738022400232e-15,4.940001222885342,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,4,9.880952380952381,0.8164966483229843,0.0002536618354199903,1.9039438085152368e-07,0.0002536619158264569,1.1433779270597633e-14,4.937778392285761,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,5,25.0,0.81649701236345,0.0006418018354229176,1.2188332781359142e-06,0.0006418031377636835,8.186873708392614e-15,4.926369358666315,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,6,50.0,0.8164983067578446,0.001283652243990442,4.875643213119008e-06,0.0012836626635868615,4.659870444156597e-15,4.907408037343266,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,7,100.0,0.8165034856600958,0.002567693241772626,1.9507536993289036e-05,0.002567776626416093,9.941320770062712e-16,4.869121899810314,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,8,0.0,0.8164965809280743,2.2129999678994577e-17,4.3738181567546815e-17,2.4051578103476826e-16,5.50724335111206e-15,4.9452112152024545,True,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,9,-50.0,0.8164983067578446,-0.001283652243990466,4.8756432132906055e-06,0.0012836626635868225,3.357283696111147e-15,4.907408037343262,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
old_candidate,10,0.0,0.8164965809280745,1.235415033447704e-16,7.740866996378739e-17,1.8961599699260767e-16,3.805290900954115e-15,4.945211215202436,True,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,0,0.0,0.816496580927766,-4.1676799082289503e-17,-4.1389817726132915e-17,0.0,9.879492398858974e-15,4.804458154624521,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,1,3.0,0.8164965918770201,7.927153848849829e-05,2.020893054658176e-08,7.927154182067555e-05,8.63893784593764e-15,4.802006590912657,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,2,4.595238095238095,0.8164966066174235,0.00012142391469167938,4.741515289850082e-08,0.00012142392666693654,9.630857201570442e-15,4.80070140541534,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,3,6.928571428571429,0.8164966393301052,0.0001830797491335533,1.0779265507655135e-07,0.00018307979018152113,8.428303906395202e-15,4.798790355840676,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,4,9.880952380952381,0.816496699707272,0.00026109355500836127,2.192303131059684e-07,0.00026109367406627686,4.581512802634641e-15,4.79636893338082,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,5,25.0,0.8164973413155685,0.0006606100348049559,1.4034466187907462e-06,0.0006606119632106901,5.520820063324947e-16,4.7839099750992435,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,6,50.0,0.8164996227584272,0.0013213045859038306,5.614379004587197e-06,0.0013213200152559495,2.1975355020929788e-15,4.76309136484739,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,7,100.0,0.8165087527249338,0.002643285756301937,2.24670038643096e-05,0.002643409258585938,4.906360419939387e-15,4.720635430426676,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,8,0.0,0.8164965809277666,5.86779596804482e-16,1.9634723582598848e-16,8.715647648136037e-16,1.1721753439772694e-14,4.8044581546244585,True,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,9,-50.0,0.8164996227584275,-0.0013213045859036834,5.614379004508184e-06,0.0013213200152557192,5.344320499383118e-16,4.763091364847364,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
opening_exchange,10,0.0,0.816496580927766,8.84173199076627e-17,2.365699458021065e-17,1.4544953622129063e-16,6.404402315319271e-15,4.804458154624521,True,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,0,0.0,0.8164983416260692,7.915107391918397e-18,-2.4875860836913193e-17,0.0,4.0024300145742074e-15,4.393546621110373,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,1,3.0,0.8164983466662155,8.668549029691837e-05,1.2848771391041984e-08,8.668549139567564e-05,1.1031811766742364e-14,4.3922425177090405,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,2,4.595238095238095,0.816498353457045,0.00013278017254948957,3.0154425689731597e-08,0.0001327801765006038,2.4891748861243885e-16,4.391549345357662,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,3,6.928571428571429,0.8164983685445534,0.00020020220580257043,6.858536713131182e-08,0.00020020221936024827,4.937034941559147e-15,4.390536370763677,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,4,9.880952380952381,0.8164983964085684,0.0002855116147009616,1.3956877738187245e-07,0.0002855116540698675,8.226803532482045e-15,4.38925600204945,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,5,25.0,0.8164986929573088,0.000722377607868519,8.928712753443512e-07,0.0007223782451061125,1.066493385693057e-15,4.382749785345107,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,6,50.0,0.8164997489230696,0.0014447733843223312,3.558650643116515e-06,0.001444778452402107,3.3230251860822927e-15,4.371921757074815,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,7,100.0,0.8165039666631332,0.002889786714632338,1.4225059825160518e-05,0.002889827200618494,2.452000756232504e-15,4.349732324204182,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,8,0.0,0.8164983416260693,-2.7458724895611702e-17,-9.217127402864149e-17,1.3455828585200562e-16,5.811292853637052e-16,4.393546621110361,True,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,9,-50.0,0.8164997489230696,-0.001444773384322386,3.558650643088795e-06,0.0014447784524021776,2.127296557002633e-15,4.371921757074817,False,False,False,"local zero-K rigid-half branch, not defect-containing wire"
Mishin_source_only,10,0.0,0.8164983416260693,1.027514114830862e-16,7.735200542933991e-18,1.4961068659046692e-16,8.990730082471697e-16,4.393546621110368,True,False,False,"local zero-K rigid-half branch, not defect-containing wire"
