cutoff_L0,path,fraction,lambda_min,lambda_mid,lambda_max
8.0,GX,0.02,0.04305840506083459,0.043058405060834824,0.06992068550528434
8.0,GX,0.07764705882352942,0.6479465699156717,0.6479465699156755,1.0070452057531645
8.0,GX,0.13529411764705881,1.9607479723867276,1.9607479723867374,2.810621946195901
8.0,GX,0.19294117647058823,3.9693313553751928,3.969331355375214,5.2432172844470095
8.0,GX,0.25058823529411767,6.656861111625609,6.6568611116256315,8.537088916300409
8.0,GX,0.30823529411764705,10.000459116393197,10.000459116393218,13.653919630918786
8.0,GX,0.3658823529411765,13.968750349878105,13.968750349878182,22.096698476927884
8.0,GX,0.42352941176470593,18.517323382586667,18.517323382586767,35.33356511644097
8.0,GX,0.4811764705882353,23.580435753262346,23.5804357532624,54.139325980136604
8.0,GX,0.5388235294117647,29.060190398993758,29.060190398993836,78.17634474586407
8.0,GX,0.5964705882352941,34.8159042263285,34.81590422632863,105.98142863086633
8.0,GX,0.6541176470588236,40.65656410790159,40.656564107901694,135.32502293997214
8.0,GX,0.711764705882353,46.340232256255696,46.34023225625587,163.75687708333533
8.0,GX,0.7694117647058824,51.58391444956221,51.58391444956236,189.11173318856208
8.0,GX,0.8270588235294118,56.084931950637106,56.084931950637255,209.81591098892505
8.0,GX,0.8847058823529412,59.551982195424465,59.55198219542456,224.94695887356113
8.0,GX,0.9423529411764706,61.741181512662784,61.74118151266326,234.09739837577837
8.0,GX,1.0,62.489951975344916,62.48995197534516,237.15212253231675
8.0,GL,0.02,0.015097478892543785,0.015097478892543825,0.08675138280931553
8.0,GL,0.07764705882352942,0.22797668194822282,0.2279766819482232,1.2520036707989222
8.0,GL,0.13529411764705881,0.6948671512817413,0.6948671512817446,3.4701404027556357
8.0,GL,0.19294117647058823,1.4211234518714126,1.4211234518714173,6.203217549861261
8.0,GL,0.25058823529411767,2.412474353858829,2.412474353858831,9.02809794462419
8.0,GL,0.30823529411764705,3.6708066320968316,3.6708066320968458,11.933658526151646
8.0,GL,0.3658823529411765,5.189384105242393,5.189384105242395,15.437167803741623
8.0,GL,0.42352941176470593,6.948852663123868,6.948852663123877,20.455315827849113
8.0,GL,0.4811764705882353,8.914217926452906,8.914217926452915,27.988232583867095
8.0,GL,0.5388235294117647,11.032882069707348,11.032882069707394,38.75067417557106
8.0,GL,0.5964705882352941,13.23452096644893,13.234520966448974,52.88449028613561
8.0,GL,0.6541176470588236,15.433397161905118,15.433397161905202,69.83632462460339
8.0,GL,0.711764705882353,17.532866972041894,17.532866972042033,88.41850837353564
8.0,GL,0.7694117647058824,19.43159702169219,19.431597021692234,107.01207103189765
8.0,GL,0.8270588235294118,21.031107627683355,21.031107627683433,123.83812032018608
8.0,GL,0.8847058823529412,22.243904605642058,22.243904605642104,137.22645501104586
8.0,GL,0.9423529411764706,23.00109101848584,23.00109101848585,145.83535363315448
8.0,GL,1.0,23.25855255803642,23.258552558036538,148.80362299895899
8.0,GK,0.02,0.00976195233970913,0.04853696024184858,0.11699279975400503
8.0,GK,0.07764705882352942,0.15142272369534904,0.7506084404218425,1.6341812508488354
8.0,GK,0.13529411764705881,0.4874483599528557,2.4015601669888413,4.224849414899425
8.0,GK,0.19294117647058823,1.0735620443999465,5.249547095385001,6.8506657244978495
8.0,GK,0.25058823529411767,1.9809548643803057,9.05988322641798,9.623958048752439
8.0,GK,0.30823529411764705,3.2789612653768248,11.569505096316256,15.870870785548314
8.0,GK,0.3658823529411765,5.019682694238634,16.12978592432,24.279044881979054
8.0,GK,0.42352941176470593,7.227319379441971,24.76545368973503,35.006277168837265
8.0,GK,0.4811764705882353,9.89343540826235,38.84316888964112,48.018079591750556
8.0,GK,0.5388235294117647,12.980090700674921,58.41403178918065,63.054570062057834
8.0,GK,0.5964705882352941,16.429715043272783,79.63880874201212,82.06080011563112
8.0,GK,0.6541176470588236,20.178072368655922,97.13278055367354,107.21955227386896
8.0,GK,0.711764705882353,24.16658773194216,114.83707832717454,130.77398917340585
8.0,GK,0.7694117647058824,28.34957742941693,132.11492302115838,149.70076760613958
8.0,GK,0.8270588235294118,32.6926405482565,148.50624351469764,161.6171067934632
8.0,GK,0.8847058823529412,37.161604918324215,163.7913066033715,165.1607794681427
8.0,GK,0.9423529411764706,41.70427600735821,160.1849653485768,177.9712394909402
8.0,GK,1.0,46.23015448637184,147.76840847895244,191.15869626049104
12.0,GX,0.02,0.043015986642138335,0.04301598664213857,0.06966774723356842
12.0,GX,0.07764705882352942,0.6473987240876927,0.6473987240876976,1.0050564593528133
12.0,GX,0.13529411764705881,1.9596719204372173,1.9596719204372277,2.8093400575636593
12.0,GX,0.19294117647058823,3.968244855112952,3.9682448551129754,5.242584035572124
12.0,GX,0.25058823529411767,6.655882187239054,6.6558821872390785,8.53590416667108
12.0,GX,0.30823529411764705,9.999433192334388,9.999433192334411,13.652859745051163
12.0,GX,0.3658823529411765,13.96770335462851,13.967703354628586,22.09579033153843
12.0,GX,0.42352941176470593,18.51630045540422,18.51630045540435,35.332483272002236
12.0,GX,0.4811764705882353,23.579411038209223,23.579411038209283,54.13826344658804
12.0,GX,0.5388235294117647,29.059167713834007,29.059167713834096,78.17539246261012
12.0,GX,0.5964705882352941,34.81490290450783,34.814902904507996,105.98038598838329
12.0,GX,0.6541176470588236,40.65555722308207,40.655557223082134,135.3239726506947
12.0,GX,0.711764705882353,46.33921780410619,46.33921780410627,163.75587066139406
12.0,GX,0.7694117647058824,51.58291024080674,51.58291024080712,189.11070233471594
12.0,GX,0.8270588235294118,56.08393784469394,56.08393784469418,209.81486475347117
12.0,GX,0.8847058823529412,59.55098713376029,59.550987133760415,224.9459508457916
12.0,GX,0.9423529411764706,61.74018721519137,61.74018721519167,234.0963686345046
12.0,GX,1.0,62.48895762994778,62.48895762994807,237.15107252090607
12.0,GL,0.02,0.015066587547960414,0.015066587547960463,0.08655760384671199
12.0,GL,0.07764705882352942,0.2275573429407595,0.22755734294076102,1.2502072745479857
12.0,GL,0.13529411764705881,0.6939249200516748,0.6939249200516782,3.468404671201494
12.0,GL,0.19294117647058823,1.419998754043528,1.41999875404353,6.202566610955488
12.0,GL,0.25058823529411767,2.411453147508873,2.411453147508874,9.027228450047309
12.0,GL,0.30823529411764705,3.669815788783823,3.669815788783846,11.932413522400736
12.0,GL,0.3658823529411765,5.188342777924737,5.188342777924747,15.436142294245219
12.0,GL,0.42352941176470593,6.947812699970568,6.94781269997059,20.454410424500985
12.0,GL,0.4811764705882353,8.913212807015196,8.913212807015206,27.987176016363414
12.0,GL,0.5388235294117647,11.031871804303222,11.031871804303252,38.74959967755876
12.0,GL,0.5964705882352941,13.233481593976071,13.23348159397612,52.883534618302505
12.0,GL,0.6541176470588236,15.432356493146797,15.432356493146855,69.83531221088522
12.0,GL,0.711764705882353,17.53182938996749,17.531829389967534,88.41743322555536
12.0,GL,0.7694117647058824,19.43055001707139,19.43055001707144,107.01107215854054
12.0,GL,0.8270588235294118,21.03006118282191,21.03006118282191,123.83714391800237
12.0,GL,0.8847058823529412,22.242866528694524,22.242866528694606,137.2254151597078
12.0,GL,0.9423529411764706,23.00004691721003,23.000046917210113,145.83432449864858
12.0,GL,1.0,23.257499172785998,23.25749917278605,148.8026400398477
12.0,GK,0.02,0.009716508621863015,0.04848929493128174,0.1167076928264113
12.0,GK,0.07764705882352942,0.150841671400794,0.7500066922093334,1.6321277970222094
12.0,GK,0.13529411764705881,0.48636158464562723,2.400452696446787,4.22378180461408
12.0,GK,0.19294117647058823,1.0725165977111812,5.248493430283147,6.849936979288204
