target,reference,prediction,units,normalized_residual,role
normal_strain_force_ev,0.0,1.4210854715202004e-14,eV/strain,1.4210854715202004e-13,exact
cohesive_ev_atom,3.36,3.3600000000000048,eV/atom,7.269317423140907e-14,exact
hydrostatic_strain_curvature_ev,74.01042469890372,66.46744456429309,eV/strain^2,-2.038356127612482,fit
normal_strain_curvature_ev,12.646038954154417,14.647106839490085,eV/strain^2,3.1647346534201324,fit
simple_shear_strain_curvature_ev,2.90236959603544,2.541612183460506,eV/strain^2,-2.4859508800513814,fit
perfect_Haa,19.66091286328976,22.516023216576357,eV/L0^2,1.4521758847818151,fit
perfect_Hxx,4.393593035123306,4.804458154627653,eV/L0^2,0.9351460552213302,fit
saddle_energy_at_source_state,0.07624909750742465,0.07390967986058666,eV/cell,-0.30681250313948766,fit
saddle_normal_force_at_source_state,1.4903612010162394e-15,0.007593854700010283,eV/L0,0.23926653503879333,fit
fault_energy_at_source_state,0.06670794504308616,0.06739277099234095,eV/cell,0.10266032761351919,fit
fault_normal_force_at_source_state,5.29078226360765e-15,0.022920464973988253,eV/L0,0.7221760821676744,fit
saddle_path_force_at_source_state,2.296700476743968e-16,-0.00926899339572873,eV/L0,-0.2920466641389595,fit
opening_1.1h_energy,0.05670265774764735,0.049220539992461954,eV/cell,-1.319535635963349,fit
opening_1.5h_energy,0.4710312483934004,0.40393118122149496,eV/cell,-1.4245353657697066,fit
opening_2h_energy,0.7060534019484034,0.6801383687783256,eV/cell,-0.3670406954851217,fit
opening_40h_energy,0.7719163228888833,0.8315859767841527,eV/cell,0.7730067641523204,fit
direct_quarter_energy,0.117221996542065,0.14403009034010056,eV/cell,2.2869507932681814,heldout
direct_half_energy,0.26732847628894163,0.3376819095468408,eV/cell,2.6317223752047183,heldout
oblique_energy,0.13339289745734875,0.09513133904499071,eV/cell,-2.868335506738044,heldout
opening_1.25h_energy,0.24853683654490819,0.1846019676005528,eV/cell,-2.572450419549899,heldout
opening_3h_energy,0.7719163228888833,0.746328814791251,eV/cell,-0.3314803345765707,heldout
saddle_Haa,12.717337762538286,18.761686695137534,eV/L0^2,4.752841392955849,heldout
saddle_Hxx,-0.18642463121762062,0.339765026183779,eV/L0^2,28.225329129773534,heldout
fault_Haa,14.140554350039636,17.836333624511774,eV/L0^2,2.613602821350337,heldout
fault_Hxx,2.4858929774856264,1.8406413677768496,eV/L0^2,-2.595653214167816,heldout
