model,a_over_h,energy_J_m2,normal_traction_MPa,Haa_eV_L0sq
old_candidate,1.00001,1.7220184136329745e-09,1.4728637808271499,22.899370481109337
old_candidate,1.0055655000000001,0.0005221587020433577,793.9431009508169,21.47106151701606
old_candidate,1.0111210000000002,0.0020411599876237595,1536.651137227739,20.113403655389433
old_candidate,1.0166765,0.004493978238697441,2232.064723754367,18.823249512121723
old_candidate,1.022232,0.007820719793774213,2882.5415711713995,17.59758600906439
old_candidate,1.0277875,0.01196448479713504,3490.3340464848375,16.433528706858603
old_candidate,1.0333430000000001,0.016871233297654123,4057.59367151689,15.328316364615398
old_candidate,1.0388985000000002,0.02248965706666126,4586.375430922466,14.279305719537447
old_candidate,1.044454,0.028771056892578063,5078.6418975052575,13.283966479527933
old_candidate,1.0500095,0.035669225119807815,5536.267182319498,12.339876521820162
old_candidate,1.055565,0.04314033320899557,5961.040716793767,11.444717290668404
old_candidate,1.0611205000000001,0.05114282410517396,6354.670873866873,10.59626938719408
old_candidate,1.0666760000000002,0.05963730920879597,6718.788434876939,9.792408344544445
old_candidate,1.0722315,0.0685864697541045,7054.949908722523,9.031100581605076
old_candidate,1.077787,0.07795496240517802,7364.6407094598635,8.31039952863625
old_candidate,1.0833425,0.08770932889387473,7649.278198598773,7.628441918266252
old_candidate,1.0888980000000001,0.09781790952220414,7910.214597577171,6.983444235502033
old_candidate,1.0944535,0.10825076036832734,8148.739776218294,6.373699320470633
old_candidate,1.100009,0.11897957403680468,8366.08392242495,5.797573117813316
old_candidate,1.1055645,0.12997760380249324,8563.42009826066,5.253501566797654
old_candidate,1.11112,0.14121959100374679,8741.866687339878,4.739987626379369
old_candidate,1.1166755000000002,0.15268169554691194,8902.489738251148,4.255598429618919
old_candidate,1.122231,0.16434142938976634,9046.305208536152,3.798962562029005
old_candidate,1.1277865,0.17617759287772294,9174.28111355845,3.368767458603719
old_candidate,1.133342,0.18817021381215218,9287.33958441237,2.963756914457044
old_candidate,1.1388975000000001,0.2003004891347793,9386.358838841907,2.5827287041731735
old_candidate,1.144453,0.21255072911811138,9472.17506897038,2.2245323051438444
old_candidate,1.1500085,0.22490430395592,9545.58424947337,1.8880667203446346
old_candidate,1.155564,0.23734559265285132,9607.34386967008,1.5722783961695015
old_candidate,1.1611195,0.24985993411645127,9658.174592853724,1.2761592311109062
old_candidate,1.1666750000000001,0.26243358035912945,9698.761846032812,0.9987446712449533
old_candidate,1.1722305,0.2750536517217387,9729.757343117626,0.7391118886293064
old_candidate,1.177786,0.2877080940340916,9751.780544444788,0.4963780388949388
old_candidate,1.1833415,0.3003856376317012,9765.420055406586,0.2696985944561163
old_candidate,1.188897,0.3130757581511211,9771.234966825283,0.05826574991807476
old_candidate,1.1944525000000001,0.32576863903013287,9769.756139592848,-0.1386931035936545
old_candidate,1.200008,0.3384551356416654,9761.487435982239,-0.32191683831679985
old_candidate,1.2055635,0.3511267409940317,9746.906899927297,-0.49211198694597424
old_candidate,1.211119,0.36377555293226055,9726.467888462475,-0.6499540798013612
old_candidate,1.2166745,0.37639424277860806,9700.600156415256,-0.7960889248099443
old_candidate,1.2222300000000001,0.388976025353022,9669.71089634644,-0.9311338329119643
old_candidate,1.2277855000000002,0.40151463031624335,9634.185735644412,-1.0556787913879395
old_candidate,1.233341,0.41400427478142243,9594.389692590341,-1.1702875874865182
old_candidate,1.2388965000000003,0.4264396371421294,9550.668093130069,-1.2754988846229427
old_candidate,1.2444520000000001,0.43881583206636476,9503.347450007861,-1.3718272533130893
old_candidate,1.2500075,0.45112838660916366,9452.736305842325,-1.4597641589063022
old_candidate,1.255563,0.46337321739785065,9399.126041652717,-1.5397789080828295
old_candidate,1.2611185000000003,0.475546608845754,9342.791652275182,-1.6123195559889432
old_candidate,1.266674,0.48764519235256903,9283.992490043309,-1.6778137757935845
old_candidate,1.2722295000000003,0.49966592645084906,9222.972978045033,-1.736669692365104
old_candidate,1.2777850000000002,0.5116060778599354,9159.963294208846,-1.7892766816850632
old_candidate,1.2833405,0.5234632034103099,9095.180027415647,-1.8360061375386438
old_candidate,1.288896,0.5352351328025673,9028.826806779382,-1.8772122069465862
old_candidate,1.2944515,0.546919952167194,8961.094905187672,-1.9132324957329514
old_candidate,1.300007,0.558515988391948,8892.163818146371,-1.94438874555504
old_candidate,1.3055625000000004,0.5700217941860362,8822.201818924234,-1.970987483658254
old_candidate,1.311118,0.5814361338501642,8751.366490950913,-1.993320646556139
old_candidate,1.3166735,0.5927579697242396,8679.805238379973,-2.0116661787786763
old_candidate,1.322229,0.6039864492843626,8607.655775686459,-2.0262886077758586
old_candidate,1.3277845,0.6151208928628323,8535.046597134658,-2.0374395960101612
old_candidate,1.33334,0.6261607819652308,8462.097426911463,-2.0453584712224195
old_candidate,1.3388955,0.6371057481601372,8388.919650689291,-2.050272735806982
old_candidate,1.344451,0.6479555625178667,8315.616729348822,-2.0523985561869664
old_candidate,1.3500065,0.6587101255752521,8242.284595560677,-2.0519412330374043
old_candidate,1.3555619999999997,0.6693694578050895,8169.0120338960405,-2.049095653163004
old_candidate,1.3611175,0.679933690568708,8095.881045107816,-2.0440467237984334
old_candidate,1.366673,0.6904030575321349,8022.967195196992,-2.0369697900624537
old_candidate,1.3722285,0.7007778865258046,7950.339949854033,-2.0280310362616136
old_candidate,1.3777840000000001,0.7110585918297596,7878.062994839879,-2.0173878717068536
old_candidate,1.3833395,0.7212456668661056,7806.194542849051,-2.0051893016743674
old_candidate,1.3888949999999998,0.7313396772816798,7734.787627374547,-1.9915762841122024
old_candidate,1.3944505,0.7413412544040857,7663.89038407345,-1.976682072666327
old_candidate,1.400006,0.7512510890556046,7593.546320112383,-1.9606325465723993
old_candidate,1.4055615000000001,0.7610699257092668,7523.794571952827,-1.9435465279344744
old_candidate,1.4111170000000002,0.770798556972663,7454.670152017558,-1.9255360868879272
old_candidate,1.4166725,0.780437818385028,7386.204184663178,-1.9067068351205592
old_candidate,1.4222279999999998,0.7899885835143042,7318.424131865958,-1.8871582082044935
old_candidate,1.4277835,0.799451759340755,7251.354009013604,-1.8669837371712314
old_candidate,1.433339,0.8088282819148205,7185.014591179329,-1.8462713097422383
old_candidate,1.4388945,0.8181191122767941,7119.4236102408495,-1.8251034216094988
old_candidate,1.4444500000000002,0.8273252326269696,7054.595943193771,-1.8035574181427054
old_candidate,1.4500055,0.8364476427347147,6990.543791993531,-1.7817057268835228
old_candidate,1.4555610000000003,0.8454873565759178,6927.2768552502275,-1.7596160811713681
old_candidate,1.4611165000000002,0.8544453991883556,6864.802492086613,-1.7373517352304373
old_candidate,1.466672,0.863322803735017,6803.12587845868,-1.7149716710336507
old_candidate,1.4722275,0.8721206087656076,6742.250156227344,-1.6925307972458499
old_candidate,1.477783,0.8808398556673278,6682.17657525912,-1.6700801405355068
old_candidate,1.4833385000000001,0.8894815862957537,6622.904628823125,-1.6476670295328977
old_candidate,1.4888940000000004,0.8980468407774008,6564.432182542857,-1.6253352717005942
old_candidate,1.4944495,0.9065366554757527,6506.755597150904,-1.6031253233716387
old_candidate,1.500005,0.914952061112938,6449.869845286637,-1.5810744532003749
old_candidate,1.5055605,0.9232940810391695,6393.768622567912,-1.5592168992612438
old_candidate,1.511116,0.9315637296432038,6338.444453159721,-1.5375840200213375
old_candidate,1.5166715000000002,0.9397620108960444,6283.888790054546,-1.5162044394039855
old_candidate,1.522227,0.9478899170220996,6230.092110272331,-1.495104186151916
old_candidate,1.5277825,0.9559484272903815,6177.044005179389,-1.4743068276908327
old_candidate,1.533338,0.9639385069201744,6124.73326612011,-1.453833598686542
old_candidate,1.5388935,0.9718611060949374,6073.1479655468775,-1.433703524481417
old_candidate,1.5444490000000002,0.9797171590788626,6022.27553382876,-1.4139335395893011
old_candidate,1.5500045,0.9875075834303625,5972.10283191175,-1.3945386014212677
old_candidate,1.55556,0.9952332793074313,5922.616219998305,-1.375531799408373
old_candidate,1.5611155,1.0028951288596781,5873.801622408002,-1.3569244596815369
old_candidate,1.566671,1.0104939957022345,5825.644588774577,-1.3387262454632531
old_candidate,1.5722265000000002,1.0180307244669726,5778.13035173066,-1.3209452533198713
old_candidate,1.577782,1.0255061404261567,5731.243881225082,-1.3035881054185092
old_candidate,1.5833375,1.032921049184918,5684.969935613112,-1.286660037927427
old_candidate,1.588893,1.0402762364377964,5639.293109654839,-1.2701649856937924
old_candidate,1.5944485000000002,1.0475724677858091,5594.197879552915,-1.254105663328571
old_candidate,1.600004,1.05481048861016,5549.668645155168,-1.2384836428236197
old_candidate,1.6055594999999998,1.0619910239989652,5505.68976944406,-1.223299427821882
old_candidate,1.611115,1.069114778723687,5462.245615430708,-1.2085525246578184
old_candidate,1.6166705,1.0761824372616522,5419.320580566317,-1.1942415102810506
old_candidate,1.622226,1.0831946638619676,5376.899128781023,-1.1803640971726201
old_candidate,1.6277815000000002,1.0901521026513752,5334.965820255156,-1.1669171953597999
old_candidate,1.633337,1.097055377777503,5293.505339025247,-1.1538969716318337
old_candidate,1.6388924999999999,1.1039050935864811,5252.502518522433,-1.1412989060557097
old_candidate,1.6444480000000001,1.1107018348326858,5211.942365138662,-1.129117845888068
old_candidate,1.6500035,1.1174461669174676,5171.810079911551,-1.1173480569759033
old_candidate,1.655559,1.1241386361553203,5132.091078416262,-1.1059832727363998
old_candidate,1.6611145,1.1307797700644617,5092.771008949209,-1.0950167408027107
old_candidate,1.6666699999999999,1.1373700776800981,5053.835769085624,-1.0844412674202757
old_candidate,1.6722255000000004,1.1439100498881145,5015.271520689645,-1.074249259675415
old_candidate,1.677781,1.1504001597773976,4977.064703453319,-1.064432765635274
old_candidate,1.6833365,1.1568408630087703,4939.202047037353,-1.0549835124761087
old_candidate,1.688892,1.163232598198749,4901.6705818844075,-1.0458929426739971
old_candidate,1.6944474999999999,1.169575787316732,4864.457648773007,-1.0371522483302094
old_candidate,1.7000030000000002,1.1758708360936154,4827.550907176921,-1.028752403700958
old_candidate,1.7055585,1.1821181344405938,4790.938342493679,-1.0206841959992108
old_candidate,1.711114,1.1883180568766614,4754.608272202206,-1.0129382545340695
old_candidate,1.7166695,1.1944709629634516,4718.549351008048,-1.0055050782512869
old_candidate,1.722225,1.2005771977461717,4682.750575032321,-0.9983750617364372
old_candidate,1.7277805000000002,1.206637092199264,4647.201285098066,-0.9915385197403227
old_candidate,1.733336,1.2126509636758511,4611.8911691658295,-0.9849857102844798
old_candidate,1.7388915,1.2186191163598963,4576.810263968197,-0.9787068564027254
old_candidate,1.744447,1.224541841719854,4541.94895589114,-0.9726921665729115
old_candidate,1.7500025,1.230419418963124,4507.2979811478435,-0.9669318538915309
old_candidate,1.7555580000000002,1.2362521154901616,4472.848425289152,-0.9614161540418933
old_candidate,1.7611135,1.2420401873476703,4438.591722092887,-0.9561353421053266
old_candidate,1.766669,1.247783879679897,4404.519651872249,-0.9510797482629898
old_candidate,1.7722245,1.2534834271774533,4370.624339242663,-0.9462397724344784
old_candidate,1.7777800000000001,1.2591390545227248,4336.898250383526,-0.9416058978980969
old_candidate,1.7833355000000002,1.2647509768316962,4303.334189831159,-0.9371687039359275
old_candidate,1.7888909999999998,1.2703194000909983,4269.925296836488,-0.9329188775456814
old_candidate,1.7944465,1.275844521590294,4236.665041320532,-0.9288472242598358
old_candidate,1.800002,1.2813265303488657,4203.547219458548,-0.9249446781113018
old_candidate,1.8055575,1.286765607536417,4170.565948922878,-0.921202310783591
old_candidate,1.8111130000000002,1.2921619268874522,4137.715663812723,-0.9176113399820599
old_candidate,1.8166685,1.2975156551089035,4104.9911092983975,-0.9141631370618415
old_candidate,1.8222239999999998,1.3028269522804976,4072.3873360056623,-0.9108492339466829
old_candidate,1.8277795000000001,1.3080959722479266,4039.8996941650535,-0.9076613293718069
old_candidate,1.833335,1.3133228630079536,4007.5238275497773,-0.9045912944828689
old_candidate,1.8388905,1.318507767085837,3975.2556672245105,-0.9016311778219449
old_candidate,1.8444460000000003,1.323650821904344,3943.091425126695,-0.898773209730341
old_candidate,1.8500014999999999,1.3287521601442553,3911.0275875003963,-0.8960098061971138
old_candidate,1.8555570000000003,1.3338119100965156,3879.0609082021197,-0.8933335721811791
