model,samples,a_over_h,traction_MPa,Haa_eV_L0sq
old_candidate,91,1.1904995059176189,9771.534200114822,1.3322676295501878e-14
old_candidate,91,3.5735820390135857,-9.941765872265884e-09,3.2959746043559335e-15
old_candidate,91,4.932449335180376,36.50718880765883,-9.86623976961809e-18
old_candidate,181,1.1904995059176189,9771.534200114822,1.3322676295501878e-14
old_candidate,181,3.5735820390133317,-9.941328612095133e-09,-1.0061396160665481e-14
old_candidate,181,4.93244933518038,36.50718880765897,-4.651227319962814e-17
best_feasible_same_family,91,1.2229010186495959,9016.965093941903,-2.3092638912203256e-14
best_feasible_same_family,91,2.831058107297413,-4.5475057758038915e-11,1.1102230246251565e-16
best_feasible_same_family,91,4.039912184248594,252.8736233163223,-4.683753385137379e-17
best_feasible_same_family,181,1.2229010186493317,9016.965093941912,3.4496849821152864e-12
best_feasible_same_family,181,2.831058107297413,-4.5475057758038915e-11,1.1102230246251565e-16
best_feasible_same_family,181,4.039912184248593,252.87362331632184,7.112366251504909e-17
