model,a_L0,ux_L0,uy_L0,step_L0,gradient_max_abs_error_eV_L0,hessian_max_abs_error_eV_L0sq,gradient_relative_norm_error,hessian_relative_norm_error
opening_exchange,0.8303770228034973,0.173,0.079,2e-05,3.049536068111536e-08,4.7063032582173037e-07,6.229746388297353e-08,1.6384732787546814e-08
opening_exchange,0.8303770228034973,0.173,0.079,1e-05,7.235147481132742e-09,1.1718527304083182e-07,1.4811768364844896e-08,4.080626864982231e-09
opening_exchange,0.9879608629225485,-0.217,0.341,2e-05,5.753611587167029e-09,1.0226974556104551e-07,6.653377411392752e-09,2.2091407486653763e-08
opening_exchange,0.9879608629225485,-0.217,0.341,1e-05,7.048723826841297e-10,2.576150137656441e-08,1.0438111023214206e-09,5.56198054427998e-09
opening_exchange,1.2329098372008662,0.307,-0.071,2e-05,5.155456062055919e-10,2.078026195562188e-09,5.724974380493328e-10,2.046205216312606e-09
opening_exchange,1.2329098372008662,0.307,-0.071,1e-05,1.112318903651044e-09,5.792251123182268e-10,1.2011844071392612e-09,5.430802846078296e-10
