beta,alpha3,static_fit_loss,inspected_curvature_lower_bound,positive_LJ,exact_residual,kkt,bulk_margin,D3_K3_column_correlation,D3_K3_singular_ratio,elapsed_seconds,material_accepted
0.0,0.0,2115.9022212355862,18.46444670707517,False,9.325873406851315e-14,3.115063762493264e-11,0.006245987812910758,0.9044170698218669,0.2240315260862926,0.025119900004938245,False
0.1,91.70977723027175,2141.4282265970496,18.46444670707517,False,9.769962616701378e-14,2.14430695422152e-11,0.00624661467469666,0.9292399782106789,0.19151414349418738,0.021488200000021607,False
1.0,917.0977723027174,2233.879306961441,18.46444670707517,True,3.108624468950438e-14,1.6910917111090384e-11,0.006246204621535253,0.9826267530990521,0.09360951923504177,0.021349000016925856,False
10.0,9170.977723027174,2234.271925837237,18.46444670707517,True,2.220446049250313e-14,1.6711965145077556e-11,0.006242654416677668,0.9987283821772672,0.025223271427975265,0.020076300017535686,False
100.0,91709.77723027175,2225.8610677451366,18.46444670707517,True,2.6645352591003757e-14,2.5015367555170087e-10,0.00624228239888962,0.9999292001315148,0.005949889700004965,0.020572900015395135,False
