cells,spacing,time_model,L1_finite_grid_vs_continuum_SG,coarse_mass_error,continuum_mass_error
12,0.16666666666666666,0.03,0.002361879736163942,0.0,2.220446049250313e-16
12,0.16666666666666666,0.3,0.0074222014039028615,4.440892098500626e-16,0.0
12,0.16666666666666666,1.0,0.007990716864993672,3.3306690738754696e-16,0.0
24,0.08333333333333333,0.03,0.0006626350445853161,3.3306690738754696e-16,2.220446049250313e-16
24,0.08333333333333333,0.3,0.001974819036770395,1.887379141862766e-15,8.881784197001252e-16
24,0.08333333333333333,1.0,0.0019214286251436688,5.551115123125783e-15,2.1094237467877974e-15
48,0.041666666666666664,0.03,0.00016687351345078978,4.440892098500626e-16,2.220446049250313e-16
48,0.041666666666666664,0.3,0.00048792195659761345,9.992007221626409e-16,2.220446049250313e-15
48,0.041666666666666664,1.0,0.0004827805646442013,3.552713678800501e-15,5.329070518200751e-15
96,0.020833333333333332,0.03,4.202133225387817e-05,1.1102230246251565e-15,1.1102230246251565e-15
96,0.020833333333333332,0.3,0.00012176270012995133,9.769962616701378e-15,6.8833827526759706e-15
96,0.020833333333333332,1.0,0.0001204281174758071,2.964295475749168e-14,1.9095836023552692e-14
192,0.010416666666666666,0.03,1.0546028383354998e-05,1.6653345369377348e-15,4.440892098500626e-16
192,0.010416666666666666,0.3,3.0420035628845347e-05,2.3425705819590803e-14,6.217248937900877e-15
192,0.010416666666666666,1.0,3.009046990590616e-05,8.637535131583718e-14,4.440892098500626e-15
