model,ring,nominal_shear_MPa,gamma_y,gamma_z,actual_xy_MPa,actual_xz_MPa,xz_error_MPa,actual_yz_MPa,actual_zz_MPa,zero_load_zz_MPa,normal_reaction_increment_MPa,energy_change_eV_atom
unchanged,15,-20.0,6.799103665255139e-05,-0.0007211538461538457,-0.0003223563913019203,-19.99930016285425,0.0006998371457491714,-0.05895717675334266,-0.3209681186648576,-0.17045206114644912,-0.15051605751840846,7.475059953646742e-07
unchanged,15,-5.0,1.6997759163137847e-05,-0.0001802884615384614,-5.037056265432218e-06,-4.999989064802631,1.0935197368944216e-05,0.01675569649150088,-0.17985964483966005,-0.17045206114644912,-0.00940758369321093,4.6719924806089664e-08
unchanged,15,0.0,0.0,0.0,3.6083667876828968e-31,-4.502457751840028e-31,-4.502457751840028e-31,0.021803443757064552,-0.17045206114644912,-0.17045206114644912,0.0,0.0
unchanged,15,5.0,-1.6997759163137847e-05,0.0001802884615384614,5.037035500240898e-06,4.999989064834652,-1.0935165348335829e-05,0.0167556964992785,-0.17985964484234676,-0.17045206114644912,-0.009407583695897642,4.671992480672483e-08
unchanged,15,20.0,-6.799103665255139e-05,0.0007211538461538457,0.0003223563709578935,19.999300162879475,-0.0006998371205249043,-0.05895717674978614,-0.3209681186635253,-0.17045206114644912,-0.1505160575170762,7.475059953667124e-07
unchanged,15,50.0,-0.0001699775916313785,0.0018028846153846142,0.005035398707975012,49.98906633950686,-0.010933660493137154,-0.48283371950719806,-1.1109925974638302,-0.17045206114644912,-0.9405405363173811,4.671464734339849e-06
joint_trial,7,-50.0,0.00016997759163138272,-0.0018028846153846172,-0.005979171255411863,-49.988367460621056,0.011632539378943818,0.4214942487219342,-8.346741726840943,-7.35007243983208,-0.9966692870088627,4.671427920059977e-06
joint_trial,7,-20.0,6.79910366525531e-05,-0.0007211538461538468,-0.0003827891568817964,-19.999255417046918,0.0007445829530823289,0.8516288425846386,-7.509575899095477,-7.35007243983208,-0.15950345926339704,7.475050528066286e-07
joint_trial,7,-5.0,1.6997759163138274e-05,-0.0001802884615384617,-5.981351340426646e-06,-4.999988365629291,1.1634370708613062e-05,0.9284621821144782,-7.360041812062756,-7.35007243983208,-0.009969372230676399,4.6719920819335696e-08
joint_trial,7,0.0,0.0,0.0,-1.3408564781237612e-29,3.539985579849058e-30,3.539985579849058e-30,0.9335846589607583,-7.35007243983208,-7.35007243983208,0.0,0.0
joint_trial,7,5.0,-1.6997759163138274e-05,0.0001802884615384617,5.981370101992038e-06,4.9999883656050566,-1.1634394943449422e-05,0.9284621820940882,-7.360041812062109,-7.35007243983208,-0.009969372230028917,4.671992081885085e-08
joint_trial,7,20.0,-6.79910366525531e-05,0.0007211538461538468,0.00038278914493732985,19.999255417060127,-0.0007445829398733395,0.8516288425857254,-7.509575899094771,-7.35007243983208,-0.15950345926269094,7.475050528077323e-07
joint_trial,7,50.0,-0.00016997759163138272,0.0018028846153846172,0.005979171263391854,49.9883674606123,-0.011632539387697705,0.4214942487321427,-8.346741726840527,-7.35007243983208,-0.996669287008447,4.671427920058222e-06
joint_trial,11,-50.0,0.00016997759163138272,-0.0018028846153846172,-0.005979171255411835,-49.988367460621056,0.011632539378943818,-0.24876116027669298,-3.056588837677702,-2.0599195065797113,-0.9966693310979906,4.671427920059977e-06
joint_trial,11,-20.0,6.79910366525531e-05,-0.0007211538461538468,-0.00038278915688178103,-19.999255417046918,0.0007445829530823289,0.18137342428132106,-2.219422972897402,-2.0599195065797113,-0.15950346631769063,7.475050528066286e-07
joint_trial,11,-5.0,1.6997759163138274e-05,-0.0001802884615384617,-5.98135134042272e-06,-4.999988365629291,1.1634370708613062e-05,0.25820676214956223,-2.0698888792513213,-2.0599195065797113,-0.00996937267160991,4.6719920819335696e-08
joint_trial,11,0.0,0.0,0.0,-1.2884666462826374e-29,2.83871123248592e-30,2.83871123248592e-30,0.2633292388851164,-2.0599195065797113,-2.0599195065797113,0.0,0.0
joint_trial,11,5.0,-1.6997759163138274e-05,0.0001802884615384617,5.981370101988114e-06,4.9999883656050566,-1.1634394943449422e-05,0.25820676212917104,-2.06988887925073,-2.0599195065797113,-0.009969372671018828,4.671992081885085e-08
joint_trial,11,20.0,-6.79910366525531e-05,0.0007211538461538468,0.0003827891449373144,19.999255417060127,-0.0007445829398733395,0.18137342428242204,-2.2194229728966888,-2.0599195065797113,-0.15950346631697743,7.475050528077323e-07
joint_trial,11,50.0,-0.00016997759163138272,0.0018028846153846172,0.005979171263391859,49.9883674606123,-0.011632539387697705,-0.24876116026647366,-3.056588837677325,-2.0599195065797113,-0.9966693310976136,4.671427920058222e-06
joint_trial,15,-50.0,0.00016997759163138272,-0.0018028846153846172,-0.005979171255411835,-49.988367460621056,0.011632539378943818,-0.4042721854153317,-1.839556217374621,-0.842886886259813,-0.9966693311148079,4.671427920059977e-06
joint_trial,15,-20.0,6.79910366525531e-05,-0.0007211538461538468,-0.00038278915688178103,-19.999255417046918,0.0007445829530823289,0.025862399138972227,-1.0023903525802107,-0.842886886259813,-0.1595034663203977,7.475050528066286e-07
joint_trial,15,-5.0,1.6997759163138274e-05,-0.0001802884615384617,-5.98135134042272e-06,-4.999988365629291,1.1634370708613062e-05,0.10269573700654092,-0.8528562589315698,-0.842886886259813,-0.009969372671756793,4.6719920819335696e-08
joint_trial,15,0.0,0.0,0.0,-1.288466646264703e-29,2.83871123241145e-30,2.83871123241145e-30,0.10781821374202333,-0.842886886259813,-0.842886886259813,0.0,0.0
joint_trial,15,5.0,-1.6997759163138274e-05,0.0001802884615384617,5.981370101988114e-06,4.9999883656050566,-1.1634394943449422e-05,0.10269573698615028,-0.8528562589309752,-0.842886886259813,-0.009969372671162158,4.671992081885085e-08
joint_trial,15,20.0,-6.79910366525531e-05,0.0007211538461538468,0.0003827891449373144,19.999255417060127,-0.0007445829398733395,0.025862399140076042,-1.0023903525794278,-0.842886886259813,-0.15950346631961476,7.475050528077323e-07
joint_trial,15,50.0,-0.00016997759163138272,0.0018028846153846172,0.005979171263391859,49.9883674606123,-0.011632539387697705,-0.4042721854051041,-1.839556217374247,-0.842886886259813,-0.996669331114434,4.671427920058222e-06
Mishin_target,7,-50.0,0.00015634269893268906,-0.0018036405627265895,-0.0014619701489025022,-50.003386643085044,-0.0033866430850437723,0.02099741501369725,-0.30942562720937855,-0.2726757163303802,-0.03674991087899837,4.674122008108128e-06
Mishin_target,7,-20.0,6.253707957307563e-05,-0.0007214562250906358,-0.00013697041198689763,-20.000252572383822,-0.00025257238382181413,0.003240825433739562,-0.27851152225712383,-0.2726757163303802,-0.0058358059267436535,7.478367201052549e-07
Mishin_target,7,-5.0,1.5634269893268907e-05,-0.00018036405627265895,3.8676417815562877e-07,-4.999997593795316,2.4062046843909e-06,0.00020243244525932057,-0.27303079872034736,-0.2726757163303802,-0.0003550823899671762,4.673955311673694e-08
Mishin_target,7,0.0,0.0,0.0,0.0,0.0,0.0,1.3558451243354703e-13,-0.2726757163303802,-0.2726757163303802,0.0,0.0
Mishin_target,7,5.0,-1.5634269893268907e-05,0.00018036405627265895,-3.867633471875642e-07,4.999997593796025,-2.406203974736343e-06,0.00020243244499155449,-0.27303079872034736,-0.2726757163303802,-0.0003550823899671762,4.673955311673694e-08
Mishin_target,7,20.0,-6.253707957307563e-05,0.0007214562250906358,0.00013697041154239593,20.0002525723842,0.0002525723841984018,0.0032408254332040314,-0.2785115222572577,-0.2726757163303802,-0.005835805926877546,7.478367201052549e-07
Mishin_target,7,50.0,-0.00015634269893268906,0.0018036405627265895,0.0014619701508541366,50.00338664308515,0.0033866430851503537,0.02099741501369725,-0.30942562720937855,-0.2726757163303802,-0.03674991087899837,4.674122008108128e-06
Mishin_target,11,-50.0,0.00015634269893268906,-0.0018036405627265895,-0.0014619701489025022,-50.003386643085044,-0.0033866430850437723,0.02099741501369725,-0.30942562720937855,-0.2726757163303802,-0.03674991087899837,4.674122008108128e-06
Mishin_target,11,-20.0,6.253707957307563e-05,-0.0007214562250906358,-0.00013697041198689763,-20.000252572383822,-0.00025257238382181413,0.003240825433739562,-0.27851152225712383,-0.2726757163303802,-0.0058358059267436535,7.478367201052549e-07
Mishin_target,11,-5.0,1.5634269893268907e-05,-0.00018036405627265895,3.8676417815562877e-07,-4.999997593795316,2.4062046843909e-06,0.00020243244525932057,-0.27303079872034736,-0.2726757163303802,-0.0003550823899671762,4.673955311673694e-08
Mishin_target,11,0.0,0.0,0.0,0.0,0.0,0.0,1.3558451243354703e-13,-0.2726757163303802,-0.2726757163303802,0.0,0.0
Mishin_target,11,5.0,-1.5634269893268907e-05,0.00018036405627265895,-3.867633471875642e-07,4.999997593796025,-2.406203974736343e-06,0.00020243244499155449,-0.27303079872034736,-0.2726757163303802,-0.0003550823899671762,4.673955311673694e-08
Mishin_target,11,20.0,-6.253707957307563e-05,0.0007214562250906358,0.00013697041154239593,20.0002525723842,0.0002525723841984018,0.0032408254332040314,-0.2785115222572577,-0.2726757163303802,-0.005835805926877546,7.478367201052549e-07
Mishin_target,11,50.0,-0.00015634269893268906,0.0018036405627265895,0.0014619701508541366,50.00338664308515,0.0033866430851503537,0.02099741501369725,-0.30942562720937855,-0.2726757163303802,-0.03674991087899837,4.674122008108128e-06
Mishin_target,15,-50.0,0.00015634269893268906,-0.0018036405627265895,-0.0014619701489025022,-50.003386643085044,-0.0033866430850437723,0.02099741501369725,-0.30942562720937855,-0.2726757163303802,-0.03674991087899837,4.674122008108128e-06
Mishin_target,15,-20.0,6.253707957307563e-05,-0.0007214562250906358,-0.00013697041198689763,-20.000252572383822,-0.00025257238382181413,0.003240825433739562,-0.27851152225712383,-0.2726757163303802,-0.0058358059267436535,7.478367201052549e-07
Mishin_target,15,-5.0,1.5634269893268907e-05,-0.00018036405627265895,3.8676417815562877e-07,-4.999997593795316,2.4062046843909e-06,0.00020243244525932057,-0.27303079872034736,-0.2726757163303802,-0.0003550823899671762,4.673955311673694e-08
Mishin_target,15,0.0,0.0,0.0,0.0,0.0,0.0,1.3558451243354703e-13,-0.2726757163303802,-0.2726757163303802,0.0,0.0
Mishin_target,15,5.0,-1.5634269893268907e-05,0.00018036405627265895,-3.867633471875642e-07,4.999997593796025,-2.406203974736343e-06,0.00020243244499155449,-0.27303079872034736,-0.2726757163303802,-0.0003550823899671762,4.673955311673694e-08
Mishin_target,15,20.0,-6.253707957307563e-05,0.0007214562250906358,0.00013697041154239593,20.0002525723842,0.0002525723841984018,0.0032408254332040314,-0.2785115222572577,-0.2726757163303802,-0.005835805926877546,7.478367201052549e-07
Mishin_target,15,50.0,-0.00015634269893268906,0.0018036405627265895,0.0014619701508541366,50.00338664308515,0.0033866430851503537,0.02099741501369725,-0.30942562720937855,-0.2726757163303802,-0.03674991087899837,4.674122008108128e-06
