model,ring,nominal_shear_MPa,gamma_y,gamma_z,actual_xy_MPa,actual_xz_MPa,xz_error_MPa,actual_yz_MPa,actual_zz_MPa,zero_load_zz_MPa,normal_reaction_increment_MPa,energy_change_eV_atom
unchanged,7,-50.0,0.0001699775916313785,-0.0018028846153846142,-0.0050353987304643435,-49.989066339472174,0.01093366052782585,-0.3145593526713371,-2.43203476301308,-1.491494246244222,-0.9405405167688581,4.6714647343329545e-06
unchanged,7,-20.0,6.799103665255139e-05,-0.0007211538461538457,-0.0003223563913019201,-19.99930016285425,0.0006998371457491714,0.10931719427311955,-1.6420103006352849,-1.491494246244222,-0.15051605439106286,7.475059953646742e-07
unchanged,7,-5.0,1.6997759163137847e-05,-0.0001802884615384614,-5.0370562654322186e-06,-4.999989064802631,1.0935197368944216e-05,0.18503006826259805,-1.5009018297419583,-1.491494246244222,-0.009407583497736294,4.6719924806089664e-08
unchanged,7,0.0,0.0,0.0,3.1652816092201553e-31,-3.917118675764478e-31,-3.917118675764478e-31,0.1900778155778027,-1.491494246244222,-1.491494246244222,0.0,0.0
unchanged,7,5.0,-1.6997759163137847e-05,0.0001802884615384614,5.037035500240913e-06,4.999989064834652,-1.0935165348335829e-05,0.1850300682703845,-1.500901829744655,-1.491494246244222,-0.009407583500433025,4.671992480672483e-08
unchanged,7,20.0,-6.799103665255139e-05,0.0007211538461538457,0.0003223563709578933,19.999300162879475,-0.0006998371205249043,0.10931719427666764,-1.642010300633969,-1.491494246244222,-0.15051605438974702,7.475059953667124e-07
unchanged,7,50.0,-0.0001699775916313785,0.0018028846153846142,0.005035398707975013,49.98906633950686,-0.010933660493137154,-0.31455935265072144,-2.432034763015955,-1.491494246244222,-0.9405405167717331,4.671464734339849e-06
unchanged,11,-50.0,0.0001699775916313785,-0.0018028846153846142,-0.005035398730464342,-49.989066339472174,0.01093366052782585,-0.4513850332069046,-1.357108254837289,-0.4165677185265256,-0.9405405363107635,4.6714647343329545e-06
unchanged,11,-20.0,6.799103665255139e-05,-0.0007211538461538457,-0.0003223563913019203,-19.99930016285425,0.0006998371457491714,-0.027508490431585878,-0.5670837760443049,-0.4165677185265256,-0.15051605751777936,7.475059953646742e-07
unchanged,11,-5.0,1.6997759163137847e-05,-0.0001802884615384614,-5.037056265432218e-06,-4.999989064802631,1.0935197368944216e-05,0.048204382813398075,-0.4259753022197032,-0.4165677185265256,-0.009407583693177624,4.6719924806089664e-08
unchanged,11,0.0,0.0,0.0,3.608366787721407e-31,-4.502457751859537e-31,-4.502457751859537e-31,0.053252130078967785,-0.4165677185265256,-0.4165677185265256,0.0,0.0
unchanged,11,5.0,-1.6997759163137847e-05,0.0001802884615384614,5.037035500240898e-06,4.999989064834652,-1.0935165348335829e-05,0.04820438282117675,-0.4259753022223811,-0.4165677185265256,-0.009407583695855537,4.671992480672483e-08
unchanged,11,20.0,-6.799103665255139e-05,0.0007211538461538457,0.0003223563709578935,19.999300162879475,-0.0006998371205249043,-0.027508490428037692,-0.5670837760429903,-0.4165677185265256,-0.15051605751646474,7.475059953667124e-07
unchanged,11,50.0,-0.0001699775916313785,0.0018028846153846142,0.005035398707975012,49.98906633950686,-0.010933660493137154,-0.4513850331862716,-1.3571082548401192,-0.4165677185265256,-0.9405405363135937,4.671464734339849e-06
unchanged,15,-50.0,0.0001699775916313785,-0.0018028846153846142,-0.005035398730464342,-49.989066339472174,0.01093366052782585,-0.48283371952781384,-1.1109925974610013,-0.17045206114644912,-0.9405405363145523,4.6714647343329545e-06
