model,target,reference,prediction,units,absolute_error,relative_error,normalization,normalized_residual,role
old_candidate,normal_strain_force_ev,0.0,-2.6645352591003757e-15,eV/strain,-2.6645352591003757e-15,,0.1,-2.6645352591003757e-14,exact
old_candidate,cohesive_ev_atom,3.36,3.3599999999999994,eV/atom,-4.440892098500626e-16,-1.3216940769347102e-16,0.0672,-6.608470384673551e-15,exact
old_candidate,hydrostatic_strain_curvature_ev,74.01042469890372,67.62980495455082,eV/strain^2,-6.380619744352899,-0.08621244602109968,3.700521234945186,-1.7242489204219933,fit
old_candidate,normal_strain_curvature_ev,12.646038954154417,14.324079598454126,eV/strain^2,1.6780406442997098,0.13269298397570156,0.6323019477077209,2.653859679514031,fit
old_candidate,simple_shear_strain_curvature_ev,2.90236959603544,2.4965417587393515,eV/strain^2,-0.4058278372960884,-0.1398263811233547,0.145118479801772,-2.7965276224670936,fit
old_candidate,perfect_Haa,19.66091286328976,22.902007120346795,eV/L0^2,3.2410942570570356,0.16484963234381173,1.9660912863289761,1.6484963234381171,fit
old_candidate,perfect_Hxx,4.393593035123306,4.945211215219163,eV/L0^2,0.5516181800958568,0.12555058597510174,0.43935930351233066,1.2555058597510174,fit
old_candidate,saddle_energy_at_source_state,0.07624909750742465,0.0733085062416669,eV/cell,-0.0029405912657577415,-0.03856558781527094,0.007624909750742465,-0.38565587815270935,fit
old_candidate,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.19201717063350854,eV/L0,0.19201717063350704,,0.03173805605024358,6.050060858470044,fit
old_candidate,fault_energy_at_source_state,0.06670794504308616,0.05655663699416267,eV/cell,-0.010151308048923495,-0.15217539743379654,0.006670794504308616,-1.5217539743379653,fit
old_candidate,fault_normal_force_at_source_state,5.29078226360765e-15,0.1145994160452295,eV/L0,0.11459941604522421,,0.03173805605024358,3.6107887598347315,fit
old_candidate,saddle_path_force_at_source_state,2.296700476743968e-16,-0.10025475100554043,eV/L0,-0.10025475100554067,,0.03173805605024358,-3.15881826053966,fit
old_candidate,opening_1.1h_energy,0.05670265774764735,0.052736151161659944,eV/cell,-0.003966506585987406,-0.06995274548928847,0.005670265774764736,-0.6995274548928846,fit
old_candidate,opening_1.5h_energy,0.4710312483934004,0.4055972942884204,eV/cell,-0.06543395410497999,-0.1389163762025619,0.04710312483934004,-1.389163762025619,fit
old_candidate,opening_2h_energy,0.7060534019484034,0.6432885859985567,eV/cell,-0.06276481594984673,-0.08889528154193842,0.07060534019484034,-0.8889528154193842,fit
old_candidate,opening_40h_energy,0.7719163228888833,0.7814396545038735,eV/cell,0.009523331614990194,0.012337259017077514,0.07719163228888834,0.12337259017077513,fit
old_candidate,direct_quarter_energy,0.117221996542065,0.13737163970023514,eV/cell,0.02014964315817014,0.17189302138305979,0.0117221996542065,1.7189302138305977,heldout
old_candidate,direct_half_energy,0.26732847628894163,0.3014351407762327,eV/cell,0.03410666448729105,0.12758335722688557,0.026732847628894163,1.2758335722688556,heldout
old_candidate,oblique_energy,0.13339289745734875,0.13747292545112436,eV/cell,0.0040800279937756034,0.030586545997174683,0.013339289745734876,0.3058654599717468,heldout
old_candidate,opening_1.25h_energy,0.24853683654490819,0.1999790426611742,eV/cell,-0.04855779388373399,-0.1953746356426327,0.02485368365449082,-1.9537463564263267,heldout
old_candidate,opening_3h_energy,0.7719163228888833,0.7654370075837444,eV/cell,-0.0064793153051389,-0.008393805277870243,0.07719163228888834,-0.08393805277870242,heldout
old_candidate,saddle_Haa,12.717337762538286,17.42638523362527,eV/L0^2,4.709047471086983,0.37028563359844996,1.2717337762538286,3.7028563359844995,heldout
old_candidate,saddle_Hxx,-0.18642463121762062,0.6843712505110633,eV/L0^2,0.8707958817286839,4.671034487455525,0.018642463121762064,46.710344874555254,heldout
old_candidate,fault_Haa,14.140554350039636,18.456152713201632,eV/L0^2,4.315598363161996,0.3051930112732744,1.4140554350039638,3.0519301127327436,heldout
old_candidate,fault_Hxx,2.4858929774856264,2.7520902976900428,eV/L0^2,0.26619732020441633,0.10708317800296593,0.24858929774856264,1.0708317800296594,heldout
best_feasible_same_family,normal_strain_force_ev,0.0,-3.552713678800501e-15,eV/strain,-3.552713678800501e-15,,0.1,-3.552713678800501e-14,exact
best_feasible_same_family,cohesive_ev_atom,3.36,3.3599999999999977,eV/atom,-2.220446049250313e-15,-6.608470384673551e-16,0.0672,-3.304235192336776e-14,exact
best_feasible_same_family,hydrostatic_strain_curvature_ev,74.01042469890372,66.59115958060514,eV/strain^2,-7.419265118298583,-0.10024621731982145,3.700521234945186,-2.004924346396429,fit
best_feasible_same_family,normal_strain_curvature_ev,12.646038954154417,14.590297721935542,eV/strain^2,1.9442587677811254,0.1537444866989285,0.6323019477077209,3.0748897339785697,fit
best_feasible_same_family,simple_shear_strain_curvature_ev,2.90236959603544,2.554844042450674,eV/strain^2,-0.34752555358476567,-0.11973855916196076,0.145118479801772,-2.394771183239215,fit
best_feasible_same_family,perfect_Haa,19.66091286328976,22.82295002382743,eV/L0^2,3.162037160537672,0.16082860356101414,1.9660912863289761,1.6082860356101412,fit
best_feasible_same_family,perfect_Hxx,4.393593035123306,4.767572931373576,eV/L0^2,0.37397989625026984,0.08511937570471274,0.43935930351233066,0.8511937570471273,fit
best_feasible_same_family,saddle_energy_at_source_state,0.07624909750742465,0.07363179815738119,eV/cell,-0.002617299350043456,-0.03432564365484589,0.007624909750742465,-0.34325643654845883,fit
best_feasible_same_family,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.006235309661206223,eV/L0,0.006235309661204733,,0.03173805605024358,0.19646161224662903,fit
best_feasible_same_family,fault_energy_at_source_state,0.06670794504308616,0.0678526092064258,eV/cell,0.001144664163339637,0.017159337806018565,0.006670794504308616,0.17159337806018563,fit
best_feasible_same_family,fault_normal_force_at_source_state,5.29078226360765e-15,0.026390643314996076,eV/L0,0.026390643314990785,,0.03173805605024358,0.8315141694000583,fit
best_feasible_same_family,saddle_path_force_at_source_state,2.296700476743968e-16,-0.0014744627092417306,eV/L0,-0.0014744627092419603,,0.03173805605024358,-0.04645724700050254,fit
best_feasible_same_family,opening_1.1h_energy,0.05670265774764735,0.04917147811434591,eV/cell,-0.007531179633301438,-0.1328188118944727,0.005670265774764736,-1.3281881189447267,fit
best_feasible_same_family,opening_1.5h_energy,0.4710312483934004,0.39581013354029015,eV/cell,-0.07522111485311023,-0.1596945321773776,0.04710312483934004,-1.5969453217737761,fit
best_feasible_same_family,opening_2h_energy,0.7060534019484034,0.6772002167034348,eV/cell,-0.028853185244968604,-0.040865443272911424,0.07060534019484034,-0.40865443272911417,fit
best_feasible_same_family,opening_40h_energy,0.7719163228888833,0.8361042489472865,eV/cell,0.06418792605840318,0.08315399500580709,0.07719163228888834,0.8315399500580708,fit
best_feasible_same_family,direct_quarter_energy,0.117221996542065,0.144877545124866,eV/cell,0.027655548582801004,0.23592456534279244,0.0117221996542065,2.3592456534279242,heldout
best_feasible_same_family,direct_half_energy,0.26732847628894163,0.343366588533924,eV/cell,0.07603811224498236,0.2844370091078388,0.026732847628894163,2.844370091078388,heldout
best_feasible_same_family,oblique_energy,0.13339289745734875,0.09256217082082707,eV/cell,-0.04083072663652168,-0.3060937082469249,0.013339289745734876,-3.060937082469249,heldout
best_feasible_same_family,opening_1.25h_energy,0.24853683654490819,0.18160537083916883,eV/cell,-0.06693146570573935,-0.269301994167957,0.02485368365449082,-2.69301994167957,heldout
best_feasible_same_family,opening_3h_energy,0.7719163228888833,0.7452165910913329,eV/cell,-0.026699731797550474,-0.03458889390708464,0.07719163228888834,-0.34588893907084634,heldout
best_feasible_same_family,saddle_Haa,12.717337762538286,18.862388805187194,eV/L0^2,6.145051042648909,0.48320262915014395,1.2717337762538286,4.83202629150144,heldout
best_feasible_same_family,saddle_Hxx,-0.18642463121762062,0.3215269743660283,eV/L0^2,0.5079516055836489,2.724702214862893,0.018642463121762064,27.24702214862893,heldout
best_feasible_same_family,fault_Haa,14.140554350039636,17.838873085576864,eV/L0^2,3.698318735537228,0.2615398692291623,1.4140554350039638,2.615398692291622,heldout
best_feasible_same_family,fault_Hxx,2.4858929774856264,1.7566064953900096,eV/L0^2,-0.7292864820956169,-0.29337002385084926,0.24858929774856264,-2.9337002385084925,heldout
