samples,a_over_h,normal_traction_MPa,energy_eV_cell,independent_scalar_energy_error_eV,step_L0,FD_traction_error_MPa
181,1.1858461680206898,12969.567658481204,0.16390525040595127,0.0,2.5e-06,-3.990299893094641e-06
181,1.1858461680206898,12969.567658481204,0.16390525040595127,0.0,1.25e-06,4.405095385312544e-06
181,1.6322700788892313,4005.706049611054,0.5297307464889269,1.1102230246251565e-16,2.5e-06,1.0863895101157932e-06
181,1.6322700788892313,4005.706049611054,0.5297307464889269,1.1102230246251565e-16,1.25e-06,-3.1284303628540425e-07
181,1.8918747001449479,5025.057197224913,0.6522414678840411,1.1102230246251565e-16,2.5e-06,-7.383111747509825e-07
181,1.8918747001449479,5025.057197224913,0.6522414678840411,1.1102230246251565e-16,1.25e-06,3.4593864644526102e-06
181,2.386631030199241,-785.6754390524287,0.7765503558864993,0.0,2.5e-06,2.4624802806101125e-06
181,2.386631030199241,-785.6754390524287,0.7765503558864993,0.0,1.25e-06,5.38535529308466e-07
181,2.5278638810116023,46.05862128782654,0.7717676510427336,0.0,2.5e-06,4.620632073609758e-08
181,2.5278638810116023,46.05862128782654,0.7717676510427336,0.0,1.25e-06,3.9601445733639694e-07
361,1.1858461680206895,12969.567658481197,0.16390525040595122,0.0,2.5e-06,-3.6404847603316095e-06
361,1.1858461680206895,12969.567658481197,0.16390525040595122,0.0,1.25e-06,3.2682259375243027e-06
361,1.6322700788896778,4005.706049611052,0.5297307464891129,0.0,2.5e-06,9.114871908563267e-07
361,1.6322700788896778,4005.706049611052,0.5297307464891129,0.0,1.25e-06,-3.1113063800471162e-06
361,1.89187470014493,5025.05719722491,0.6522414678840319,0.0,2.5e-06,3.1111585861094025e-07
361,1.89187470014493,5025.05719722491,0.6522414678840319,0.0,1.25e-06,6.609239952112396e-07
361,2.3866310301992435,-785.6754390524287,0.776550355886499,0.0,2.5e-06,2.4624802806101125e-06
361,2.3866310301992435,-785.6754390524287,0.776550355886499,0.0,1.25e-06,8.883436659087654e-07
361,2.5278638810116045,46.058621287826554,0.7717676510427336,0.0,2.5e-06,4.6206307071717246e-08
361,2.5278638810116045,46.058621287826554,0.7717676510427336,0.0,1.25e-06,3.9601444367201665e-07
