frame,atoms,n_Si,n_O,composition,group,dft_energy_eV,mace_energy_eV,force_component_RMSE_eV_A,force_component_MAE_eV_A,force_component_max_error_eV_A,source_force_component_RMS_eV_A,source_total_force_norm_eV_A,mace_total_force_norm_eV_A,same_composition_reference_frame,relative_energy_error_eV_atom,Z8_force_component_RMSE_eV_A,Z14_force_component_RMSE_eV_A
16,56,40,16,Si40O16,mixed_other_stoichiometry,-34508.879168975654,-335.7391943240834,0.31705049626658866,0.23891984096657784,1.0528953189765629,1.349899237090281,2.236067979500466e-06,1.3922125900994124e-15,0,-0.0068428766212197244,0.2951771220051825,0.32538839978392176
17,56,40,16,Si40O16,mixed_other_stoichiometry,-34510.180402080914,-337.16925106256605,0.2838118210877649,0.22087031549756883,0.8582604272175922,1.1840629683678747,5.099019512389468e-06,2.1470691453433183e-15,0,-0.00914329864305939,0.2415850970418922,0.29903756630182554
18,56,40,16,Si40O16,mixed_other_stoichiometry,-34511.82589853982,-338.5511254245582,0.3090993288431026,0.23346750670575633,1.2458394036521803,1.1299916550249438,2.4494897435108225e-06,3.0832434554370492e-15,0,-0.004435761198159582,0.2638177251629547,0.3254526636604723
19,56,40,16,Si40O16,mixed_other_stoichiometry,-34509.55220192795,-336.4645188357686,0.2749303780204797,0.20926410651610844,0.8477393231860969,0.8849156092973169,1.0000000006810117e-06,3.283446176038139e-15,0,-0.007776654467420485,0.24620717071839582,0.28561199116391195
20,56,40,16,Si40O16,mixed_other_stoichiometry,-34506.901951707245,-334.64768710171097,0.3445632753397749,0.24498679823598285,1.6972332379179833,0.9700574923244731,2.4494897442756763e-06,3.7930814724377335e-15,0,-0.022659127443313918,0.30066554697667935,0.3606292868618807
21,56,40,16,Si40O16,mixed_other_stoichiometry,-34505.436408089765,-333.4962862174841,0.36830359581471306,0.25675770322252306,1.912168552095653,1.0915122271515758,3.74165739284189e-06,3.5428404962415544e-15,0,-0.028268819108545933,0.3155479149714763,0.38739948310358924
22,56,40,16,Si40O16,mixed_other_stoichiometry,-34512.77944333031,-339.612356959387,0.2900030517979226,0.21739485045502072,0.9364741768631956,0.9660472130450064,3.162277660224204e-06,4.340531889984647e-15,0,-0.00635873877558879,0.2810787031629273,0.2934968196152231
23,56,40,16,Si40O16,mixed_other_stoichiometry,-34509.32134529091,-336.52150297849255,0.3804437465949811,0.28516446656122746,1.5728574226636836,1.0864733443677415,1.7320508076827823e-06,3.065703529144609e-15,0,-0.012916668391796853,0.30155458497711657,0.40774790614327905
24,56,40,16,Si40O16,mixed_other_stoichiometry,-34511.61366238212,-338.3387587292845,0.2958559189907915,0.2154432273055727,1.040476620952676,1.2705416194184362,1.7320508079231527e-06,1.644854518149003e-15,0,-0.004433430170030712,0.22623982780424645,0.31948275516635016
25,56,40,16,Si40O16,mixed_other_stoichiometry,-34509.981720322765,-337.13534398966397,0.2982889298604667,0.22285843190258922,1.0463146502449803,1.2635508957119026,4.5825756946757545e-06,2.673771110915334e-15,0,-0.012085703736757531,0.24512442899190284,0.3170684558147985
26,3,1,2,Si1O2,SiO2_stoichiometry,-1769.687189452783,-19.52616839719375,0.3066375628735548,0.2777012314654372,0.5081002440513762,2.8783536771347453,1.4142135625707708e-06,1.9100999153570945e-15,26,0.0,0.3500776356905045,0.1922786594341471
27,3,1,2,Si1O2,SiO2_stoichiometry,-1769.584061156946,-19.26298143089715,0.16167065570426778,0.1383625834693976,0.3092119103951523,4.30096272660414,1.000000000139778e-06,2.0350724194510405e-15,26,0.053352890153201805,0.14585682774027842,0.18937733325461412
28,6,2,4,Si2O4,SiO2_stoichiometry,-3539.657352421802,-39.37932860162168,0.2718746752453384,0.19662281732074596,0.7516337471230692,2.5714545882215942,6.280369834735101e-16,0.0,28,0.0,0.3238619049402469,0.10942783090340254
29,18,6,12,Si6O12,SiO2_stoichiometry,-10635.216257288595,-133.64463404352995,0.1110858939060019,0.07148673466994507,0.5076768447793967,2.6209016255692816,2.0000000002240448e-06,8.104628079763643e-15,29,0.0,0.06933743261288132,0.1655441583143145
30,12,4,8,Si4O8,SiO2_stoichiometry,-7084.84831516087,-83.86986538987473,0.1651317232390798,0.13153614428794422,0.4946874755192603,2.8604059986704438,9.999999991405772e-07,3.632058610082554e-15,30,0.0,0.1509406882531967,0.19036616117111443
31,12,4,8,Si4O8,SiO2_stoichiometry,-7088.400225133875,-87.24583944144015,0.1431493386485405,0.10864963920475161,0.3868790099729128,2.779733043552214,2.8284271246705143e-06,1.2161883888976235e-15,30,0.014661326786666725,0.11900178941989027,0.1820778616314234
32,18,6,12,Si6O12,SiO2_stoichiometry,-10634.815380374197,-133.25972671661833,0.07036167049258359,0.05582410236937402,0.19952776843442654,2.5853312011242284,1.4142135614324538e-06,1.7028447152542777e-15,29,-0.0008871993048210748,0.06035617633965706,0.08698596426339807
33,12,4,8,Si4O8,SiO2_stoichiometry,-7083.785003176638,-82.67730841235449,0.2493086973266999,0.18240019917063138,0.9229664110562137,3.6832278045261506,1.0000000008059118e-06,2.175583928816829e-15,30,0.010770416107403,0.2046065989110411,0.320525754117077
34,18,6,12,Si6O12,SiO2_stoichiometry,-10635.399115761827,-133.771178277581,0.08929765538515351,0.06664780116150294,0.2556835874181709,2.2898272283346244,2.449489740224784e-06,1.9484335006297032e-15,29,0.003128568843389227,0.06278363851439928,0.12664376511160502
35,12,4,8,Si4O8,SiO2_stoichiometry,-7087.79855594623,-86.52074059231416,0.1024202065850436,0.07627853654890766,0.31214067714849136,3.329361803950909,1.7320508079071279e-06,4.855877417637497e-15,30,0.024947131910099785,0.08517127613058434,0.1302359535433458
36,12,4,8,Si4O8,SiO2_stoichiometry,-7085.819350613953,-84.80015705624777,0.18198263817740493,0.11853425494613538,0.7040024574407567,2.004118059521181,2.0000000001685336e-06,1.7659178253678205e-15,30,0.0033953155592018427,0.10190794665439971,0.28032585077261946
37,24,8,16,Si8O16,SiO2_stoichiometry,-14181.144882334731,-178.71289619769826,0.10779180251864662,0.08562775046190169,0.3377186757866888,3.151609537756319,3.6055512765838066e-06,1.0583867371683362e-14,37,0.0,0.0872516546826027,0.14011251043697864
38,3,1,2,Si1O2,SiO2_stoichiometry,-1767.829740786987,-18.091884715971908,0.3741871679474972,0.2749106129567189,0.8083161073621428,3.5390237497464843,9.999999999177334e-07,4.047368248007596e-15,26,-0.14105499485806186,0.4386052806860514,0.1878800827078953
39,12,4,8,Si4O8,SiO2_stoichiometry,-7089.711247535251,-88.45240107070761,0.08215807958453472,0.06312500572647768,0.2130346023093388,2.7717811557515533,2.236067979177737e-06,2.7426104336560064e-15,30,0.023366391128990454,0.0710772404190589,0.10072686787485662
40,18,6,12,Si6O12,SiO2_stoichiometry,-10633.761766255831,-132.195619990618,0.14779193249062544,0.09635613738298654,0.6247587976162912,2.4747700924187366,3.000000000345319e-06,2.1285106532917645e-15,29,-0.00030427665845106984,0.08226280010256827,0.22801980038257763
41,6,2,4,Si2O4,SiO2_stoichiometry,-3538.069439473481,-37.649556838964976,0.3863608422618784,0.3050982483079272,0.77793442567308,2.9372228079810263,1.732050807554585e-06,2.0350724194510405e-15,28,0.02364313572261878,0.38510344249844464,0.3888634444784165
42,12,4,8,Si4O8,SiO2_stoichiometry,-7086.802089412054,-85.66849989502398,0.1634172858347394,0.12102969094999826,0.44313697638724214,2.98218310896185,9.999999996956888e-07,2.7035697373913694e-15,30,0.012928312169550557,0.1439373088737536,0.1966716302803789
43,24,8,16,Si8O16,SiO2_stoichiometry,-14174.822074882748,-172.39268488342142,0.12204938472780853,0.08972343305845959,0.4963911703131805,3.9321716896612564,9.999999983634211e-07,7.793734002518813e-15,37,-0.0001081724044216988,0.08689248645681107,0.1720103151907341
44,18,6,12,Si6O12,SiO2_stoichiometry,-10633.84415852312,-132.22151545202075,0.11491022277016166,0.0885586645868416,0.3377342374446526,3.120837246535787,3.741657387000223e-06,2.8435583831733384e-15,29,0.0028344347796197176,0.0744614691028643,0.16889066619961834
45,12,4,8,Si4O8,SiO2_stoichiometry,-7086.61598992669,-85.53266390837967,0.10950271144990659,0.08731796170747469,0.25774619563706125,3.0036213186743668,1.0000000000842668e-06,4.443753470411157e-15,30,0.00873968727630725,0.10478166132645154,0.11838132599351184
46,12,4,8,Si4O8,SiO2_stoichiometry,-7088.840672301602,-87.67978906346293,0.07797034015870563,0.05925848501509715,0.2571792965445212,2.894025371432002,2.236067977514439e-06,2.132668787380004e-15,30,0.015202788928696975,0.06590738222915683,0.09772694494760611
47,3,1,2,Si1O2,SiO2_stoichiometry,-1770.443933064014,-20.419251122264154,0.3144851665663048,0.2189472806587995,0.5939789790518804,5.688209623841172,1.2008898127460164e-15,1.3322676295501878e-15,26,-0.045446371279857324,0.27223753823407626,0.3853261028313671
48,12,4,8,Si4O8,SiO2_stoichiometry,-7087.453678703701,-86.1995605388357,0.08410590804987897,0.06922181377357474,0.17037285491912657,1.8046743000899852,2.828427125298551e-06,2.5341311739065124e-15,30,0.02297236615588479,0.07184512593153121,0.10439332864914756
49,24,8,16,Si8O16,SiO2_stoichiometry,-14176.125856470357,-173.89661014618832,0.22980427703001788,0.16883116035974402,0.6419261153220406,2.675542659279788,2.999999999679185e-06,4.5288390936029406e-15,37,-0.008447492202680706,0.15518857504129202,0.33205877428126207
50,24,8,16,Si8O16,SiO2_stoichiometry,-14179.926313066399,-177.45365263111378,0.07362406126262463,0.05594029801372429,0.24326051404270466,3.7878939217394367,3.3166247969050703e-06,1.0650368086437595e-14,37,0.0016947624271684465,0.05866382811382055,0.09684326374339289
51,12,4,8,Si4O8,SiO2_stoichiometry,-7084.542710887276,-83.5051090004948,0.14947815303962117,0.11331675453524717,0.5018783496378028,2.242224335556789,4.12310562438988e-06,3.022173087078572e-15,30,0.004929342982209779,0.1144499933388202,0.20207313715062983
52,6,2,4,Si2O4,SiO2_stoichiometry,-3535.560247499592,-35.51524203444455,0.6349572973667551,0.5230441737155839,1.336030029588656,7.650401712519535,9.999999992515995e-07,1.5216132086781023e-14,28,-0.038836392505450824,0.6737174860804527,0.5492920956437947
53,12,4,8,Si4O8,SiO2_stoichiometry,-7085.044986949987,-84.0654037644473,0.14845144196408447,0.11312784121854581,0.503163578818774,2.2832318075081885,1.4142135622567524e-06,3.7105374255538066e-15,30,9.445121206278866e-05,0.15291743034713323,0.139089938010293
54,24,8,16,Si8O16,SiO2_stoichiometry,-14180.548146707428,-178.0742870190104,0.09798149448359515,0.0768157079514722,0.24361282628273018,3.69285156868119,3.3166247905177206e-06,3.360144595992222e-15,37,0.0017447313076968858,0.07830906094585982,0.1285943300899055
55,3,1,2,Si1O2,SiO2_stoichiometry,-1767.646398631371,-17.336362325113967,0.20744733390455047,0.16387598631937553,0.4230900616182849,3.275653625125458,2.220446049250313e-16,1.2560739669470201e-15,26,0.049671750222602874,0.2391119741919288,0.12146652472345994
56,12,4,8,Si4O8,SiO2_stoichiometry,-7087.770509306712,-86.59883809164329,0.10850934151520972,0.0786710201793706,0.35012404393961005,2.596988835425372,2.2360679775144385e-06,1.9922239907684116e-15,30,0.01610178700610258,0.0706246853536486,0.15920784913310496
57,18,6,12,Si6O12,SiO2_stoichiometry,-10632.985081596695,-131.49456752674934,0.18978799793441933,0.12696399274923312,0.6689144497582173,3.4430129975368793,3.162277660891263e-06,6.093091690756333e-15,29,-0.004506065284450263,0.1181645387027373,0.2830772616551956
58,3,1,2,Si1O2,SiO2_stoichiometry,-1770.558809059426,-20.46878803448072,0.2820291601962851,0.23247807018582733,0.501336064710713,2.9486661189654324,3.3306690738754696e-16,8.968100940422724e-16,26,-0.023666676881330062,0.22809404804514613,0.36683450232471676
59,12,4,8,Si4O8,SiO2_stoichiometry,-7085.153260646807,-84.45964076530575,0.29548697755870573,0.24161980503108976,0.6996527232908054,2.0279848193895513,9.999999996956888e-07,3.2709212810858e-15,30,-0.023735824124466138,0.25407805003729644,0.36445349593442966
60,12,4,8,Si4O8,SiO2_stoichiometry,-7087.074095923379,-85.81674660564815,0.0924699917113963,0.07460571906319406,0.2575762454764279,3.06359475666733,2.4494897450291985e-06,5.687116766346677e-15,30,0.02324162889464887,0.08815000194813116,0.10055472348132657
61,24,8,16,Si8O16,SiO2_stoichiometry,-14173.636393839794,-171.25191044802574,0.18984847955859918,0.15576883288460008,0.510369988506282,3.542610702453349,2.236067980692082e-06,7.784239094625047e-15,37,-0.0019792810527038776,0.14837480150930274,0.25317419324703216
62,3,1,2,Si1O2,SiO2_stoichiometry,-1769.282260354835,-19.30060834923535,0.7940710647346232,0.5921414868682318,1.5690071343867373,9.990126066388518,3.665838073340989e-15,4.058392894287053e-15,26,-0.059789683329890174,0.703927288648621,0.9490096480742104
63,18,6,12,Si6O12,SiO2_stoichiometry,-10633.375127427056,-131.85163927526236,0.1453240095503871,0.10262664038594226,0.5491196037350791,2.6032027942247766,1.000000000139778e-06,5.102196573270515e-15,29,-0.00267417184842442,0.1000559404844453,0.2081701727024054
64,18,6,12,Si6O12,SiO2_stoichiometry,-10633.162226767316,-131.69149509627016,0.11017365301452833,0.07911379415667223,0.32187679583565343,2.701128313166678,1.41421356272778e-06,5.995204332975845e-15,29,-0.00560508744555932,0.07340291383926427,0.16012097281589366
65,12,4,8,Si4O8,SiO2_stoichiometry,-7085.15269192884,-83.93120666716518,0.1273079923220574,0.10640822334932398,0.30874095685408776,3.2978106566389407,1.7320508067853998e-06,5.102196573270515e-15,30,0.020252957556637103,0.13452217257247173,0.11148786884671952
66,12,4,8,Si4O8,SiO2_stoichiometry,-7087.442831020719,-86.25988422697061,0.13242141607757313,0.09574775353052883,0.3876527821094271,3.2859296321636244,9.999999996401776e-07,5.3381880868088545e-15,30,0.017041418562743143,0.10374617126065021,0.17629452120097464
67,12,4,8,Si4O8,SiO2_stoichiometry,-7086.760811644251,-85.61238046018701,0.0810810183296724,0.06256246952074156,0.24135614802172256,2.799071091369083,1.4142135635128265e-06,6.141450319825084e-15,30,0.014165117755717679,0.06812923344657834,0.10217245078832786
68,24,8,16,Si8O16,SiO2_stoichiometry,-14173.91742201404,-171.5405297258711,0.15725451871266394,0.1057687211565553,0.7921989529660642,4.443894785830606,4.242640689805769e-06,1.1320464621360829e-14,37,-0.0022955770360155725,0.1235852409009609,0.2089026745390246
69,3,1,2,Si1O2,SiO2_stoichiometry,-1768.393029947328,-17.986106793124577,0.24929363859608375,0.22664967882544035,0.3854816994236782,2.760275947700841,1.7554167342883506e-16,7.195067539997724e-16,26,0.08196736620468197,0.22349161762581937,0.29418522810537845
70,12,4,8,Si4O8,SiO2_stoichiometry,-7086.604044400341,-85.46074793063366,0.10396158132954172,0.08089661732408132,0.24607647658379905,2.62640160586804,1.2560739669470201e-15,3.3893637946200144e-15,30,0.013737224892697242,0.08616641429675785,0.1325697147620667
71,3,1,2,Si1O2,SiO2_stoichiometry,-1769.446045279144,-19.238296794584755,0.3791861153598992,0.29063957373808286,0.6375023116465042,4.28774262503155,4.440892098500626e-16,2.094764613337708e-15,26,0.015575809656669529,0.3773751083635343,0.38278242569430204
72,12,4,8,Si4O8,SiO2_stoichiometry,-7086.252273425274,-85.06260358179696,0.144502320266088,0.10844956927222398,0.3984336569760183,3.337058898062975,1.4142135624137618e-06,3.0282846668030173e-15,30,0.01760167270685879,0.11934117180058408,0.18481918491697805
73,18,6,12,Si6O12,SiO2_stoichiometry,-10612.53315719694,-112.60834901629154,0.3238814304818972,0.2627965718143168,0.6944813199008764,2.6803114494870224,1.4142135603726416e-06,5.464113502652437e-15,29,-0.09148972580094591,0.30732702064733447,0.35467978204722334
74,24,8,16,Si8O16,SiO2_stoichiometry,-14176.56589927689,-174.28462965947696,0.15154466811632483,0.1131693745512919,0.5046613567407778,2.8874493425799628,4.123105627755739e-06,7.588599744428075e-15,37,-0.0062798549841739755,0.12396577558400702,0.19535181665695445
75,24,8,16,Si8O16,SiO2_stoichiometry,-14176.58187916333,-174.27916268086187,0.14261146680079584,0.1053901879661195,0.488677775970376,2.538098099930115,2.0000000010844676e-06,5.72707231706501e-15,37,-0.005386235606852807,0.10909720402574538,0.19289813772235662
76,24,8,16,Si8O16,SiO2_stoichiometry,-14179.39174321104,-176.95195055474858,0.10050875163663579,0.07712279937551544,0.251234206490472,2.669452686183698,2.44948974516234e-06,5.995204332975845e-15,37,0.00032527163575106027,0.10711163300593197,0.08579174561850285
77,24,8,16,Si8O16,SiO2_stoichiometry,-14178.312146981012,-175.92515804290386,0.10404055821537342,0.0759142876603162,0.28672193242976396,2.988029368308721,3.7416573896261916e-06,4.4106046277428444e-15,37,-0.0018748832885175186,0.10474892746344903,0.10260914994197008
78,24,8,16,Si8O16,SiO2_stoichiometry,-14176.459433640613,-174.24936590313303,0.17222901588983308,0.13397576860875157,0.5445641830972128,3.031718932545323,2.828427124513505e-06,4.294138290686637e-15,37,-0.00924659998134203,0.14407222594278535,0.21788733135940502
79,24,8,16,Si8O16,SiO2_stoichiometry,-14179.363779022022,-177.30424234316087,0.1619759505021368,0.10687677959895196,0.6143587945762876,2.624041523811041,9.999999980303542e-07,2.5915816589607218e-15,37,-0.015518727423820877,0.1405700908920101,0.1979614222934258
80,24,8,16,Si8O16,SiO2_stoichiometry,-14176.14109879218,-174.11333741298535,0.2598851665748605,0.14083416125869727,1.3149639191529767,2.369135339983248,3.316624790065815e-06,3.2501293141927617e-15,37,-0.01684269824321542,0.11307254784712337,0.42077321357668307
81,24,8,16,Si8O16,SiO2_stoichiometry,-14180.331671423963,-177.95793049742574,0.08603307256594722,0.06969938278517643,0.19239777898331206,2.067121221011667,2.2360679766455517e-06,5.5534738459309805e-15,37,-0.0024268837706552895,0.07781879031665538,0.10046661372176065
82,24,8,16,Si8O16,SiO2_stoichiometry,-14179.29471747669,-177.10850310062017,0.13354255764505654,0.09964280353019439,0.4170946121423089,2.1748962705911814,2.999999999938237e-06,3.948712300201049e-15,37,-0.010240490040098157,0.09489913208466318,0.18838565116883246
83,24,8,16,Si8O16,SiO2_stoichiometry,-14180.745405037975,-178.47652444328605,0.11004269626655237,0.08320365180254272,0.3333905042905263,2.339502323964196,3.3166247913545828e-06,5.515473566030869e-15,37,-0.006796064264334471,0.088509305967536,0.14373722732517238
84,24,8,16,Si8O16,SiO2_stoichiometry,-14178.236997568343,-176.00236734066723,0.11201448812133333,0.08036319136370429,0.40931772513850695,2.4689153841270732,1.4142135628259111e-06,3.5655113195593285e-15,37,-0.008223162889862579,0.09096423316815731,0.1452334438602597
85,24,8,16,Si8O16,SiO2_stoichiometry,-14179.868680983484,-177.49322938246624,0.09630833940481623,0.07313643338232534,0.30821788109545745,2.309965583141241,1.9999999989472883e-06,2.0740677722252305e-15,37,-0.002355605667309154,0.07811354424372928,0.12498974809201646
86,6,2,4,Si2O4,SiO2_stoichiometry,-3542.128866286088,-41.66708527535559,0.0806084323010192,0.06570019295369768,0.18287819158653834,1.753664198228447,1.4142135618691358e-06,2.1013738783212888e-15,28,0.030626198425340572,0.08299344088227,0.07561306510865896
87,6,2,4,Si2O4,SiO2_stoichiometry,-3543.129403643615,-42.637924215106196,0.08038081493914812,0.07172305550611152,0.1602307513303347,1.9799861506285004,1.4142135625707708e-06,2.784978468864037e-15,28,0.03557593472145015,0.07163795228097722,0.09549467952101617
88,6,2,4,Si2O4,SiO2_stoichiometry,-3542.300308630483,-41.85375178945046,0.10050377764570563,0.07882462964357731,0.21873473006419442,2.4211622435507656,1.4142135624530142e-06,1.7422013638940487e-15,28,0.02808883680869793,0.0824220512586683,0.129291294740981
89,6,2,4,Si2O4,SiO2_stoichiometry,-3542.853838699339,-42.36780947867119,0.12766412739217384,0.10057623239851897,0.3149951810600583,1.69941197056933,1.4142135628062847e-06,5.900916318210353e-16,28,0.03466756674793695,0.10327125875059055,0.1660255477345361
90,6,2,4,Si2O4,SiO2_stoichiometry,-3542.232477584027,-41.73259619349403,0.1257250210662646,0.10042021660006956,0.2897752574592052,1.4601065989098003,1.000000000139778e-06,8.308148362110449e-16,28,0.03697626172544943,0.13224452322664124,0.11154871097173076
91,6,2,4,Si2O4,SiO2_stoichiometry,-3543.126222496532,-42.62659531683622,0.09329693833176302,0.07230821919853217,0.19019391769006994,1.6900420819369,1.0000000005838672e-06,2.3088902282403703e-15,28,0.036933893252600804,0.08355232511854287,0.11023145667554703
92,6,2,4,Si2O4,SiO2_stoichiometry,-3542.628734957477,-42.114461355816545,0.07025428108144807,0.06315199166522492,0.12839209220044978,2.2636002173456875,1.4142135624137618e-06,1.9389211565826713e-15,28,0.03937496357999256,0.07684583209832019,0.05473964019836908
93,6,2,4,Si2O4,SiO2_stoichiometry,-3541.606814892813,-41.14856682352268,0.11011545189623348,0.09388501613733895,0.2261241595020249,4.3528443756975035,1.0000000010279564e-06,2.5121479338940403e-15,28,0.03003737485166269,0.10462983324972011,0.12033883092005944
94,6,2,4,Si2O4,SiO2_stoichiometry,-3541.153055915041,-40.715029620982214,0.13461222764499134,0.11215493245542313,0.29945194159279076,2.5825146856691403,1.414213562963294e-06,1.9860273225978185e-15,28,0.02666707897974992,0.12035686966379902,0.15934178153925452
95,6,2,4,Si2O4,SiO2_stoichiometry,-3542.239322744238,-41.76365984663381,0.11077288598036815,0.08517761440246872,0.24201478704242985,1.9179881541140096,1.4142135617857248e-06,1.6504651808933464e-15,28,0.03293984623732271,0.08174392137837766,0.15312661245071071
96,6,2,4,Si2O4,SiO2_stoichiometry,-3543.036714587856,-42.58235281578936,0.06525349753264001,0.05682743668607679,0.12081538318292645,1.5183929226049422,1.4142135624137618e-06,1.6699540590904642e-15,28,0.029389658647694716,0.06958977892253622,0.05557501380793202
97,6,2,4,Si2O4,SiO2_stoichiometry,-3540.962220832169,-40.50605626838721,0.23357902760374633,0.1850661400621535,0.5133757966278614,1.7099551278456435,1.000000000139778e-06,1.5543122344752192e-15,28,0.029690123933562518,0.21778471620281037,0.26233017589644114
98,6,2,4,Si2O4,SiO2_stoichiometry,-3543.915378405998,-43.4155750535454,0.08089492936554038,0.07028706791083086,0.14425926221182728,1.2192645812588787,1.0000000000287557e-06,2.174211362425114e-15,28,0.03696325537873572,0.07542255787268624,0.09085617380811219
99,6,2,4,Si2O4,SiO2_stoichiometry,-3541.411298499145,-40.87110165167047,0.16206657131121072,0.1438787111368037,0.2638711999365172,2.702654767837686,2.449489743057576e-06,2.6372178930022424e-15,28,0.04369550454899951,0.13043965903132765,0.21158381628398995
100,6,2,4,Si2O4,SiO2_stoichiometry,-3541.790592838776,-41.40195795419822,0.20633203713536702,0.17847462350530818,0.42777604073689623,2.544523488014166,1.1322097734007351e-15,9.155133597044475e-16,28,0.01843517739955658,0.18283940775471963,0.24669460997171822
101,6,2,4,Si2O4,SiO2_stoichiometry,-3542.209389267213,-41.63982882260694,0.08849314046648867,0.07369159547135246,0.15385141253009543,2.047824729418661,1.0000000005838672e-06,1.5263043145882805e-15,28,0.04858943740426369,0.08656928938632254,0.09222051831972844
102,6,2,4,Si2O4,SiO2_stoichiometry,-3542.727305346154,-42.19563864111873,0.0846076662828269,0.06786946587307062,0.16160071185874236,1.8424140169569199,8.005932084973442e-16,1.4217791915866692e-15,28,0.04227381414249839,0.09109730545069875,0.06984220400819832
