cycle,mean_epsilon_total,epsilon_total_amplitude,mean_epsilon_a,mean_epsilon_xi,epsilon_p_increment,epsilon_p_end,net_registry_transfer,gross_registry_activity,absorbed_mass,peak_opening_flux
1,2.54947634506e-2,1.42915649984e-2,2.34697852678e-2,2.02497818233e-3,9.00397828794e-13,9.00397828794e-13,3.47261065950e-12,3.53426473646e-12,8.79415393490e-15,4.33834874896e-12
2,2.20284447853e-2,1.30305049689e-2,2.00025068150e-2,2.02593796884e-3,8.70323636395e-13,1.77072146519e-12,3.35671521595e-12,3.50347756919e-12,1.71156070517e-14,4.33834874896e-12
3,2.18129486110e-2,1.29536175788e-2,1.97869201138e-2,2.02602849493e-3,8.41626978079e-13,2.61234844327e-12,3.24609044035e-12,3.47292889979e-12,1.48183374629e-14,4.33834874896e-12
