energy_model,grid_a,grid_s,dt,well_index,final_absolute_intact_mass
two_row_lj_reference,41,60,2.5e-4,-1,1.35038572624e-16
two_row_lj_reference,41,60,2.5e-4,0,9.9999999998988709e-1
two_row_lj_reference,41,60,2.5e-4,1,1.00752292653e-11
