hold_model_time,grid_a,grid_s,dt,epsilon_p_end_loading,epsilon_p_end_hold,mean_well_index_end_hold,epsilon_a_end_hold,epsilon_xi_end_hold,opening_absorbed_mass,classification
0.4,15,30,1e-3,1.74559867058e-12,1.08281532794e-11,4.17611459422e-11,4.26838801737e-2,6.08150511855e-3,8.81402799602e-11,unresolved-grid-sensitive
0.4,21,42,5e-4,1.03698996078e-12,7.09215495520e-12,2.73524497195e-11,-3.95833537059e-3,3.03445197590e-3,5.08906752206e-13,unresolved-grid-sensitive
0.4,31,60,5e-4,9.11531817283e-13,6.49770456403e-12,2.50598215215e-11,5.51505908486e-3,1.42851461611e-3,2.49124676029e-14,unresolved-grid-sensitive
2.0,21,42,2e-3,1.03676765301e-12,1.99373472106e-11,7.68927484753e-11,-4.01766655517e-3,1.61511454781e-3,1.61294021124e-12,persistent-candidate-not-converged
2.0,31,60,1e-3,9.11364039795e-13,1.58442564421e-11,6.11068469897e-11,5.38562981051e-3,3.94774110299e-4,4.10730189657e-14,persistent-candidate-not-converged
