case,minimum_H_eV_L0sq,step_over_L0,curvature,eigenvalue_error,plus_energy_change,minus_energy_change
probe_core_plus_R10r7,0.14856871750892536,0.002,0.1485687178837125,3.7478714576266725e-10,2.9719337302225313e-07,2.970814987346415e-07
probe_core_plus_R10r7,0.14856871750892536,0.001,0.14856870711454917,1.0394376193101351e-08,7.431220638842717e-08,7.42565005040774e-08
probe_core_plus_R4r5,0.6189835668914977,0.002,0.6189839079073778,3.410158800898344e-07,1.2380572584902438e-06,1.237878373028245e-06
probe_core_plus_R4r5,0.6189835668914977,0.001,0.618983666100803,9.920930532647532e-08,3.0950737828217e-07,3.094762877076107e-07
probe_core_plus_R8r5,0.21619453796430263,0.002,0.21619452672538841,1.1238914215949691e-08,4.3238855051974667e-07,4.323895562707847e-07
probe_core_plus_R8r5,0.21619453796430263,0.001,0.21619452006405027,1.790025236370063e-08,1.0809700368152875e-07,1.0809751627149922e-07
probe_core_R4r5,-1.2294046439550703,0.002,-1.2291662370711443,0.0002384068839260678,-2.4583324271798546e-06,-2.4583325211047224e-06
probe_core_R4r5,-1.2294046439550703,0.001,-1.2293450240008497,5.961995422065769e-05,-6.146724946809456e-07,-6.14672529319904e-07
probe_stationary_R10r7,0.1485687170652486,0.002,0.14856871988211395,2.8168653520843634e-09,2.9713776217299426e-07,2.9713711735546156e-07
probe_stationary_R10r7,0.1485687170652486,0.001,0.1485687310953665,1.4030117900798444e-08,7.428440418344451e-08,7.4284326911922e-08
