case,radius_over_L0,inner_fraction,weighted_remainder_eV,continuum_subtraction_eV,finite_part_at_reference_b_eV,window_constant,window_series_tail,window_series_terms,log_coefficient_eV,core_radius_fitted,convergence_certified
probe_core_plus_R10r7,2.0,0.5,0.2634660074829774,0.13260002644692123,0.13086598103605615,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,2.0,0.75,0.2997389295598351,0.1876107621807567,0.11212816737907841,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,2.5,0.5,0.3206572882724743,0.20768375347142046,0.11297353480105385,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,2.5,0.75,0.36451895796487144,0.26269448920525595,0.10182446875961548,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,3.0,0.5,0.3698518995231819,0.2690316253699138,0.10082027415326811,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,3.0,0.75,0.41552394462578535,0.3240423611037493,0.09148158352203606,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,3.5,0.5,0.4135234044914139,0.32090051199748715,0.09262289249392675,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,3.5,0.75,0.4601393349810954,0.3759112477313227,0.08422808724977271,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,4.0,0.5,0.4522658989357424,0.36583138530291,0.08643451363283244,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,4.0,0.75,0.5011640907618571,0.4208421210367455,0.08032196972511157,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,4.5,0.5,0.4879002196058381,0.4054632242929064,0.08243699531293175,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,4.5,0.75,0.5379244039776019,0.4604739600267419,0.07745044395085998,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,5.0,0.5,0.5203320112156486,0.4409151123274092,0.07941689888823944,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,5.0,0.75,0.5714833130590306,0.4959258480612447,0.07555746499778587,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,5.5,0.5,0.5501514052098954,0.47298524601909325,0.07716615919080211,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,5.5,0.75,0.6019933075949861,0.5279959817529287,0.07399732584205743,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,6.0,0.5,0.5779343926101328,0.5022629842259025,0.07567140838423025,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,6.0,0.75,0.6306874059105188,0.5572737199597381,0.07341368595078068,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,6.5,0.5,0.6037673510395126,0.5291958925616627,0.07457145847784996,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,6.5,0.75,0.6569519457128966,0.5842066282954982,0.07274531741739843,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,7.0,0.5,0.6278731958719348,0.5541318708534759,0.07374132501845887,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,7.0,0.75,0.6817121202491125,0.6091426065873113,0.0725695136618012,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,7.5,0.5,0.6506296661548512,0.5773467112504017,0.07328295490444947,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,7.5,0.75,0.7048043748377407,0.6323574469842372,0.07244692785350348,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,8.0,0.5,0.6720388803117605,0.5990627441588987,0.0729761361528618,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,8.0,0.75,0.7267120780096448,0.6540734798927342,0.07263859811691054,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,8.5,0.5,0.6922971231202425,0.619461821473121,0.07283530164712149,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,8.5,0.75,0.7472844208093039,0.6744725572069565,0.07281186360234737,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,9.0,0.5,0.7115499437726611,0.6386945831488952,0.07285536062376596,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,9.0,0.75,0.7668946724339043,0.6937053188827307,0.07318935355117362,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,9.5,0.5,0.7298437077161468,0.6568872150171327,0.07295649269901416,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,9.5,0.75,0.7854853071950727,0.7118979507509682,0.07358735644410452,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R10r7,10.0,0.5,0.7472848222847779,0.6741464711833981,0.07313835110137978,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R10r7,10.0,0.75,0.8031784562619322,0.7291572069172335,0.07402124934469867,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R4r5,2.0,0.5,0.2703356815260114,0.13260002644692123,0.13773565507909016,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R4r5,2.0,0.75,0.3077816145815623,0.1876107621807567,0.12017085240080558,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R4r5,2.5,0.5,0.32977604252575193,0.20768375347142046,0.12209228905433148,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R4r5,2.5,0.75,0.37562871756932525,0.26269448920525595,0.1129342283640693,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R4r5,3.0,0.5,0.38150701114074287,0.2690316253699138,0.11247538577082905,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R4r5,3.0,0.75,0.4299107683430343,0.3240423611037493,0.10586840723928503,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R4r5,3.5,0.5,0.42784999444706107,0.32090051199748715,0.10694948244957392,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R4r5,3.5,0.75,0.47757567848442517,0.3759112477313227,0.1016644307531025,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R4r5,4.0,0.5,0.46933997754172596,0.36583138530291,0.10350859223881598,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R4r5,4.0,0.75,0.5219735280441637,0.4208421210367455,0.10113140700741824,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,2.0,0.5,0.26451147245480533,0.13260002644692123,0.1319114460078841,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,2.0,0.75,0.30093419501179647,0.1876107621807567,0.11332343283103977,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,2.5,0.5,0.32199293017211106,0.20768375347142046,0.1143091767006906,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,2.5,0.75,0.3661085697612235,0.26269448920525595,0.10341408055596757,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,3.0,0.5,0.371495471250763,0.2690316253699138,0.10246384588084917,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,3.0,0.75,0.41748684125302776,0.3240423611037493,0.09344448014927847,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,3.5,0.5,0.41548156008898546,0.32090051199748715,0.09458104809149831,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,3.5,0.75,0.46245879626824404,0.3759112477313227,0.08654754853692137,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,4.0,0.5,0.45454223335051896,0.36583138530291,0.08871084804760898,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,4.0,0.75,0.503874070339202,0.4208421210367455,0.08303194930245644,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,4.5,0.5,0.49051025752178357,0.4054632242929064,0.08504703322887719,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,4.5,0.75,0.5410370017093835,0.4604739600267419,0.08056304168264161,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,5.0,0.5,0.52328135413867,0.4409151123274092,0.08236624181126084,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,5.0,0.75,0.5750163055961115,0.4959258480612447,0.07909045753486682,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,5.5,0.5,0.5534539672610637,0.47298524601909325,0.08046872124197041,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,5.5,0.75,0.6059545512504207,0.5279959817529287,0.07795856949749203,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,6.0,0.5,0.5816074837851133,0.5022629842259025,0.07934449955921075,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,6.0,0.75,0.6351199708317434,0.5572737199597381,0.07784625087200536,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,6.5,0.5,0.6078222359513122,0.5291958925616627,0.07862634338964958,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,6.5,0.75,0.6618546186191426,0.5842066282954982,0.07764799032364444,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,7.0,0.5,0.632321195893,0.5541318708534759,0.07818932503952403,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,7.0,0.75,0.6871028741471858,0.6091426065873113,0.07796026755987451,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,7.5,0.5,0.6554719431793203,0.5773467112504017,0.07812523192891863,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,7.5,0.75,0.7106455553759847,0.6323574469842372,0.07828810839174749,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_plus_R8r5,8.0,0.5,0.6772589178722427,0.5990627441588987,0.07819617371334397,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_plus_R8r5,8.0,0.75,0.7329468855574869,0.6540734798927342,0.07887340566475265,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_R4r5,2.0,0.5,0.28116816005590295,0.13260002644692123,0.14856813360898172,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_R4r5,2.0,0.75,0.3180841658165864,0.1876107621807567,0.13047340363582968,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_R4r5,2.5,0.5,0.3398002020971927,0.20768375347142046,0.13211644862577224,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_R4r5,2.5,0.75,0.3856838261754165,0.26269448920525595,0.12298933697016057,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_R4r5,3.0,0.5,0.39189348817568564,0.2690316253699138,0.12286186280577183,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_R4r5,3.0,0.75,0.440489737897051,0.3240423611037493,0.1164473767933017,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_R4r5,3.5,0.5,0.43833068171429934,0.32090051199748715,0.1174301697168122,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_R4r5,3.5,0.75,0.48834409540603346,0.3759112477313227,0.11243284767471079,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_core_R4r5,4.0,0.5,0.48001027841110744,0.36583138530291,0.11417889310819745,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_core_R4r5,4.0,0.75,0.5329834503662918,0.4208421210367455,0.11214132932954629,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,2.0,0.5,0.2634660088723309,0.13260002644692123,0.13086598242540967,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,2.0,0.75,0.2997389310067856,0.1876107621807567,0.11212816882602891,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,2.5,0.5,0.3206572900344828,0.20768375347142046,0.11297353656306233,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,2.5,0.75,0.36451895996369643,0.26269448920525595,0.10182447075844048,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,3.0,0.5,0.3698519013883557,0.2690316253699138,0.1008202760184419,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,3.0,0.75,0.4155239466380012,0.3240423611037493,0.0914815855342519,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,3.5,0.5,0.4135234064712618,0.32090051199748715,0.09262289447377464,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,3.5,0.75,0.46013933693702774,0.3759112477313227,0.08422808920570507,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,4.0,0.5,0.45226590090278906,0.36583138530291,0.08643451559987908,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,4.0,0.75,0.5011640926422584,0.4208421210367455,0.08032197160551285,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,4.5,0.5,0.48790022151671686,0.4054632242929064,0.08243699722381048,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,4.5,0.75,0.5379244058028778,0.4604739600267419,0.07745044577613591,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,5.0,0.5,0.5203320130606712,0.4409151123274092,0.07941690073326202,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,5.0,0.75,0.5714833148330556,0.4959258480612447,0.07555746677181091,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,5.5,0.5,0.5501514070015059,0.47298524601909325,0.07716616098241263,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,5.5,0.75,0.6019933092480036,0.5279959817529287,0.07399732749507493,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,6.0,0.5,0.5779343943488617,0.5022629842259025,0.07567141012295919,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,6.0,0.75,0.6306874075566724,0.5572737199597381,0.07341368759693434,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,6.5,0.5,0.6037673527069098,0.5291958925616627,0.07457146014524718,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,6.5,0.75,0.6569519472350818,0.5842066282954982,0.07274531893958358,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,7.0,0.5,0.6278731974789205,0.5541318708534759,0.07374132662544453,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,7.0,0.75,0.6817121217109113,0.6091426065873113,0.07256951512359999,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,7.5,0.5,0.6506296677023289,0.5773467112504017,0.07328295645192717,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,7.5,0.75,0.7048043762112934,0.6323574469842372,0.0724469292270562,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,8.0,0.5,0.6720388817886027,0.5990627441588987,0.07297613762970401,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,8.0,0.75,0.7267120793192008,0.6540734798927342,0.07263859942646655,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,8.5,0.5,0.6922971245278863,0.619461821473121,0.07283530305476527,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,8.5,0.75,0.7472844220112153,0.6744725572069565,0.07281186480425872,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,9.0,0.5,0.7115499450992786,0.6386945831488952,0.07285536195038345,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,9.0,0.75,0.7668946735055955,0.6937053188827307,0.0731893546228648,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,9.5,0.5,0.7298437089405017,0.6568872150171327,0.072956493923369,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,9.5,0.75,0.7854853080921298,0.7118979507509682,0.07358735734116162,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
probe_stationary_R10r7,10.0,0.5,0.7472848233956781,0.6741464711833981,0.07313835221228004,-0.29906923613305847,1.512673100661835e-15,36,0.3364817248013292,False,False
probe_stationary_R10r7,10.0,0.75,0.803178456960753,0.7291572069172335,0.07402125004351945,-0.1355812019275878,7.189681436940145e-16,19,0.3364817248013292,False,False
