steps_per_cycle,segments,dt_seconds,absolute_transfer_error,amplitude_ratio,phase_degrees,final_hold_seconds,final_mean_bow_m,final_bow_over_static_mean,permanent_slip_generated,opening_probability
64,128,3.684553641999128e-10,0.023654222386393257,0.6917992839239907,-42.85483204512193,7.516489429678221e-08,8.936441517108074e-19,2.489916320615235e-09,False,
128,128,1.842276820999564e-10,0.011980389946393336,0.6997133862662566,-43.561609339302834,7.516489429678221e-08,5.713181388607434e-19,1.5918353580556226e-09,False,
256,128,9.21138410499782e-11,0.0060389612330230946,0.7038070429544098,-43.91322061599138,7.507278045573223e-08,4.6309511988508e-19,1.2902989347512394e-09,False,
512,128,4.60569205249891e-11,0.0030415338248672747,0.7058888860431284,-44.088560554145154,7.507278045573223e-08,4.1081254820412506e-19,1.1446266016833975e-09,False,
