span_um,shear_MPa,linear_mean_bow_m,nonlinear_mean_bow_m,linearization_relative_error,predicted_maximum_slope,outer_only_fold_MPa,experimental_yield_MPa,status
0.2,0.01,1.8302072900912573e-11,1.8301793633443557e-11,1.525902185374013e-05,0.0005490621870273772,38.49143618848574,,"subcritical bow, no yield claim"
0.2,0.1,1.8302072900912572e-10,1.830163858812512e-10,2.3730814340018268e-05,0.0054906218702737725,38.49143618848574,,"subcritical bow, no yield claim"
0.2,1.0,1.8302072900912572e-09,1.8286375208135643e-09,0.0008584365462404511,0.05490621870273772,38.49143618848574,,"subcritical bow, no yield claim"
0.2,4.0,7.320829160365029e-09,7.229686432742845e-09,0.01260673315088786,0.2196248748109509,38.49143618848574,,"subcritical bow, no yield claim"
1.0,0.01,3.5890529505425155e-10,3.588998185940753e-10,1.525902185664473e-05,0.0021534317703255095,9.81419166685746,,"subcritical bow, no yield claim"
1.0,0.1,3.5890529505425157e-09,3.5885308756432443e-09,0.0001454842991083082,0.021534317703255094,9.81419166685746,,"subcritical bow, no yield claim"
1.0,1.0,3.5890529505425154e-08,3.5459559058892463e-08,0.012153858027871136,0.21534317703255096,9.81419166685746,,"subcritical bow, no yield claim"
1.0,4.0,1.4356211802170062e-07,1.315198799263812e-07,0.09156211290688603,0.8613727081302038,9.81419166685746,,"subcritical bow, no yield claim"
5.0,0.01,7.3812593954884585e-09,7.38098405051972e-09,3.730464215257975e-05,0.008857511274586151,2.3860192192035536,,"subcritical bow, no yield claim"
5.0,0.1,7.381259395488459e-08,7.365108439041062e-08,0.0021929013783128846,0.08857511274586152,2.3860192192035536,,"subcritical bow, no yield claim"
5.0,1.0,7.381259395488458e-07,6.751867298242735e-07,0.09321748628109602,0.8857511274586151,2.3860192192035536,,"subcritical bow, no yield claim"
5.0,4.0,2.9525037581953834e-06,,,3.5430045098344602,2.3860192192035536,,outside certified graph branch
