span_um,frequency_Hz,slowest_line_time_seconds,drag_Pa_s,line_stiffness_J_m,omega_tau,amplitude_ratio,phase_degrees,reciprocal_angular_stiffness_change_J_m,maximum_series_mode,absolute_series_tail,time_scope
0.2,0.1,1.91383901824553e-10,2.462995669784718e-05,5.215770693134116e-10,1.202500519974732e-10,0.9999999999501452,-6.7999802394219564e-09,4.332875446129328e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
0.2,1.0,1.91383901824553e-10,2.462995669784718e-05,5.215770693134116e-10,1.2025005199747319e-09,0.9999999999501452,-6.799980239421957e-08,4.332875446129328e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
0.2,25.0,1.91383901824553e-10,2.462995669784718e-05,5.215770693134116e-10,3.0062512999368295e-08,0.9999999999501448,-1.6999950598554878e-06,4.332875446129328e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
0.2,100.0,1.91383901824553e-10,2.462995669784718e-05,5.215770693134116e-10,1.2025005199747318e-07,0.9999999999501379,-6.799980239421921e-06,4.332875446129328e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
0.2,831600472.0072911,1.91383901824553e-10,2.462995669784718e-05,5.215770693134116e-10,1.0,0.7080554471248912,-44.261565172959465,4.332875446129328e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
1.0,0.1,3.753055521353004e-09,2.462995669784718e-05,6.649345717075197e-10,2.3581143308794418e-09,0.9999999999501452,-1.3334822385453e-07,5.5237053354759806e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
1.0,1.0,3.753055521353004e-09,2.462995669784718e-05,6.649345717075197e-10,2.3581143308794418e-08,0.9999999999501448,-1.3334822385453e-06,5.5237053354759806e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
1.0,25.0,3.753055521353004e-09,2.462995669784718e-05,6.649345717075197e-10,5.895285827198604e-07,0.9999999999499719,-3.333705596362858e-05,5.5237053354759806e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
1.0,100.0,3.753055521353004e-09,2.462995669784718e-05,6.649345717075197e-10,2.3581143308794417e-06,0.9999999999473723,-0.00013334822385427966,5.5237053354759806e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
1.0,42406764.88434117,3.753055521353004e-09,2.462995669784718e-05,6.649345717075197e-10,0.9999999999999999,0.7080554471248914,-44.26156517295946,5.5237053354759806e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
5.0,0.1,7.71854768110603e-08,2.462995669784718e-05,8.082920741016277e-10,4.849706538269047e-08,0.9999999999501439,-2.742444438021359e-06,6.714535224822633e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
5.0,1.0,7.71854768110603e-08,2.462995669784718e-05,8.082920741016277e-10,4.849706538269048e-07,0.999999999950028,-2.7424444380211435e-05,6.714535224822633e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
5.0,25.0,7.71854768110603e-08,2.462995669784718e-05,8.082920741016277e-10,1.2124266345672618e-05,0.999999999876846,-0.0006856111094713177,6.714535224822633e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
5.0,100.0,7.71854768110603e-08,2.462995669784718e-05,8.082920741016277e-10,4.849706538269047e-05,0.9999999987773572,-0.0027424444358439123,6.714535224822633e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
5.0,2061980.4355356293,7.71854768110603e-08,2.462995669784718e-05,8.082920741016277e-10,0.9999999999999999,0.7080554471248914,-44.26156517295946,6.714535224822633e-21,1487,9.991198375325356e-11,measured line-velocity slope + hypothetical pins + fixed 0K elastic comparator; NOT production a/s
