span_um,frequency_Hz,segments,absolute_transfer_error,phase_error_degrees,work_per_cycle_J,dissipation_per_cycle_J,work_dissipation_relative_residual
0.2,0.1,16,0.003906249950144547,-2.6562422469909078e-11,3.908396052855731e-33,3.90839605285573e-33,1.7506612854233654e-16
0.2,0.1,32,0.0009765624501453241,-6.640605363215021e-12,3.908451963762867e-33,3.908451963762866e-33,3.5012724839778316e-16
0.2,0.1,64,0.00024414057515087517,-1.660151086496872e-12,3.908455458194515e-33,3.908455458194518e-33,-7.002538707192289e-16
0.2,0.1,128,6.1035106414975004e-05,-4.1503751723436157e-13,3.908455676596387e-33,3.90845567659639e-33,-7.00253831589514e-16
0.2,1.0,16,0.003906249950144547,-2.656242246990789e-10,3.9083960528557314e-32,3.9083960528557303e-32,2.801058056677385e-16
0.2,1.0,32,0.0009765624501453241,-6.640605363217689e-11,3.9084519637628685e-32,3.908451963762866e-32,7.002544967955662e-16
0.2,1.0,64,0.00024414057515087517,-1.6601510864998346e-11,3.9084554581945177e-32,3.9084554581945177e-32,0.0
0.2,1.0,128,6.1035106414975004e-05,-4.150375172322879e-12,3.908455676596386e-32,3.90845567659639e-32,-9.803553642253195e-16
0.2,25.0,16,0.003906249950144103,-6.640605617478254e-09,9.770990132139326e-31,9.770990132139324e-31,1.7926771562735265e-16
0.2,25.0,32,0.0009765624501444359,-1.6601513408039109e-09,9.771129909407164e-31,9.771129909407173e-31,-8.963257558983241e-16
0.2,25.0,64,0.000244140575149987,-4.150377716258353e-10,9.771138645486293e-31,9.771138645486302e-31,-8.963249545206122e-16
0.2,25.0,128,6.1035106414086826e-05,-1.0375937930852216e-10,9.771139191490963e-31,9.771139191490982e-31,-1.97191478975607e-15
0.2,100.0,16,0.003906249950144547,-2.6562422469909228e-08,3.908396052855673e-30,3.908396052855672e-30,1.7926771562735529e-16
0.2,100.0,32,0.0009765624501441028,-6.640605363224751e-09,3.908451963762819e-30,3.908451963762818e-30,1.7926515117966715e-16
0.2,100.0,64,0.00024414057514621224,-1.6601510865344333e-09,3.908455458194497e-30,3.908455458194496e-30,1.7926499090412358e-16
0.2,100.0,128,6.103510640953491e-05,-4.1503751726442077e-10,3.908455676596367e-30,3.9084556765963774e-30,-2.6889747133037423e-15
0.2,831600472.0072911,16,0.004214753753600791,-0.1287286092899831,1.6221825999247288e-23,1.6221825999247288e-23,0.0
0.2,831600472.0072911,32,0.001054547994672089,-0.032244545581317584,1.6261243132854894e-23,1.6261243132854897e-23,-1.8072024709588e-16
0.2,831600472.0072911,64,0.000263690329706209,-0.00806501822446113,1.6271042885052597e-23,1.6271042885052603e-23,-3.6122280517807363e-16
0.2,831600472.0072911,128,6.592587750695e-05,-0.0020164949423386804,1.627348939903437e-23,1.6273489399034353e-23,1.0835054996490549e-15
1.0,0.1,16,0.003906249950144547,-5.208914927577424e-10,7.514978456231602e-30,7.514978456231603e-30,-1.8646739607920316e-16
1.0,0.1,32,0.0009765624501433257,-1.3022286820361533e-10,7.515085960501138e-30,7.515085960501137e-30,1.8646472863916153e-16
1.0,0.1,64,0.00024414057514088316,-3.2555712065319766e-11,7.515092679518019e-30,7.515092679518024e-30,-7.458582477067673e-16
1.0,0.1,128,6.103510639532406e-05,-8.138923029906061e-12,7.515093099456494e-30,7.515093099456497e-30,-3.7292910301434884e-16
1.0,1.0,16,0.003906249950144103,-5.20891492757766e-09,7.514978456231601e-29,7.514978456231604e-29,-4.475217505900875e-16
1.0,1.0,32,0.0009765624501426595,-1.3022286820356308e-09,7.515085960501136e-29,7.515085960501138e-29,-2.983435658226584e-16
