line_time_seconds,applied_shear_Pa,mean_bow_m,phase
0.0,10000.0,0.0,cyclic
4.60569205249891e-11,9999.247018391445,4.974795943358417e-12,cyclic
9.21138410499782e-11,9996.988186962042,9.760797985015089e-12,cyclic
1.381707615749673e-10,9993.223845883496,1.440364824201524e-11,cyclic
1.842276820999564e-10,9987.954562051724,1.8926113474517113e-11,cyclic
2.3028460262494549e-10,9981.181129001492,2.3342218310425156e-11,cyclic
2.763415231499346e-10,9972.904566786901,2.7661604223652034e-11,cyclic
3.223984436749237e-10,9963.12612182778,3.189135634783254e-11,cyclic
3.684553641999128e-10,9951.847266721968,3.60369188816142e-11,cyclic
4.1451228472490185e-10,9939.069700023561,4.0102610520963866e-11,cyclic
4.6056920524989097e-10,9924.7953459871,4.409193959170698e-11,cyclic
5.066261257748801e-10,9909.0263542778,4.8007808923341786e-11,cyclic
5.526830462998692e-10,9891.76509964781,5.185265554216028e-11,cyclic
5.987399668248582e-10,9873.014181578585,5.5628549621483434e-11,cyclic
6.447968873498474e-10,9852.776423889412,5.933726679580769e-11,cyclic
6.908538078748365e-10,9831.054874312164,6.298034240689166e-11,cyclic
7.369107283998256e-10,9807.852804032304,6.655911310920073e-11,cyclic
7.829676489248146e-10,9783.173707196276,7.007474939634927e-11,cyclic
8.290245694498037e-10,9757.021300385286,7.35282814571634e-11,cyclic
8.750814899747929e-10,9729.399522055603,7.692062003296833e-11,cyclic
9.211384104997819e-10,9700.31253194544,8.025257346260908e-11,cyclic
9.671953310247711e-10,9669.76471044852,8.352486177417748e-11,cyclic
1.0132522515497602e-09,9637.760657954399,8.673812845626996e-11,cyclic
1.0593091720747493e-09,9604.305194155659,8.989295038232061e-11,cyclic
1.1053660925997383e-09,9569.403357322088,9.298984624741716e-11,cyclic
1.1514230131247274e-09,9533.060403541938,9.602928379390541e-11,cyclic
1.1974799336497165e-09,9495.281805930366,9.901168604075376e-11,cyclic
1.2435368541747055e-09,9456.073253805213,1.0193743668579255e-10,cyclic
1.2895937746996948e-09,9415.440651830208,1.0480688481526727e-10,cyclic
1.3356506952246839e-09,9373.39011912575,1.0762034902864427e-10,cyclic
1.381707615749673e-09,9329.927988347388,1.1037812106614356e-10,cyclic
1.427764536274662e-09,9285.060804732157,1.1308046901054775e-10,cyclic
1.4738214567996511e-09,9238.795325112867,1.1572764012229311e-10,cyclic
1.5198783773246402e-09,9191.138516900577,1.183198633569201e-10,cyclic
1.5659352978496293e-09,9142.097557035308,1.2085735160601378e-10,cyclic
1.6119922183746183e-09,9091.679830905225,1.2334030369635787e-10,cyclic
1.6580491388996074e-09,9039.892931234433,1.257689061768186e-10,cyclic
1.7041060594245967e-09,8986.744656939538,1.2814333491820944e-10,cyclic
1.7501629799495857e-09,8932.243011955154,1.3046375654786688e-10,cyclic
1.7962199004745748e-09,8876.396204028539,1.3273032973772748e-10,cyclic
1.8422768209995639e-09,8819.21264348355,1.349432063622584e-10,cyclic
1.888333741524553e-09,8760.700941954066,1.3710253254050472e-10,cyclic
1.9343906620495422e-09,8700.869911087115,1.3920844957476475e-10,cyclic
1.980447582574531e-09,8639.728561215867,1.4126109479690382e-10,cyclic
2.0265045030995204e-09,8577.28610000272,1.4326060233201004e-10,cyclic
2.0725614236245092e-09,8513.551931052652,1.4520710378799986e-10,cyclic
2.1186183441494985e-09,8448.53565249707,1.4710072887878512e-10,cyclic
2.1646752646744874e-09,8382.247055548381,1.4894160598779292e-10,cyclic
2.2107321851994767e-09,8314.696123025453,1.5072986267786078e-10,cyclic
2.256789105724466e-09,8245.893027850252,1.524656261529052e-10,cyclic
2.302846026249455e-09,8175.848131515837,1.5414902367616278e-10,cyclic
2.348902946774444e-09,8104.5719825259475,1.5578018294930945e-10,cyclic
2.394959867299433e-09,8032.07531480645,1.5735923245631187e-10,cyclic
2.4410167878244222e-09,7958.369046088836,1.5888630177545237e-10,cyclic
2.487073708349411e-09,7883.464276266062,1.6036152186263285e-10,cyclic
2.5331306288744004e-09,7807.372285720945,1.6178502530872198e-10,cyclic
2.5791875493993896e-09,7730.104533627369,1.6315694657344915e-10,cyclic
2.6252444699243785e-09,7651.672656224589,1.644774221980763e-10,cyclic
2.6713013904493678e-09,7572.088465064846,1.657465909988612e-10,cyclic
2.7173583109743567e-09,7491.363945234593,1.6696459424312716e-10,cyclic
2.763415231499346e-09,7409.511253549591,1.6813157580955386e-10,cyclic
2.809472152024335e-09,7326.542716724128,1.6924768233416606e-10,cyclic
2.855529072549324e-09,7242.47082951467,1.7031306334332286e-10,cyclic
2.901585993074313e-09,7157.308252838187,1.7132787137490572e-10,cyclic
2.9476429135993022e-09,7071.067811865476,1.722922620887581e-10,cyclic
2.9936998341242915e-09,6983.762494089729,1.732063943673493e-10,cyclic
3.0397567546492804e-09,6895.40544737067,1.7407043040751805e-10,cyclic
3.0858136751742696e-09,6806.00997795453,1.7488453580407493e-10,cyclic
3.1318705956992585e-09,6715.589548470184,1.7564887962597416e-10,cyclic
3.1779275162242478e-09,6624.157775901719,1.7636363448567048e-10,cyclic
3.2239844367492366e-09,6531.7284295377685,1.7702897660224742e-10,cyclic
3.270041357274226e-09,6438.315428897915,1.7764508585881404e-10,cyclic
3.3160982777992148e-09,6343.932841636455,1.7821214585464677e-10,cyclic
3.362155198324204e-09,6248.5948814238645,1.7873034395247863e-10,cyclic
3.4082121188491933e-09,6152.315905806268,1.7919987132132603e-10,cyclic
3.454269039374182e-09,6055.110414043255,1.7962092297517964e-10,cyclic
3.5003259598991715e-09,5956.993044924334,1.7999369780787e-10,cyclic
