profile,completed,eta,positive_LJ,elapsed_seconds,error
0,True,18.464446707075183,True,0.011773499980336055,
1,True,16.1428315803992,True,5.495056699990528,
2,True,18.7959495120048,True,5.460268200025894,
3,True,19.978882844931384,True,4.733426899998449,
4,True,17.16705538452542,False,4.709520300006261,
5,True,16.95576712153127,True,5.6751771999988705,
6,True,16.131268996025852,True,5.839505000010831,
7,True,15.948165407557921,True,5.778682800009847,
8,True,15.832380743172623,True,5.964157800015528,
9,True,16.202906193789524,True,5.5973767999967095,
10,True,15.820540957074162,True,5.539498199999798,
11,True,15.795464476181124,True,5.589832199999364,
12,True,15.785964304870943,True,5.784168300015153,
13,True,15.770326710157835,True,5.165542300004745,
14,True,15.77369239766026,True,5.8670349000021815,
15,True,15.768768703702392,True,5.743431300012162,
16,True,15.76656160374967,True,5.464218499982962,
17,True,15.764328880772414,True,5.477196899999399,
18,True,15.765233241273332,True,5.5711486999935005,
19,True,15.764664540865683,True,5.656218499992974,
20,True,15.763978882848223,True,5.845828399993479,
21,True,15.763585901309781,True,5.584563899989007,
22,True,57.87492982800808,True,21.788606100017205,
23,True,18.4468456882132,False,15.910940000001574,
24,True,16.011027890985023,True,14.455192699999316,
25,True,15.928239787527247,True,15.353215899987845,
26,True,15.755032043437714,True,15.432215400011046,
27,True,15.751740347810772,True,17.01465939998161,
28,True,15.748671752490704,True,16.20635679998668,
29,True,15.748611125556247,True,16.031669799995143,
30,True,15.748610524682514,True,13.507846799999243,
31,True,15.748610749004026,True,14.293782499997178,
32,True,151.02379067970736,True,7.286169600003632,
33,True,47.091413546897634,False,6.13539939999464,
34,True,20.19531997863702,True,5.719214200013084,
35,True,17.433499457300048,True,5.548574600019492,
36,True,17.449355785583446,True,5.8920051000022795,
37,True,16.16873253229083,True,5.211826899991138,
38,True,15.877083396516507,True,5.245153900003061,
39,True,15.75436974000095,True,5.252617200021632,
40,True,15.70484222084094,True,5.445489400008228,
41,True,15.683986477521959,True,5.496060200006468,
42,True,15.681906967899543,True,5.441156000015326,
43,True,15.681735575869642,True,5.169271400023717,
44,True,15.681730928846907,True,5.117220200016163,
45,True,15.681730903842892,True,5.360167799983174,
46,True,15.681730972016162,True,5.373034899996128,
47,True,61.116639892862054,True,2.9415705999999773,
48,True,30.553448813699887,True,2.399861799989594,
49,True,13.692302775995135,True,2.4118386000045575,
50,True,13.62832637556345,True,2.4736531999951694,
51,True,13.638689970851857,True,2.360276999999769,
52,True,13.62943856965102,True,2.5338910999998916,
53,True,13.627828511356887,True,2.3536004000052344,
54,True,13.626732766192097,True,2.4064491000026464,
55,True,13.626813390598295,True,2.5144469999941066,
56,True,13.626723899273445,True,2.4831033000082243,
57,True,13.62665958509674,True,2.5354232999961823,
58,True,13.626659956884945,True,2.576046900008805,
59,True,13.626652654398098,True,2.5198032000043895,
60,True,13.626647398492997,True,2.900050600001123,
61,True,13.62664602994048,True,2.336955400009174,
62,True,13.626645061091756,True,2.385576200002106,
63,True,13.62664459244654,True,2.4046276999870315,
64,True,13.626644341474575,True,2.3617508999886923,
65,True,13.626644198993569,True,2.3995782999845687,
66,True,13.626644115311016,True,2.4463319000205956,
67,True,13.626644065165456,True,2.5308017999923322,
68,True,13.626644034752523,True,2.5486769000126515,
69,True,13.62664401617228,True,2.5410431000054814,
70,True,13.626644004770368,True,2.6086917000066023,
71,True,13.626643997754385,True,2.85545900001307,
72,True,13.626643993429967,True,2.3348881999845617,
73,True,13.626643990761774,True,2.4595237000030465,
74,True,13.626643989114445,True,2.384850300004473,
75,True,13.626643988096985,True,2.4518728999828454,
76,True,13.626643987468409,True,2.423480199999176,
77,True,13.62664398708001,True,2.4892459000111558,
78,True,13.626643986840019,True,2.55363410001155,
79,True,29.668654028739954,True,0.6963754000025801,
80,True,18.972178130025288,True,0.5911362000042573,
81,True,11.893268628628238,True,0.5458515000063926,
82,True,14.639356163325326,True,0.5292540999944322,
83,True,11.876909367516697,True,0.5383573999861255,
84,True,12.948351808617863,True,0.8903853000083473,
85,True,11.750232639657893,True,0.7470108999987133,
86,True,11.571797137708847,True,0.527439500001492,
87,True,11.550404521324706,True,0.5447622999781743,
88,True,11.62984237110922,True,0.5896315999852959,
89,True,11.529239655591219,True,0.535565600002883,
90,True,11.554930317127926,True,0.5897494000091683,
91,True,11.526922751789616,True,0.5708436999993864,
92,True,11.528507017221736,True,0.5336443000123836,
93,True,11.522857953725865,True,0.4995141999970656,
94,True,11.521973288163899,True,0.7644508999946993,
95,True,11.52349552986389,True,0.681081400020048,
96,True,11.521874394049576,True,0.5752530999889132,
97,True,11.522085440242423,True,15.135468300024513,
98,True,11.581094922048397,True,3.9481672000256367,
99,True,13.290887809055869,False,4.329591399990022,
100,True,16.91524002732672,True,4.266650899982778,
101,True,12.318510909674027,False,4.9036782999755815,
102,True,13.045734535813429,True,3.9451447000028566,
103,True,11.648879035394453,True,4.440688100003172,
104,True,11.579680019334862,True,4.49394640000537,
105,True,11.533423603253599,True,4.514568500017049,
106,True,11.88552025788478,True,4.507737300009467,
107,True,11.54978007051173,True,4.710213500016835,
108,True,11.524278141843162,True,4.790427300002193,
109,True,11.595029923465118,True,5.12751940000453,
110,True,11.5276825367409,True,4.48926240002038,
111,True,11.522229676059078,True,4.469480900006602,
112,True,11.525495178487219,True,4.409351000009337,
113,True,11.522786663339799,True,4.447048100002576,
114,True,11.521752330534195,True,4.8197155999951065,
115,True,11.521458508356268,True,4.811209899984533,
116,True,11.521277372353493,True,5.079509100003634,
117,True,11.521165598905846,True,4.456839099992067,
118,True,11.521609270487806,True,4.39356259998749,
119,True,11.521212345393383,True,4.446610500017414,
120,True,56.61246174239629,True,11.411669299995992,
121,True,10.352299478424829,True,9.528671600011876,
122,True,12.007583300852877,True,7.934185199992498,
123,True,10.800720479754299,True,13.476558700000169,
