size,step,ring,max_omitted_y_gradient_ev_per_L0,max_omitted_z_gradient_ev_per_L0,max_omitted_norm_ev_per_L0,max_omitted_force_nN,maximum_change_from_previous_ring,net_force_residual,wall_seconds
24,0,6,1.737989772353541,1.4317781538500358,2.229829112125671,1.2475040078684323,,1.1004624621464928e-14,0.05281950000062352
24,0,10,1.7379899666478065,1.4317782402677928,2.2298289915507206,1.2475039404113641,4.1203874437401034e-07,1.0045615020451979e-14,0.06635910000113654
24,0,14,1.737989966708101,1.431778240297625,2.2298289914960923,1.247503940380802,7.825068026651085e-09,1.0707820867620531e-14,0.10895159999927273
24,0,20,1.7379899666431946,1.431778240297188,2.229828991512788,1.2475039403901422,1.5580418465804824e-10,1.1403306293756777e-14,0.19104330000118352
24,4,6,1.7359090176374983,1.402664185663513,2.21465424203906,1.2390142491021723,,1.729707204570214e-14,0.05788860000029672
24,4,10,1.7359092093869528,1.4026642703766938,2.2146541196144507,1.2390141806102912,4.110592389415177e-07,1.5756483647613116e-14,0.07265620000180206
24,4,14,1.7359092094591724,1.4026642704112666,2.2146541195509926,1.2390141805747887,7.754216749603082e-09,1.5908468264508422e-14,0.11106010000003153
24,4,20,1.7359092093948572,1.4026642704109606,2.2146541195676117,1.2390141805840866,1.553140229273997e-10,1.4191860295250278e-14,0.1914894000001368
32,0,6,1.7429822466748446,1.490986159016314,2.2610920718126617,1.2649944367516444,,4.9390993679132e-15,0.11858650000067428
32,0,10,1.7429824474955873,1.4909862480795975,2.2610919539571404,1.2649943708159928,4.152817273802775e-07,2.538890927010547e-15,0.13974729999972624
32,0,14,1.7429824477096099,1.4909862481153267,2.2610919538701166,1.2649943707673064,8.731730923158473e-09,4.1834573612855514e-15,0.18001229999936186
32,0,20,1.7429824477097045,1.490986248115447,2.2610919538699776,1.2649943707672286,1.5872592855955409e-10,2.453327295892624e-15,0.28202849999797763
32,4,6,1.7413104716088676,1.4606260813469456,2.2448069101445687,1.2558835123587142,,6.928860969752437e-16,0.12006750000000466
32,4,10,1.7413106700609988,1.4606261685036763,2.2448067900611886,1.2558834451766612,4.136905166155641e-07,1.1020103747522155e-15,0.13798070000120788
32,4,14,1.74131067029002,1.4606261685365527,2.2448067899604927,1.2558834451203256,8.685551856890943e-09,2.791484326532994e-15,0.1785134999990987
32,4,20,1.7413106702901813,1.4606261685367157,2.2448067899603035,1.2558834451202197,1.5724801712482805e-10,2.56523345525632e-15,0.30290489999970305
48,0,6,1.746435803044701,1.5331638457486856,2.2833824544996433,1.2774650523641664,,2.464019834327506e-14,0.30262429999856977
48,0,10,1.7464360072774694,1.5331639371166512,2.2833823395861272,1.2774649880744542,4.182186042547831e-07,1.9152605213580462e-14,0.26514229999884265
48,0,14,1.7464360074827856,1.5331639371520784,2.2833823395101733,1.2774649880319608,8.841487277662548e-09,2.3028948767848523e-14,0.31275060000189114
48,0,20,1.7464360074833425,1.5331639371522134,2.2833823395099233,1.2774649880318212,1.6986705035746015e-10,2.3849697731333137e-14,0.43570220000037807
48,4,6,1.7451046354427846,1.5018162923471343,2.2661844883250555,1.2678434488012227,,1.2108474982457444e-14,0.26348090000101365
48,4,10,1.7451048373661289,1.5018163817374965,2.2661843709770166,1.2678433831494882,4.157361351859318e-07,1.0011292894089839e-14,0.26556349999736995
48,4,14,1.7451048375885958,1.5018163817676717,2.2661843708852456,1.267843383098146,8.78364325214041e-09,1.1582874194277024e-14,0.31303309999930207
48,4,20,1.7451048375892655,1.5018163817677697,2.266184370884887,1.267843383097945,1.6846328908140355e-10,1.087051988836703e-14,0.4416110000020126
