size_j,size_l,case,step,applied_shear_mpa,internal_shear_mpa,energy_ev_per_line_repeat,line_energy_j_per_m,affine_shear,registry_shear,intrabond_shear,decomposition_residual,registry_shear_change_from_initial,intrabond_shear_change_from_initial,affine_shear_change_from_initial,maximum_force_residual,scaled_stress_residual,force_converged,optimizer_success,optimizer_message,iterations,newton_polish_steps,positive_cores,negative_cores,core_separation_over_L0,core_positions,winding_integer_residual,minimum_half_period_margin,elapsed_seconds
24,24,perfect,0,0.0,-3.7948413387137724e-13,4.796163466380676e-14,2.6832698138909385e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4744201368662815e-32,1.1562325162548397e-15,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,0,0,0,,[],0.0,3.141592653589793,0.10339810000004945
24,24,perfect,1,4.0,3.9999999996489835,1.9831841129953693e-05,1.1095155749151826e-14,0.00016607943321921557,0.0,0.00016607943321921557,0.0,0.0,0.00016607943321921557,0.00016607943321921557,9.680563406589773e-33,1.0694949636320764e-12,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.22084650000033434
24,24,perfect,2,15.0,14.999999988908714,0.0002788854212162282,1.5602571462153944e-13,0.0006227981161086151,0.0,0.0006227981161086151,0.0,0.0,0.0006227981161086151,0.0006227981161086151,1.2172130452302146e-33,3.379352646497255e-11,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.21850899999844842
24,24,perfect,3,25.0,24.999999982391493,0.0007746825900446988,4.3340524646096415e-13,0.001037997631976177,0.0,0.001037997631976177,0.0,0.0,0.001037997631976177,0.001037997631976177,6.023075917873587e-33,5.3650545561101885e-11,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.21869789999982459
24,24,perfect,4,50.0,49.99999979555481,0.003098746538686787,1.7336300370996013e-12,0.002076002492596814,0.0,0.002076002492596814,0.0,0.0,0.002076002492596814,0.002076002492596814,5.316492513142607e-33,6.229145275764576e-10,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.24169679999977234
24,24,perfect,5,25.0,24.999999838633457,0.0007746825811823124,4.3340524150279827e-13,0.001037997626007347,0.0,0.001037997626007347,0.0,0.0,0.001037997626007347,0.001037997626007347,5.26181960283759e-33,4.91660200742149e-10,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.23298160000194912
24,24,perfect,6,0.0,-4.0561093828455e-08,4.796163533106526e-14,2.6832698512214964e-23,-1.6840747599799398e-12,0.0,-1.6840747599799398e-12,0.0,0.0,-1.6840747599799398e-12,-1.6840747599799398e-12,1.0269873965121271e-32,1.2358370586112264e-10,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.23361540000041714
24,24,perfect,7,-25.0,-24.999999918666045,0.0007746825861145984,4.334052442622235e-13,-0.0010379976293302755,0.0,-0.0010379976293302755,0.0,0.0,-0.0010379976293302755,-0.0010379976293302755,4.74830523680401e-33,2.478126408852909e-10,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.22614969999995083
24,24,perfect,8,-50.0,-49.99999979555564,0.0030987465386868797,1.7336300370996534e-12,-0.0020760024925968196,0.0,-0.0020760024925968196,0.0,0.0,-0.0020760024925968196,-0.0020760024925968196,1.733364703114293e-33,6.229119893952073e-10,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.22097260000009555
24,24,perfect,9,-25.0,-24.999999838633062,0.000774682581182317,4.3340524150280084e-13,-0.0010379976260073175,0.0,-0.0010379976260073175,0.0,0.0,-0.0010379976260073175,-0.0010379976260073175,6.848817661792575e-33,4.916614018457764e-10,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2,0,0,0,,[],0.0,3.141592653589793,0.1879149000014877
