size,transverse_period_y_nm,transverse_period_z_nm,actual_core_separation_nm,zero_stress_energy_ev,initial_registry_shear,initial_affine_shear,peak50_affine_change,peak50_new_registry,unloaded_new_registry,unloaded_affine_change,unloaded_energy_change_ev,same_discrete_core_locations,energy_change_vs_largest_domain_ev,peak_response_change_vs_largest_domain
24,5.952260074963123,5.611844616523161,1.9840866916543738,2.2217894915349854,0.017010345435994292,0.016955286888197772,0.0020830099664098066,0.0,0.0,-2.125383202766784e-13,-1.2434497875801753e-14,True,-0.0813494319228476,4.9782954270292945e-06
32,7.936346766617495,7.4824594886975495,1.9840866916543738,2.269735295296597,0.009568319307746789,0.009526903255832051,0.0020802436152574204,0.0,0.0,-1.4201313736084131e-13,-1.7763568394002505e-15,True,-0.03340362816123621,2.2119442746430795e-06
48,11.904520149926245,11.223689233046322,1.9840866916543738,2.303138923457833,0.004252586358998573,0.004230654458976936,0.0020780316709827773,0.0,0.0,-1.2041756480840604e-13,1.3322676295501878e-14,True,0.0,0.0
