gamma_xy,ux_A,uy_A,uz_A,force_residual_eV_A,root_success_flag,C44_from_energy_GPa,C44_error_GPa
0.004,0.0,0.0,-0.0034158387758533256,4.24313362223927e-15,False,56.449050587622786,0.00029088764237176877
0.002,0.0,0.0,-0.0017079046896377628,2.6957602816679582e-15,False,56.44926875618071,7.271908445157295e-05
0.001,0.0,0.0,-0.0008539505075524952,4.941359821319935e-15,False,56.44932331853011,1.8156735048878108e-05
0.0005,0.0,0.0,-0.00042697502411855347,8.946836327350383e-16,False,56.44933707726778,4.397997381197581e-06
