cut,opening_A,u1_A,u2_A,step_A,gradient_error_eV_A_cell,hessian_error_eV_A2_cell
glide,0.3,0.768052283318781,0.0,0.001,2.2555664465073733e-06,5.46064209849817e-06
glide,0.3,0.768052283318781,0.0,0.0005,5.638494577908659e-07,1.3451587150825617e-06
glide,0.3,0.768052283318781,0.0,0.00025,1.409770540305999e-07,7.442257192735724e-07
glide,0.45,0.6912470549869028,0.3072209133275124,0.001,4.3722057441186735e-06,1.5664142527072045e-05
glide,0.45,0.6912470549869028,0.3072209133275124,0.0005,1.0930581240131687e-06,3.886896681848384e-06
glide,0.45,0.6912470549869028,0.3072209133275124,0.00025,2.732623372025955e-07,8.315629180799533e-07
