model,radius,coordinate,mode_index,planes,q_cubic_fraction,predicted_mode_variance_m2,actual_MD_mode_variance_m2,mode_variance_relative_difference,MD_empirical_block_mode_range_m2,conjugate_mode_index,conjugate_modes_independent,source_temperature_K,kinetic_calibration
nested_range,12.0,normal,1,12,0.08333333333333333,2.2451696516249084e-25,1.6287273053160335e-25,0.37848100433808485,1.156778975698911e-25,11,False,300,False
nested_range,12.0,normal,2,12,0.16666666666666666,2.0151630320314251e-25,2.0018630373033496e-25,0.006643808532471596,9.771371185839643e-26,10,False,300,False
nested_range,12.0,normal,3,12,0.25,1.380488657752442e-25,2.234817114872155e-25,-0.38228115018198505,1.111534463271718e-25,9,False,300,False
nested_range,12.0,normal,4,12,0.3333333333333333,1.1037349095668918e-25,1.534355830374283e-25,-0.2806525789407973,5.0439749309525364e-26,8,False,300,False
nested_range,12.0,normal,5,12,0.4166666666666667,1.0997294015869785e-25,1.374316551533673e-25,-0.1997990562219949,1.1534432116399411e-26,7,False,300,False
nested_range,12.0,normal,6,12,0.5,1.1481199695798256e-25,1.6735368072084394e-25,-0.31395594967823914,6.221381324517737e-26,6,False,300,False
nested_range,12.0,normal,7,12,0.5833333333333334,1.099729401586979e-25,1.3743165515336726e-25,-0.19979905622199434,1.1534432116399457e-26,5,False,300,False
nested_range,12.0,normal,8,12,0.6666666666666666,1.103734909566893e-25,1.534355830374283e-25,-0.28065257894079665,5.0439749309525364e-26,4,False,300,False
nested_range,12.0,normal,9,12,0.75,1.3804886577524457e-25,2.234817114872155e-25,-0.3822811501819835,1.111534463271718e-25,3,False,300,False
nested_range,12.0,normal,10,12,0.8333333333333334,2.0151630320314362e-25,2.0018630373033496e-25,0.006643808532477147,9.771371185839639e-26,2,False,300,False
nested_range,12.0,normal,11,12,0.9166666666666666,2.245169651624923e-25,1.6287273053160333e-25,0.37848100433809395,1.1567789756989106e-25,1,False,300,False
nested_range,12.0,slip_110,1,12,0.08333333333333333,9.158886476445535e-25,1.0195807473230298e-24,-0.10170072350887971,2.2301288727548764e-25,11,False,300,False
nested_range,12.0,slip_110,2,12,0.16666666666666666,8.905414042505672e-25,1.28680768831255e-24,-0.3079452257404717,4.280836190581922e-25,10,False,300,False
nested_range,12.0,slip_110,3,12,0.25,8.622194449986339e-25,1.092683457384956e-24,-0.21091562321065593,5.218205305588863e-25,9,False,300,False
nested_range,12.0,slip_110,4,12,0.3333333333333333,8.40271276010215e-25,1.1583231714691442e-24,-0.2745795847764422,4.349924972360571e-25,8,False,300,False
nested_range,12.0,slip_110,5,12,0.4166666666666667,8.278187053487146e-25,9.34117897808894e-25,-0.11379633417742996,3.645053277654598e-25,7,False,300,False
nested_range,12.0,slip_110,6,12,0.5,8.239755333950109e-25,1.2343440824923194e-24,-0.33245879728180405,1.0488318028437323e-24,6,False,300,False
nested_range,12.0,slip_110,7,12,0.5833333333333334,8.27818705348715e-25,9.34117897808894e-25,-0.11379633417742963,3.645053277654598e-25,5,False,300,False
nested_range,12.0,slip_110,8,12,0.6666666666666666,8.402712760102155e-25,1.1583231714691442e-24,-0.27457958477644173,4.349924972360571e-25,4,False,300,False
nested_range,12.0,slip_110,9,12,0.75,8.622194449986352e-25,1.0926834573849559e-24,-0.2109156232106546,5.218205305588861e-25,3,False,300,False
nested_range,12.0,slip_110,10,12,0.8333333333333334,8.905414042505706e-25,1.2868076883125498e-24,-0.307945225740469,4.280836190581927e-25,2,False,300,False
nested_range,12.0,slip_110,11,12,0.9166666666666666,9.158886476445599e-25,1.0195807473230296e-24,-0.10170072350887316,2.2301288727548764e-25,1,False,300,False
nested_range,12.0,transverse,1,12,0.08333333333333333,9.158886476445568e-25,9.54432281334097e-25,-0.04038383282223468,5.604293474382638e-25,11,False,300,False
nested_range,12.0,transverse,2,12,0.16666666666666666,8.905414042505647e-25,6.809068641993113e-25,0.3078754982118823,4.720363270708013e-25,10,False,300,False
nested_range,12.0,transverse,3,12,0.25,8.622194449986299e-25,6.904436982866038e-25,0.24879037514326297,5.43198426497633e-25,9,False,300,False
nested_range,12.0,transverse,4,12,0.3333333333333333,8.402712760102148e-25,1.3102139234220542e-24,-0.35867627340154484,7.505413010329206e-25,8,False,300,False
nested_range,12.0,transverse,5,12,0.4166666666666667,8.278187053487156e-25,1.3487733774781016e-24,-0.3862432939649598,6.079796709107553e-25,7,False,300,False
nested_range,12.0,transverse,6,12,0.5,8.239755333950055e-25,1.1831538686827305e-24,-0.30357702814057297,9.68705991238627e-25,6,False,300,False
