model,radius,coordinate,fixed_model_static_RMS_m,actual_MD_RMS_m,variance_relative_difference,MD_empirical_block_variance_range_m2,source_temperature_K,source_lattice_angstrom,kinetic_calibration
nested_range,12.0,normal,3.745741056487259e-13,4.002259412507674e-13,-0.12407880922677927,2.9070280727055915e-26,300,4.065,False
nested_range,12.0,slip_110,8.896373085842525e-13,1.0090164355735016e-12,-0.22262692507559,6.812620615867098e-26,300,4.065,False
nested_range,12.0,transverse,8.89637308584252e-13,9.640493658747906e-13,-0.14841612661072257,1.8956127549210892e-25,300,4.065,False
nested_range,16.0,normal,3.745742427718642e-13,4.002259412507674e-13,-0.12407816791664761,2.9070280727055915e-26,300,4.065,False
nested_range,16.0,slip_110,8.896386714344437e-13,1.0090164355735016e-12,-0.2226245433322772,6.812620615867098e-26,300,4.065,False
nested_range,16.0,transverse,8.896386714344431e-13,9.640493658747906e-13,-0.14841351749772247,1.8956127549210892e-25,300,4.065,False
