model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,robust_margin,normalized_density,normalized_density_truncation
nested_range,0.99,12.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.572583493116897,0.00025852052108973683,1.5723249725958073,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,5.702138285904985,0.0002586248741942561,5.701879661030791,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.25,0.25,0.25,10.894478606573578,0.00025860807024048873,10.894219998503338,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.481111014799785,0.00025854182057362016,15.480852472979212,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,18.397646680834683,0.0002584698809755632,18.397388210953707,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.5,0.5,0.5,19.362903385114905,0.0002584037059204615,19.362644981408984,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,18.397646680834676,0.0002584698809755632,18.3973882109537,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.481111014799781,0.00025854182057362016,15.480852472979208,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.75,0.75,0.75,10.894478606573573,0.00025860807024048873,10.894219998503333,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,5.702138285904983,0.0002586248741942561,5.701879661030789,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.5725834931168916,0.00025852052108973683,1.572324972595802,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.01,0.0,0.0,0.0092063176123654,2.409308474579213e-05,0.009182224527619609,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.01,0.01,0.0,0.014179214357448159,4.818616354403258e-05,0.014131028193904126,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.01,0.01,0.01,0.023384579191964083,7.227923002709105e-05,0.02331229996193699,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.08,0.0,0.0,0.5862729875524952,0.00025842980813911993,0.5860145577443561,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.08,0.08,0.0,0.8711022873329769,0.00025847907195859283,0.8708438082610183,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.08,0.08,0.08,1.4530040711953038,0.00025851330727021777,1.4527455578880337,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16,0.0,0.0,2.3137212634274364,0.00025853813450340526,2.313462725292933,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16,0.08,0.0,2.3427582400112565,0.0002585584730335476,2.342499681538223,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16,0.08,0.08,2.7362412256227144,0.0002585746576456566,2.735982650965069,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16,0.16,0.0,3.0878383809394987,0.00025859744796212514,3.0875797834915364,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16,0.16,0.08,3.6546896512739386,0.0002586059481334016,3.654431045325805,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.16,0.16,0.16,5.309395880817177,0.0002586218540482685,5.309137258963129,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.0,0.0,5.115753478390708,0.00025860451753562753,5.115494873873173,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.08,0.0,4.932319967918794,0.0002586113312622344,4.932061356587531,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.08,0.08,5.17675306708171,0.00025861675463881805,5.176494450327071,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.16,0.0,4.931952610193264,0.000258623688513694,4.93169398650475,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.16,0.08,5.44230273678704,0.0002586261345480964,5.442044110652492,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.16,0.16,6.692203487803797,0.0002586290103346771,6.691944858793462,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.24,0.0,5.770668098401216,0.0002586277035232054,5.770409470697692,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.24,0.08,6.307783087738633,0.00025862744816901377,6.307524460290464,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.24,0.16,7.859479141706418,0.00025862431178419335,7.8592205173946335,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.24,0.24,0.24,10.273668722503581,0.00025861400856932564,10.273410108495012,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.32,0.0,0.0,8.947608602114258,0.00025862656760010437,8.947349975546658,1.0356264383129798,4.52556902145815e-09
nested_range,0.99,12.0,0.32,0.08,0.0,8.534182852731336,0.0002586270066654815,8.53392422572467,1.0356264383129798,4.52556902145815e-09
