model,stretch,radius,wavepoints,minimum_sampled_robust_margin,all_sampled_positive_above_tail,whole_zone_proof
nested_range,0.99,12.0,254,0.009182224527619609,True,False
nested_range,0.99,16.0,254,0.009197099319712703,True,False
nested_range,0.995,12.0,254,0.007527360459799509,True,False
nested_range,0.995,16.0,254,0.007541912626351906,True,False
nested_range,1.0,12.0,254,0.00652534272566386,True,False
nested_range,1.0,16.0,254,0.006539576771344762,True,False
nested_range,1.0037037037037038,12.0,254,0.006141945873568991,True,False
nested_range,1.0037037037037038,16.0,254,0.006155947733292295,True,False
nested_range,1.007,12.0,254,0.006022583840682046,True,False
nested_range,1.007,16.0,254,0.006036391212083229,True,False
nested_range,1.01,12.0,254,0.006073880990596175,True,False
nested_range,1.01,16.0,254,0.006087513587069417,True,False
