study,axis,spectral_full_min,spectral_full_max,dho_min,dho_max,spectral_to_dho_min,spectral_to_dho_max,ranges_overlap
nve_1000ps_dt5,normal,17148611317.724882,18297232996.732147,70588378428.47237,72651821729.30263,0.23603828382473085,0.25921027517685286,False
nve_1000ps_dt5,direct110,44193974691.62197,55313098317.83531,130490194251.45154,152262321852.52634,0.29024892142670755,0.4238870103239196,False
nve_1000ps_dt5,transverse,46386494641.75186,54896168914.893,131616525984.38245,142314188500.30984,0.3259442725322561,0.4170917633960871,False
nvt_1000ps_dt5,normal,14444299393.426231,16927078449.231508,70213865662.20554,72442113043.91554,0.1993909176098973,0.2410788565703904,False
nvt_1000ps_dt5,direct110,47928171095.09877,53187022227.20401,131585446150.45186,159378708442.7861,0.3007187820969453,0.40420140511885455,False
nvt_1000ps_dt5,transverse,51263930474.1508,63542324450.98006,132689806061.48933,144011457621.13757,0.35597119368803914,0.4788787197528507,False
nve_1000ps_dt2p5,normal,13731419786.907463,16174471956.042679,58147127924.41607,69824299581.2727,0.19665674943039904,0.2781645892651388,False
nve_1000ps_dt2p5,direct110,48103560323.952065,61524129706.03899,138394870154.26242,155680428930.38678,0.3089891301973596,0.44455498702705426,False
nve_1000ps_dt2p5,transverse,49541129383.02138,60215839988.35747,140108180708.8354,147082813899.32355,0.33682473206510516,0.4297810426465711,False
nve_N6_serial_1000ps_dt2p5,normal,68513580817.21562,79581647798.66005,235757849801.51498,259766767778.15863,0.26375036885290254,0.3375567255370712,False
nve_N6_serial_1000ps_dt2p5,direct110,171227307274.1494,222391544075.7627,518905688978.0178,684456488959.1399,0.25016536483500446,0.4285779647429993,False
nve_N6_serial_1000ps_dt2p5,transverse,207757731776.5973,260090322744.27542,629688057101.1364,748181505469.5059,0.27768359717235086,0.4130463009599393,False
nve_N6_lattice4p05_1000ps_dt2p5,normal,72301635288.42274,83446639105.97038,209816162755.8401,243305938284.38574,0.2971634634084175,0.39771311232622236,False
nve_N6_lattice4p05_1000ps_dt2p5,direct110,167042678212.05045,224072740620.50266,543915775432.0477,610992937544.3834,0.2733954321688313,0.4119622021304959,False
nve_N6_lattice4p05_1000ps_dt2p5,transverse,196489537777.7998,274129917285.35568,573602947072.726,601470456554.3794,0.32668194362100816,0.47790883691293046,False
