study,axis,parts,block,nw,lower_cycle_THz,upper_cycle_THz,mobility_m2_per_J_s,integral_proxy_m2_s,cell_extensivity_hypothesis_mobility_m2_per_J_s,zero_frequency_certified
nve_1000ps_dt5,normal,1,0,2.0,0.02,0.04,17177437457.28775,4.339831171231418e-40,9894203975397.744,False
nve_1000ps_dt5,direct110,1,0,2.0,0.02,0.04,45496877073.31108,3.805913843057547e-39,26206201194227.184,False
nve_1000ps_dt5,transverse,1,0,2.0,0.02,0.04,46386494641.75186,3.664392300250267e-39,26718620913649.07,False
nve_1000ps_dt5,normal,1,0,2.0,0.04,0.08,17148611317.724882,4.29637881052513e-40,9877600119009.531,False
nve_1000ps_dt5,direct110,1,0,2.0,0.04,0.08,47608197070.92515,3.621408766117372e-39,27422321512852.887,False
nve_1000ps_dt5,transverse,1,0,2.0,0.04,0.08,46734101221.836586,3.5681455960547255e-39,26918842303777.875,False
nve_1000ps_dt5,normal,1,0,2.0,0.08,0.16,17695652415.989956,4.1599536944770725e-40,10192695791610.215,False
nve_1000ps_dt5,direct110,1,0,2.0,0.08,0.16,54508872571.74959,3.157142215739439e-39,31397110601327.76,False
nve_1000ps_dt5,transverse,1,0,2.0,0.08,0.16,53878614555.6911,3.100401233294911e-39,31034081984078.074,False
nve_1000ps_dt5,normal,1,0,3.0,0.02,0.04,18297232996.732147,4.085941417052423e-40,10539206206117.717,False
nve_1000ps_dt5,direct110,1,0,3.0,0.02,0.04,44193974691.62197,3.9187131260323824e-39,25455729422374.254,False
nve_1000ps_dt5,transverse,1,0,3.0,0.02,0.04,48027187562.70779,3.538882010352446e-39,27663660036119.684,False
nve_1000ps_dt5,normal,1,0,3.0,0.04,0.08,17447502100.223164,4.224495047197304e-40,10049761209728.543,False
nve_1000ps_dt5,direct110,1,0,3.0,0.04,0.08,47659876476.99843,3.6206437458965616e-39,27452088850751.094,False
nve_1000ps_dt5,transverse,1,0,3.0,0.04,0.08,47405675859.58121,3.518250770586621e-39,27305669295118.773,False
nve_1000ps_dt5,normal,1,0,3.0,0.08,0.16,18211163340.147808,4.0456548442101755e-40,10489630083925.137,False
nve_1000ps_dt5,direct110,1,0,3.0,0.08,0.16,55313098317.83531,3.112049794285051e-39,31860344631073.14,False
nve_1000ps_dt5,transverse,1,0,3.0,0.08,0.16,54896168914.893,3.0463017167004383e-39,31620193294978.367,False
nve_1000ps_dt5,normal,2,0,2.0,0.02,0.04,18802599831.86459,3.972885447049348e-40,10830297503154.004,False
nve_1000ps_dt5,direct110,2,0,2.0,0.02,0.04,47031407392.64359,3.5725906184207685e-39,27090090658162.71,False
nve_1000ps_dt5,transverse,2,0,2.0,0.02,0.04,49471194826.41364,3.303062760719943e-39,28495408220014.258,False
nve_1000ps_dt5,normal,2,0,2.0,0.04,0.08,13617492466.236784,5.427605423827502e-40,7843675660552.388,False
