step,tau_mpa,iteration,energy_ev,max_force,gamma,max_transverse_displacement,elapsed_seconds
0,0.0,20,1.7078435214941379,0.08257679877879465,0.0157543336452946,0.07757041932716519,42.27625139999873
0,0.0,40,1.1806127650676241,0.37858697950226317,0.008678917916744026,0.11009917804755913,83.85114379999868
0,0.0,60,0.19525464598130648,0.10042213355907254,9.963562950221158e-05,0.04154257555725179,124.49964650000038
0,0.0,80,0.028019017365442274,0.14029056889604347,-0.00016629017621035139,0.014441217518730952,168.18825339999967
0,0.0,100,0.0010612970293242614,0.007658932879156308,6.772471822093892e-05,0.0032753078787203698,210.6284046999972
0,0.0,120,7.66931241378036e-05,0.0027237540283355233,-1.0790992333285349e-05,0.0007184943677647727,254.30409119999968
0,0.0,140,9.822768093653583e-06,0.0006766187984818684,-4.474145674264746e-06,0.00028879997249054167,321.13272249999864
0,0.0,160,4.5438234515653895e-07,0.0003492150817804851,1.9079603171700755e-06,6.951703693613325e-05,395.7339527999975
0,0.0,180,7.653426400470351e-08,4.120734553922908e-05,-2.436985337473229e-07,2.664992476133852e-05,469.7743386000002
0,0.0,200,7.1423188836208175e-09,6.147990879529219e-05,-2.2405862839571652e-07,7.4120189506005776e-06,538.2893953999992
0,0.0,220,1.880383694723402e-10,5.5027283962783e-06,4.3188532682977575e-08,1.114270034639787e-06,608.989189699998
0,0.0,240,1.2924557445108094e-11,2.117281689029138e-06,-3.662621343637877e-09,2.383571770666051e-07,689.9329350999978
0,0.0,260,2.1068663654929517e-12,3.154626325163612e-07,-1.972416143234686e-09,1.6206944063317209e-07,792.0304741999971
0,0.0,280,2.0234244366164013e-13,8.551104879739313e-08,9.046697000432933e-10,3.042693787255082e-08,872.0054672000006
