family,profiles,failures,best_positive_LJ_loss,unconstrained_pair_closure_loss,optimizer_success,termination
old_family,90,0,1238.6110089514643,1238.6110089514643,False,The maximum number of function evaluations is exceeded.
power_family,88,0,1227.6348875902804,1227.6348875902804,True,`ftol` termination condition is satisfied.
