model,a_over_h,energy_J_m2,source_energy_J_m2,traction_MPa,source_traction_MPa,Haa,source_Haa,rank1_Haa
positive_pair_refinement,1.0,1.7483828144656573e-44,0.0,-3.0415817481262154e-09,-0.2726757163300154,27.91635928700533,19.660912863289713,13.309473609786416
positive_pair_refinement,1.0025,0.00012909196999927783,9.191387220755714e-05,438.10447045415486,314.1847389258653,26.587219254966026,19.45278530982212,13.06222419049692
positive_pair_refinement,1.005,0.0005081276222073577,0.0003666447538931567,855.2996617057184,625.1629663256588,25.317187292364014,19.23006959440188,12.817205157953811
positive_pair_refinement,1.0075,0.001125175935139771,0.000822144690769696,1252.6054664763294,932.6953968989891,24.11426114774436,19.02157390036222,12.574433117220833
positive_pair_refinement,1.01,0.001968934219032668,0.0014564392576060614,1631.1434584036613,1236.87829367022,22.983346914837945,18.812875397007133,12.333923489364555
positive_pair_refinement,1.0125,0.00302877527157717,0.0022675434849492855,1992.09843241486,1537.6067525831725,21.92758998524771,18.600268449531374,12.09569053820911
positive_pair_refinement,1.015,0.004294777668909712,0.0032534625894745637,2336.698090295899,1835.0056169251397,20.949306030879505,18.39295935022697,11.859747396831905
positive_pair_refinement,1.0175,0.0057577479837291196,0.00441227058028426,2666.2047980659922,2129.101961568485,20.050562726066584,18.18424977596185,11.626106093789454
positive_pair_refinement,1.02,0.007409240454804059,0.005742018628163071,2981.914364307034,2419.9155906034475,19.233483413751866,17.997028710970987,11.394777579072564
positive_pair_refinement,1.0225,0.009241577015262846,0.007240912851756283,3285.1579247315076,2707.827959651273,18.500339865283568,17.818048788624388,11.165771749781666
positive_pair_refinement,1.025,0.011247868591341886,0.008907259589704099,3577.303976405473,2992.7893630899275,17.85348496007199,17.625872664816765,10.939097475520436
positive_pair_refinement,1.0275,0.013422037063201024,0.010739309103001454,3859.7582634473274,3274.795663993691,17.29515634174415,17.45006701874917,10.714762623500297
positive_pair_refinement,1.03,0.01575883605257345,0.012735373013312429,4133.959569072108,3553.9275301347784,16.827164644378605,17.273181439341535,10.492774083354409
positive_pair_refinement,1.0325,0.018253867608321584,0.014893774255718034,4401.369584837814,3830.1942689551097,16.45046833073855,17.08354966318709,10.273137791655852
