time_reduced,force_reduced,mean_lambda,variance,skewness,mean_shifted_energy,tail_conditional,survival,hazard_reduced,initiation
0.0,0.008,1.015665338640764,0.000690653546379032,0.4642892160908531,0.0003494690511497038,0.0,1.0000000000000002,0.0,-2.220446049250313e-16
0.12,0.008439533636705195,1.015476556308494,0.0006743379632952462,0.419574321821794,0.0003439256157994792,0.0,0.9974523932176396,0.0212842804970245,0.0025476067823604343
0.24,0.00887733263495013,1.0154441841327837,0.0006675649818508129,0.4039088200902628,0.0003418734279889595,0.0,0.99603048994597,0.011896416876980809,0.003969510054030012
0.36,0.009311669202100073,1.0154762193623064,0.0006629097194057699,0.3938722080011017,0.000340863613392692,0.0,0.9947956533805081,0.010344139198045695,0.005204346619491873
0.48,0.009740829210153984,1.0155581658834643,0.0006595067604823737,0.3865206691946122,0.00034059568995825265,0.0,0.9936403867710318,0.009688839014407053,0.006359613228968164
0.6,0.010163118960624632,1.0156820371297925,0.0006570189955185915,0.3806810461664607,0.0003409417487419582,0.0,0.9925231594063517,0.009380363521755843,0.007476840593648282
0.72,0.010576871868792746,1.015841944777508,0.0006552637204423213,0.37574430099232387,0.00034182433032061533,0.0,0.9914219652991058,0.009256015986711948,0.008578034700894244
0.84,0.010980455040955508,1.0160329889341766,0.0006541212280873723,0.37135464656916767,0.000343186359241632,0.0,0.9903229609471286,0.009247861516866483,0.009677039052871428
0.96,0.011372275718712008,1.0162508461367603,0.0006535027420501171,0.36729168653014316,0.00034498040977044945,0.0,0.9892164157302505,0.009321731821282033,0.010783584269749458
1.08,0.011750787564852977,1.0164915793718792,0.0006533368230000278,0.3634152272425178,0.00034716402169312837,0.0,0.9880949482238882,0.009458162466897794,0.011905051776111786
1.2,0.012114496766047311,1.0167515370320368,0.0006535628689683404,0.3596357432128457,0.0003496973738059682,0.0,0.9869526565347605,0.00964493823119885,0.013047343465239503
1.3199999999999998,0.012461967928240829,1.0170272935213192,0.0006541277266135319,0.3558971091582366,0.0003525420223347414,0.0,0.9857846540837679,0.009873711989677066,0.01421534591623208
1.44,0.01279182974150082,1.0173156117834863,0.0006549837984744208,0.3521658881752732,0.0003556601790714594,0.0,0.9845868100139326,0.010138297419559014,0.015413189986067444
1.56,0.01310278039194988,1.0176134184895682,0.000656087920971288,0.34842441702651045,0.0003590142922457704,0.0,0.9833556015659429,0.010433733619428499,0.016644398434057073
1.68,0.013393592699430523,1.0179177871121974,0.0006574006619567346,0.3446662183987784,0.0003625668141144927,0.0,0.982088031598808,0.01075573952597179,0.017911968401192024
1.7999999999999998,0.013663118960624632,1.0182259262305244,0.0006588858572874377,0.3408928940377792,0.00036628009415816404,0.0,0.9807815857079383,0.011100380807744626,0.019218414292061725
1.92,0.013910295478514105,1.0185351714843751,0.0006605102887198006,0.33711198248339586,0.00037011636310587374,0.0,0.9794342140009086,0.011463860867919425,0.020565785999091424
2.04,0.014134146760307045,1.018842980176079,0.0006622434476408055,0.3333354528894698,0.00037403778614187547,0.0,0.9780443281976156,0.011842389307090952,0.021955671802384447
2.16,0.014333789367262137,1.0191469278473506,0.000664057351572643,0.32957862003320215,0.00037800657039727863,0.0,0.9766108078369945,0.012232101989160325,0.0233891921630055
2.28,0.01450843540121776,1.019444706353727,0.0006659263928049951,0.3258593377379746,0.0003819851154063729,0.0,0.9751330111887728,0.012629017710620883,0.024866988811227175
2.4,0.014657395614066076,1.0197341230799362,0.0006678272057064837,0.322197375328218,0.00038593619718742717,0.0,0.9736107875855831,0.013029022331094006,0.02638921241441694
2.52,0.014780082127900418,1.0200131010179663,0.0006697385436816514,0.3186139136213316,0.00038982317779119813,0.0,0.9720444886247378,0.013427874436940027,0.0279555113752622
2.6399999999999997,0.01487601075510082,1.0202796794832665,0.0006716411596377797,0.3151311187050803,0.00039361023295845637,0.0,0.9704349762139207,0.013821228368958766,0.02956502378607928
2.76,0.014944802909201345,1.0205320152835113,0.0006735176858738444,0.3117717666563245,0.00039726259115302465,0.0,0.9687836258485751,0.014204671381081196,0.031216374151424864
2.88,0.014986187098997902,1.0207683841845787,0.0006753525108538662,0.30855890255816315,0.0004007467777966802,0.0,0.9670923238660285,0.014573772162249662,0.0329076761339715
3.0,0.015,1.0209871825433015,0.0006771316515624788,0.30551552407777016,0.0004040308590778646,0.0,0.9653634577523921,0.01492413815536225,0.03463654224760793
3.12,0.014986187098997902,1.0211869289980289,0.0006788426211548931,0.3026642844597919,0.0004070846802579015,0.0,0.9635998988977584,0.015251479172445787,0.03640010110224157
3.2399999999999998,0.014944802909201346,1.0213662661271266,0.0006804742924516926,0.30002721275101296,0.0004098800939598535,0.0,0.9618049775082371,0.015551674815371005,0.038195022491762876
3.36,0.01487601075510082,1.021523962002772,0.000682016758511832,0.29762545088401604,0.0004123911744909075,0.0,0.9599824496886443,0.01582084321943956,0.040017550311355676
3.48,0.014780082127900418,1.0216589115828967,0.0006834611920540852,0.2954790082651478,0.0004145944148094547,0.0,0.9581364570023406,0.01605540867737579,0.041863542997659375
3.5999999999999996,0.014657395614066076,1.0217701378978845,0.0006847997058933745,0.2936065349864806,0.00041646890329158614,0.0,0.956271479087604,0.016252165794623415,0.043728520912395985
3.7199999999999998,0.01450843540121776,1.021856793000558,0.0006860252168190575,0.29202511489922583,0.0004179964779676306,0.0,0.9543922801553298,0.016408337984183334,0.04560771984467016
3.84,0.014333789367262137,1.0219181586579578,0.0006871313154741392,0.2907500796790356,0.0004191618563783298,0.0,0.9525038504030461,0.016521628333263344,0.04749614959695392
3.96,0.014134146760307045,1.0219536467713726,0.0006881121448066821,0.2897948447798654,0.00041995273963538947,0.0,0.9506113435487993,0.01659026116097584,0.04938865645120072
4.08,0.013910295478514106,1.0219627995169793,0.0006889622895686463,0.2891707678789284,0.0004203598896584861,0.0,0.9487200118103255,0.016613012927324183,0.0512799881896745
4.2,0.013663118960624632,1.021945289203304,0.0006896766791459059,0.2888870301146141,0.0004203771788994363,0.0,0.9468351397272002,0.016589231536024998,0.05316486027279976
4.32,0.013393592699430525,1.021900917843724,0.0006902505057302825,0.288950540131908,0.00042000161215632734,0.0,0.9449619782453929,0.016518843481986453,0.05503802175460715
4.4399999999999995,0.013102780391949884,1.0218296164424654,0.000690679159504291,0.2893658607090007,0.0004192333203308125,0.0,0.9431056804562451,0.016402348711769103,0.0568943195437549
4.56,0.012791829741500822,1.021731443991361,0.0006909581821160656,0.29013515754319325,0.0004180755261978334,0.0,0.941271240308572,0.01624080347509414,0.05872875969142799
4.68,0.012461967928240829,1.0216065861722419,0.000691083239288981,0.291258169634323,0.0004165344824476804,0.0,0.9394634354984118,0.01603579183118705,0.060536564501588175
4.8,0.012114496766047313,1.02145535375662,0.0006910501129505014,0.2927322006161457,0.00041461938243577735,0.0,0.9376867755924189,0.015789386820826735,0.062313224407581136
4.92,0.011750787564852977,1.021278180690634,0.0006908547127893874,0.29455213034197847,0.00041234224424638365,0.0,0.9359454562653369,0.015504102611123862,0.06405454373466313
5.04,0.01137227571871201,1.0210756218493973,0.0006904931066705552,0.2967104460306914,0.00040971776885284893,0.0,0.9342433203375263,0.015182839155820506,0.06575667966247367
5.16,0.010980455040955508,1.0208483504413346,0.0006899615688628273,0.2991972923037277,0.000406763173348326,0.0,0.9325838260932838,0.014828821082986623,0.06741617390671617
5.279999999999999,0.010576871868792748,1.0205971550401094,0.000689256644576571,0.30200053948880706,0.00040349800043461043,0.0,0.9309700231526088,0.014445532621357894,0.0690299768473912
5.3999999999999995,0.010163118960624632,1.0203229362196182,0.0006883752288754421,0.30510586962368336,0.0003999439055982476,0.0,0.9294045359657137,0.01403665040638768,0.07059546403428629
5.52,0.009740829210153987,1.0200267027666041,0.0006873146576291413,0.3084968796420866,0.00039612442367497464,0.0,0.9278895548073909,0.013605975970535984,0.07211044519260912
5.64,0.009311669202100074,1.0197095674458225,0.0006860728078220597,0.31215520126688373,0.00039206471680538763,0.0,0.9264268339731585,0.013157369625179376,0.0735731660268415
5.76,0.008877332634950129,1.0193727422946117,0.0006846482042361211,0.31606063715283483,0.00038779130611279225,0.0,0.9250176967252463,0.012694687291761755,0.07498230327475375
5.88,0.008439533636705195,1.019017533427206,0.0006830401292948268,0.320191312810421,0.00038333178978144564,0.0,0.9236630464073862,0.012221721647022288,0.07633695359261383
6.0,0.008,1.0186453353342206,0.0006812487326990298,0.32452384379275034,0.00037871455056964385,0.0,0.9223633830450509,0.0117421487220231,0.07763661695494906
6.12,0.007560466363294807,1.018257624669354,0.0006792751374117399,0.32903351753545146,0.00037396845614429423,0.0,0.9211188246731842,0.011259480848452023,0.07888117532681582
6.24,0.007122667365049873,1.0178559535233653,0.000677121538566341,0.3336944891004063,0.00036912255595636427,0.0,0.9199291325865089,0.010777026589452017,0.08007086741349112
6.359999999999999,0.006688330797899933,1.0174419421946093,0.0006747912919848139,0.3384799898839848,0.00036420577867284673,0.0,0.9187937396869577,0.010297858036647947,0.08120626031304234
6.4799999999999995,0.006259170789846018,1.01701727147553,0.0006722889892019541,0.3433625481153035,0.00035924663442275594,0.0,0.9177117811068484,0.009824785609744978,0.08228821889315163
6.6,0.00583688103937537,1.0165836744852883,0.0006696205161969634,0.3483142196849754,0.00035427292628440935,0.0,0.9166821263124213,0.009360340268383845,0.0833178736875787
6.72,0.005423128131207258,1.0161429280896717,0.0006667930934300723,0.3533068275257814,0.00034931147552223,0.0,0.9157034119372869,0.008906762844600642,0.08429658806271312
6.84,0.005019544959044494,1.015696843960318,0.000663815295260131,0.35831220741196396,0.00034438786505911915,0.0,0.9147740746557115,0.00846600003326363,0.08522592534428852
6.96,0.004627724281287993,1.0152472593355972,0.0006606970473663048,0.3633024576760921,0.00033952620553387913,0.0,0.91389238347795,0.008039706440473063,0.08610761652205001
7.08,0.004249212435147025,1.0147960275548646,0.00065744960139645,0.3682501899720582,0.0003347489280350635,0.0,0.9130564709304759,0.007629251987581024,0.08694352906952407
7.199999999999999,0.0038855032339526916,1.0143450084459136,0.0006540854866965896,0.37312877785355997,0.00033007660722074515,0.0,0.9122643626693921,0.00723573390106147,0.08773563733060785
7.319999999999999,0.003538032071759175,1.0138960586518357,0.0006506184396178125,0.3779125996245654,0.00032552781803096636,0.0,0.9115140051624185,0.006859992484329607,0.08848599483758146
7.4399999999999995,0.003208170258499181,1.0134510219880597,0.0006470633115253833,0.3825772716521615,0.0003211190285846491,0.0,0.910803291160662,0.006502629863972339,0.08919670883933795
7.56,0.0028972196080501228,1.0130117199226776,0.0006434359572260542,0.3870998681570386,0.0003168645311393951,0.0,0.9101300827634455,0.006164030925971238,0.08986991723655446
7.68,0.002606407300569478,1.012579942273318,0.0006397531060609017,0.39145912341531575,0.00031277641219984014,0.0,0.9094922319557533,0.005844385703003987,0.09050776804424665
7.8,0.0023368810393753683,1.0121574382115963,0.0006360322183621459,0.3956356123521274,0.0003088645620112165,0.0,0.9088875985667578,0.005543712537071671,0.09111240143324217
