case,repeats,atoms,opening_A,reference_material_volume_A3,chemical_concentration_cm3,area_A2,energy_eV,reference_eV,separation_work_J_m2
B_08_interface_cluster,1x1x1,216,0.0,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1165.3339686148165,-1165.3339686148165,0.0
B_08_interface_cluster,1x1x1,216,0.7,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1155.2643858785182,-1165.3339686148165,1.0373081186645976
B_08_interface_cluster,1x1x1,216,3.0,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1143.930055650139,-1165.3339686148165,2.20490295088556
B_08_interface_cluster,1x1x1,216,10.0,4421.423122164499,1.8093721815259373e+21,155.52997112368598,-1143.743077890028,-1165.3339686148165,2.224164280143391
B_08_interface_cluster,1x1x2,432,0.0,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2330.667937229633,-2330.667937229633,0.0
B_08_interface_cluster,1x1x2,432,0.7,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2320.598354493335,-2330.667937229633,1.0373081186645507
B_08_interface_cluster,1x1x2,432,3.0,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2309.2640242649577,-2330.667937229633,2.2049029508853257
B_08_interface_cluster,1x1x2,432,10.0,8842.846244328997,1.8093721815259373e+21,155.52997112368598,-2309.077046504846,-2330.667937229633,2.22416428014325
B_08_interface_cluster,2x1x1,432,0.0,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2330.667937229633,-2330.667937229633,0.0
B_08_interface_cluster,2x1x1,432,0.7,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2310.5287717570377,-2330.667937229633,1.0373081186645274
B_08_interface_cluster,2x1x1,432,3.0,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2287.8601113002796,-2330.667937229633,2.2049029508854665
B_08_interface_cluster,2x1x1,432,10.0,8842.846244328997,1.8093721815259373e+21,311.05994224737196,-2287.4861557800587,-2330.667937229633,2.22416428014325
