case,opening_A,step_A,energy_minus_eV,energy_plus_eV,analytical_eV_A,finite_difference_eV_A,error_eV_A
B_08_interface_cluster,0.35,0.001,-1161.613679088759,-1161.580042819251,16.81815429218505,16.818134753975755,-1.9538209294012177e-05
B_08_interface_cluster,0.35,0.0003,-1161.601916384555,-1161.5918254930348,16.81815429218505,16.8181525335361,-1.7586489491350221e-06
B_08_interface_cluster,1.1,0.001,-1150.0612714019355,-1150.0423030684215,9.48416121995328,9.484166757033563,5.537080282280726e-06
B_08_interface_cluster,1.1,0.0003,-1150.0546262431706,-1150.0489357461395,9.48416121995328,9.484161718470812,4.985175312555157e-07
B_08_interface_cluster,3.0,0.001,-1143.9308025044838,-1143.9293102354532,0.746134903423473,0.7461345153387811,-3.8808469193796213e-07
B_08_interface_cluster,3.0,0.0003,-1143.9302795606507,-1143.9298318797296,0.746134903423473,0.7461348684500991,-3.497337386360044e-08
