run,cycle,segment,excess_outside_mass,excess_net_transfer,cycle_net_transfer,cycle_work_ev,mean_n,P0,Pminus1,Pplus1
axial10_p40_a31_s25_w3_dt128_upper2,1.0,cyclic,3.1656494828302163e-07,1.7544175160743095e-06,1.7544175160727916e-06,1.47248210202974e-07,1.7544175160654355e-06,0.998420214765781,0.0007890154083466793,0.0007907698258627447
axial10_p40_a31_s25_w3_dt128_upper2,2.0,cyclic,3.2916941221762877e-07,9.783445938148574e-09,9.783445932293883e-09,1.7316197573661086e-07,1.7642009619823505e-06,0.9970259297612849,0.0014861530188670868,0.001487917219829069
axial10_p40_a31_s25_w3_dt128_upper2,3.0,cyclic,3.4160229648184243e-07,5.139149653358641e-09,5.139149645986066e-09,1.7319721509531704e-07,1.7693401116138258e-06,0.9956345842997054,0.0021818231800771774,0.002183592520188791
axial10_p40_a31_s25_w3_dt128_upper2,4.0,cyclic,3.5398166737480447e-07,5.118867991808773e-09,5.118867986170922e-09,1.7319774925133847e-07,1.774458979586569e-06,0.9942461556316569,0.0028760349546628075,0.002877809413642394
axial10_p40_a31_s25_w3_dt128_upper2,5.0,cyclic,3.663076359652212e-07,5.1098006216901415e-09,5.109800617353333e-09,1.731982382811784e-07,1.7795687801974346e-06,0.9928606376243109,0.003568791403430681,0.0035705709722108785
axial10_p40_a31_s25_w3_dt128_upper2,6.0,cyclic,3.785803707051505e-07,5.100807604421775e-09,5.100807597049201e-09,1.7319872644245727e-07,1.7846695877684797e-06,0.9914780241757569,0.004260095577299283,0.004261880246887052
axial10_p40_a31_s25_w3_dt128_upper2,7.0,cyclic,3.908000406286499e-07,5.091832642155347e-09,5.09183263348173e-09,1.7319921358411481e-07,1.78976142037162e-06,0.9900983091969635,0.004949950520775324,0.004951740282195695
axial10_p40_a31_s25_w3_dt128_upper2,8.0,cyclic,4.02966814258901e-07,5.082875290801647e-09,5.082875284730115e-09,1.7319969970469383e-07,1.7948442956164638e-06,0.988721486611666,0.005638359271982931,0.005640154116278547
axial10_p40_a31_s25_w3_dt128_upper2,9.0,cyclic,4.1508085967846553e-07,5.073935526074547e-09,5.073935521737738e-09,1.7320018480604086e-07,1.79991823111133e-06,0.9873475503563331,0.006325324862677214,0.006327124780908325
axial10_p40_a31_s25_w3_dt128_upper2,10.0,cyclic,4.271423445240813e-07,5.065013296799703e-09,5.065013289860809e-09,1.7320066889044426e-07,1.8049832443708495e-06,0.9859764943801499,0.00701085031825761,0.007012655301501981
