case,comparison,metric,coarse,fine,coarse_value,fine_value,absolute_change,relative_change,status
axial30,combined_spatial,last_cycle_external_work_ev,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt128_upper2,1.5529640968158846e-06,1.551678214363375e-06,1.2858824525094828e-09,0.0008287043283887676,observed numerical change; not a physical certificate
axial30,combined_spatial,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt128_upper2,0.266028040697898,0.39510483277109343,0.12907679207319545,0.326689985460079,observed numerical change; not a physical certificate
axial30,dt_64_128,end_outside_mass,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,0.02203153716412702,0.022031671612348678,1.3444822165656345e-07,6.102497532743075e-06,observed numerical change; not a physical certificate
axial30,dt_64_128,excess_outside_mass,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,2.7624042754324785e-06,2.7220677055531106e-06,4.0336569879367845e-08,0.014818356573967602,observed numerical change; not a physical certificate
axial30,dt_64_128,hold_excess_mean_n,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,9.207922416828073e-07,9.14542028170474e-07,6.25021351233325e-09,0.006834255091410831,observed numerical change; not a physical certificate
axial30,dt_64_128,last_cycle_net_transfer,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,5.303061497742567e-08,5.260567626820534e-08,4.2493870922033494e-10,0.008077810977161912,observed numerical change; not a physical certificate
axial30,dt_64_128,last_cycle_registry_amplitude,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,0.0004558706073742933,0.0004608555806501986,4.9849732759052684e-06,0.010816779670699037,observed numerical change; not a physical certificate
axial30,dt_64_128,last_cycle_registry_phase_deg,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,-43.090449545603384,-42.297072627861375,0.7933769177420089,0.018757253598193604,observed numerical change; not a physical certificate
axial30,dt_64_128,last_cycle_external_work_ev,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,1.5734373655372992e-06,1.5529640968158846e-06,2.0473268721414646e-08,0.013183349675238439,observed numerical change; not a physical certificate
axial30,dt_64_128,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w3_dt64_upper2,axial30_p40_a61_s49_w3_dt128_upper2,0.2660272997543439,0.266028040697898,7.40943554067286e-07,2.7852084769842102e-06,observed numerical change; not a physical certificate
axial30,dt_128_256,end_outside_mass,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,0.022031671612348678,0.022031738308170894,6.669582221577319e-08,3.0272610033243614e-06,observed numerical change; not a physical certificate
axial30,dt_128_256,excess_outside_mass,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,2.7220677055531106e-06,2.7013696909973517e-06,2.0698014555758926e-08,0.00766204441574125,observed numerical change; not a physical certificate
axial30,dt_128_256,hold_excess_mean_n,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,9.14542028170474e-07,9.114063840672746e-07,3.135644103199465e-09,0.003440445621201629,observed numerical change; not a physical certificate
axial30,dt_128_256,last_cycle_net_transfer,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,5.260567626820534e-08,5.239188547237483e-08,2.137907958305041e-10,0.004080608932145257,observed numerical change; not a physical certificate
axial30,dt_128_256,last_cycle_registry_amplitude,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,0.0004608555806501986,0.00046343129611241686,2.5757154622182738e-06,0.0055579230056864125,observed numerical change; not a physical certificate
axial30,dt_128_256,last_cycle_registry_phase_deg,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,-42.297072627861375,-41.89759631516664,0.3994763126947376,0.00953458784818474,observed numerical change; not a physical certificate
axial30,dt_128_256,last_cycle_external_work_ev,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,1.5529640968158846e-06,1.542486945186258e-06,1.0477151629626655e-08,0.006792376209292015,observed numerical change; not a physical certificate
axial30,dt_128_256,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a61_s49_w3_dt256_upper2,0.266028040697898,0.2660284154360939,3.747381959184892e-07,1.4086397323541172e-06,observed numerical change; not a physical certificate
axial30,dt_256_512,end_outside_mass,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,0.022031738308170894,0.022031771518000072,3.320982917831561e-08,1.5073608198588573e-06,observed numerical change; not a physical certificate
axial30,dt_256_512,excess_outside_mass,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,2.7013696909973517e-06,2.6908823032023577e-06,1.048738779499403e-08,0.0038973788569322517,observed numerical change; not a physical certificate
axial30,dt_256_512,hold_excess_mean_n,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,9.114063840672746e-07,9.098361732214658e-07,1.5702108458088268e-09,0.0017258171218332264,observed numerical change; not a physical certificate
axial30,dt_256_512,last_cycle_net_transfer,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,5.239188547237483e-08,5.2284673287064654e-08,1.0721218531017929e-10,0.0020505471024278893,observed numerical change; not a physical certificate
axial30,dt_256_512,last_cycle_registry_amplitude,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,0.00046343129611241686,0.0004647404356126976,1.3091395002807495e-06,0.0028169261806428045,observed numerical change; not a physical certificate
axial30,dt_256_512,last_cycle_registry_phase_deg,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,-41.89759631516664,-41.69713587035855,0.2004604448080869,0.004807535112995355,observed numerical change; not a physical certificate
axial30,dt_256_512,last_cycle_external_work_ev,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,1.542486945186258e-06,1.5371871793340804e-06,5.299765852177477e-09,0.0034477036521169597,observed numerical change; not a physical certificate
axial30,dt_256_512,cumulative_gross_grid_traffic,axial30_p40_a61_s49_w3_dt256_upper2,axial30_p40_a61_s49_w3_dt512_upper2,0.2660284154360939,0.26602860391341837,1.8847732446980459e-07,7.084851842892293e-07,observed numerical change; not a physical certificate
axial30,fine_grid_dt,end_outside_mass,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,0.022000783758469124,0.022000850252111105,6.649364198141328e-08,3.0223214657366634e-06,observed numerical change; not a physical certificate
axial30,fine_grid_dt,excess_outside_mass,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,2.7190938428692246e-06,2.6984432991601637e-06,2.0650543709060942e-08,0.007652761766566676,observed numerical change; not a physical certificate
axial30,fine_grid_dt,hold_excess_mean_n,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,9.148626974061375e-07,9.117795513463103e-07,3.0831460598271832e-09,0.003381459976015791,observed numerical change; not a physical certificate
axial30,fine_grid_dt,last_cycle_net_transfer,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,5.263695005558455e-08,5.242661085293199e-08,2.1033920265256523e-10,0.004012069428684076,observed numerical change; not a physical certificate
axial30,fine_grid_dt,last_cycle_registry_amplitude,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,0.00046204864594575083,0.000464628220490755,2.579574545004187e-06,0.005551911036052779,observed numerical change; not a physical certificate
axial30,fine_grid_dt,last_cycle_registry_phase_deg,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,-42.123993921936226,-41.72248640863827,0.40150751329795753,0.009623288251939583,observed numerical change; not a physical certificate
axial30,fine_grid_dt,last_cycle_external_work_ev,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,1.551678214363375e-06,1.5410606846700963e-06,1.0617529693278794e-08,0.006889754439197668,observed numerical change; not a physical certificate
axial30,fine_grid_dt,cumulative_gross_grid_traffic,axial30_p40_a91_s73_w3_dt128_upper2,axial30_p40_a91_s73_w3_dt256_upper2,0.39510483277109343,0.39510539203732353,5.592662301046047e-07,1.4154862003294903e-06,observed numerical change; not a physical certificate
axial30,normal_domain,end_outside_mass,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,0.022031671612348678,0.022031679605618318,7.993269639933187e-09,3.6280800116096533e-07,observed numerical change; not a physical certificate
axial30,normal_domain,excess_outside_mass,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,2.7220677055531106e-06,2.7220691514034945e-06,1.4458503838632453e-12,5.311585795378369e-07,observed numerical change; not a physical certificate
axial30,normal_domain,hold_excess_mean_n,axial30_p40_a61_s49_w3_dt128_upper2,axial30_p40_a85_s49_w3_dt128_upper2.5,9.14542028170474e-07,9.145438892471791e-07,1.861076705054744e-12,2.0349780113743017e-06,observed numerical change; not a physical certificate
