grid,s_reduced,fixed_domain_F_minus_F0_ev,conditional_a_over_h,sampled_min_a_over_h
grid_a31_s25_upper2.npz,-0.48,0.18519658622605825,1.120614088990361,1.0983870967741935
grid_a31_s25_upper2.npz,-0.43999999999999995,0.18083440687712504,1.1176316986522263,1.0983870967741935
grid_a31_s25_upper2.npz,-0.3999999999999999,0.17218138230364216,1.1118029271960088,1.0983870967741935
grid_a31_s25_upper2.npz,-0.36,0.1594053781491024,1.1033920918766713,1.0983870967741935
grid_a31_s25_upper2.npz,-0.32000000000000006,0.14281943429837532,1.0927827983080975,1.0983870967741935
grid_a31_s25_upper2.npz,-0.28,0.12294988883972408,1.0804760750429858,1.0564516129032258
grid_a31_s25_upper2.npz,-0.24,0.10061242681086588,1.0670842521341168,1.0564516129032258
grid_a31_s25_upper2.npz,-0.19999999999999996,0.07697332030746523,1.0533165607024295,1.0564516129032258
grid_a31_s25_upper2.npz,-0.15999999999999992,0.05357339664700244,1.0400034199172257,1.014516129032258
grid_a31_s25_upper2.npz,-0.11999999999999988,0.0322777842590307,1.0281032792880596,1.014516129032258
grid_a31_s25_upper2.npz,-0.07999999999999996,0.015099551160957243,1.0186177000328436,1.014516129032258
grid_a31_s25_upper2.npz,-0.040000000000000036,0.0038964447304270997,1.0124706062575228,1.014516129032258
grid_a31_s25_upper2.npz,0.0,0.0,1.0103381201237713,1.014516129032258
grid_a31_s25_upper2.npz,0.040000000000000036,0.0038964447304270997,1.0124706062575228,1.014516129032258
grid_a31_s25_upper2.npz,0.08000000000000007,0.015099551160957243,1.0186177000328434,1.014516129032258
grid_a31_s25_upper2.npz,0.1200000000000001,0.03227778425903063,1.0281032792880598,1.014516129032258
grid_a31_s25_upper2.npz,0.16000000000000003,0.05357339664700237,1.0400034199172257,1.014516129032258
grid_a31_s25_upper2.npz,0.19999999999999996,0.07697332030746523,1.0533165607024297,1.0564516129032258
grid_a31_s25_upper2.npz,0.24,0.10061242681086582,1.0670842521341168,1.0564516129032258
