path,shear_amplitude_mpa,work_over_full_registry_period_ev,kT_ev,work_over_kT,tau_fast_model,tau_slow_model,physical_seconds_available
direct_110,4.0,0.0005078088968038973,0.025261712457978064,0.020101918967236242,0.04366429521860413,4.044316638781441,False
direct_110,5.0,0.0006347611210048717,0.025261712457978064,0.025127398709045304,0.04366429521860413,4.044316638781441,False
direct_110,10.0,0.0012695222420097433,0.025261712457978064,0.05025479741809061,0.04366429521860413,4.044316638781441,False
direct_110,15.0,0.0019042833630146148,0.025261712457978064,0.0753821961271359,0.04366429521860413,4.044316638781441,False
direct_110,25.0,0.003173805605024358,0.025261712457978064,0.1256369935452265,0.04366429521860413,4.044316638781441,False
direct_110,50.0,0.006347611210048716,0.025261712457978064,0.251273987090453,0.04366429521860413,4.044316638781441,False
shockley_112,4.0,0.000879550809799851,0.025261712457978064,0.03481754498088566,0.04366429521860413,4.044316638781441,False
shockley_112,5.0,0.0010994385122498136,0.025261712457978064,0.04352193122610708,0.04366429521860413,4.044316638781441,False
shockley_112,10.0,0.0021988770244996273,0.025261712457978064,0.08704386245221415,0.04366429521860413,4.044316638781441,False
shockley_112,15.0,0.003298315536749441,0.025261712457978064,0.13056579367832122,0.04366429521860413,4.044316638781441,False
shockley_112,25.0,0.005497192561249068,0.025261712457978064,0.21760965613053537,0.04366429521860413,4.044316638781441,False
shockley_112,50.0,0.010994385122498136,0.025261712457978064,0.43521931226107075,0.04366429521860413,4.044316638781441,False
