case,metric,reference_run,signal,observed_resolution_envelope,dominant_comparison,signal_over_envelope,empirical_numeric_only,physical_calibration_accepted,normal_and_registry_domain_refined,gross_is_not_a_convergent_hop_count
axial30,end_outside_mass,axial30_p40_a91_s73_w3_dt256_upper2,0.022000850252111105,0.00016207832638119937,s_only,135.74208682514592,True,False,True,False
axial30,excess_outside_mass,axial30_p40_a91_s73_w3_dt256_upper2,2.6984432991601637e-06,1.621693131170776e-08,s_only,166.39666576203794,True,False,True,False
axial30,hold_excess_mean_n,axial30_p40_a91_s73_w3_dt256_upper2,9.117795513463103e-07,1.8402984001595947e-08,domain_3_5,49.54520154270844,True,False,True,False
axial30,last_cycle_net_transfer,axial30_p40_a91_s73_w3_dt256_upper2,5.242661085293199e-08,4.749137467535908e-09,domain_3_5,11.03918579137983,True,False,True,False
axial30,last_cycle_registry_amplitude,axial30_p40_a91_s73_w3_dt256_upper2,0.000464628220490755,6.163402572200946e-06,s_only,75.38501907799878,True,False,True,False
axial30,last_cycle_registry_phase_deg,axial30_p40_a91_s73_w3_dt256_upper2,-41.72248640863827,0.8889621133790371,s_only,46.933930907411536,True,False,True,False
axial30,last_cycle_external_work_ev,axial30_p40_a91_s73_w3_dt256_upper2,1.5410606846700963e-06,5.299765852177477e-09,dt_256_512,290.77901319676823,True,False,True,False
axial30,cumulative_gross_grid_traffic,axial30_p40_a91_s73_w3_dt256_upper2,0.39510539203732353,0.12907679207319545,combined_spatial,3.0610103155745576,True,False,True,True
axial50,end_outside_mass,axial50_p40_a91_s73_w3_dt128_upper2,0.022004661924816697,0.00016209559870850043,s_only,135.75113760113928,True,False,False,False
axial50,excess_outside_mass,axial50_p40_a91_s73_w3_dt128_upper2,6.597260190442655e-06,3.348925861276775e-08,s_only,196.99630459801986,True,False,False,False
axial50,hold_excess_mean_n,axial50_p40_a91_s73_w3_dt128_upper2,2.5458074651043677e-06,4.3544367873101436e-09,dt_256_512,584.6467842921619,True,False,False,False
axial50,last_cycle_net_transfer,axial50_p40_a91_s73_w3_dt128_upper2,1.502377330042659e-07,2.885333673374735e-10,dt_256_512,520.6944846297285,True,False,False,False
axial50,last_cycle_registry_amplitude,axial50_p40_a91_s73_w3_dt128_upper2,0.0007700641511636454,1.027207908906036e-05,s_only,74.96672723088302,True,False,False,False
axial50,last_cycle_registry_phase_deg,axial50_p40_a91_s73_w3_dt128_upper2,-42.12536508331373,0.8889944587463177,s_only,47.385407939122565,True,False,False,False
axial50,last_cycle_external_work_ev,axial50_p40_a91_s73_w3_dt128_upper2,4.310246051685742e-06,1.4721544230982766e-08,dt_256_512,292.7849133254958,True,False,False,False
axial50,cumulative_gross_grid_traffic,axial50_p40_a91_s73_w3_dt128_upper2,0.39518799129041826,0.12910404961359773,combined_spatial,3.0610038373946993,True,False,False,True
