path,nominal_axial_amplitude_mpa,phase_radians,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period
direct_110,10.0,0.0,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17
direct_110,10.0,0.19634954084936207,1,0.0009754516100806413,0.0009754516100806413,stable_local_equilibrium,2.804424444405318e-15,1,0.8165019889908887,2.5042863409771235e-05,1.8855040541667786e-09,-1.8854093218022325e-09,4.944951661608741,6.623497622588362e-06,2.5042863409771235e-05
direct_110,10.0,0.39269908169872414,2,0.001913417161825449,0.001913417161825449,stable_local_equilibrium,8.159407394528473e-15,1,0.8165071908540111,4.912582290219569e-05,7.2556219705477785e-09,-7.254942057945361e-09,4.944701819071816,1.2994452803517737e-05,4.912582290219569e-05
direct_110,10.0,0.5890486225480862,3,0.002777851165098011,0.002777851165098011,stable_local_equilibrium,1.0438373256038691e-14,1,0.816511986332348,7.132295912008879e-05,1.5293612182447108e-08,-1.529152550039782e-08,4.944471334173528,1.8867690302471178e-05,7.132295912008879e-05
direct_110,10.0,0.7853981633974483,4,0.003535533905932738,0.003535533905932738,stable_local_equilibrium,1.0163094324444621e-14,1,0.8165161907198203,9.078061153905064e-05,2.4776172918199797e-08,-2.4771885609025134e-08,4.944269132039699,2.4016992296494216e-05,9.078061153905064e-05
direct_110,10.0,0.9817477042468103,5,0.004157348061512726,0.004157348061512726,stable_local_equilibrium,2.40616988139708e-15,1,0.8165196419501985,0.00010675028111523239,3.425968611563151e-08,-3.425271864134324e-08,4.944103063092936,2.8243869002258604e-05,0.00010675028111523239
direct_110,10.0,1.1780972450961724,6,0.004619397662556434,0.004619397662556434,stable_local_equilibrium,1.1556294116088495e-14,1,0.8165222069004584,0.00011861750936651707,4.230005677830269e-08,-4.229049586056591e-08,4.943979589196251,3.138527867838868e-05,0.00011861750936651707
direct_110,10.0,1.3744467859455345,7,0.004903926402016152,0.004903926402016152,stable_local_equilibrium,4.19152559882896e-16,1,0.8165237865819395,0.00012592560657243533,4.767275235379569e-08,-4.766131363412165e-08,4.943903523151697,3.331998547075846e-05,0.00012592560657243533
direct_110,10.0,1.5707963267948966,8,0.005,0.005,stable_local_equilibrium,4.1644205445168225e-16,1,0.8165243200083097,0.00012839329965264534,4.95594423992268e-08,-4.95473223047051e-08,4.943877833421691,3.3973296681908995e-05,0.00012839329965264534
direct_110,10.0,1.7671458676442586,9,0.004903926402016152,0.004903926402016152,stable_local_equilibrium,4.19152559882896e-16,1,0.8165237865819395,0.00012592560657238134,4.767275235379569e-08,-4.7661313634088033e-08,4.943903523151697,3.331998547075846e-05,0.00012592560657238134
