radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
1.0,0.345530395358912,0.11406789755407434,0.23146249780483763,4,True
1.5,0.5949874935125639,0.1915981679868708,0.403389325525693,10,True
2.0,0.7215691639520291,0.21368574137625126,0.5078834225757777,18,True
2.5,0.7748292936215099,0.18453194197850603,0.5902973516430039,30,True
3.0,0.7877277363166693,0.1461023953494293,0.6416253409672399,40,True
3.5,0.793652784224672,0.08769775939690502,0.7059550248277671,56,True
4.0,0.8008249000741684,0.05048610672042166,0.7503387933537468,72,True
4.5,0.8112866541321496,0.026746608790831284,0.7845400453413183,90,True
5.0,0.8247126340533392,0.0034923667509637255,0.8212202673023755,112,True
5.5,0.8356103285459828,-0.016901014111924767,0.8525113426579077,136,True
6.0,0.8384903512127566,-0.0334221663456011,0.8719125175583576,158,True
