candidate,metric,target,reference,prediction,units,role,scale,error,normalized_residual
historical,legacy_modes,normal_strain_force_ev,0.0,-2.6645352591003757e-15,eV/strain,exact,0.1,-2.6645352591003757e-15,-2.6645352591003757e-14
historical,legacy_modes,cohesive_ev_atom,3.36,3.3599999999999985,eV/atom,exact,0.0672,-1.3322676295501878e-15,-1.9825411154020654e-14
historical,legacy_modes,hydrostatic_strain_curvature_ev,74.01042469890372,67.62980495455083,eV/strain^2,fit,3.700521234945186,-6.3806197443528845,-1.7242489204219895
historical,legacy_modes,normal_strain_curvature_ev,12.646038954154417,14.324079598454126,eV/strain^2,fit,0.6323019477077209,1.6780406442997098,2.653859679514031
historical,legacy_modes,simple_shear_strain_curvature_ev,2.90236959603544,2.496541758739351,eV/strain^2,fit,0.145118479801772,-0.40582783729608884,-2.7965276224670967
historical,legacy_modes,perfect_Haa,19.66091286328976,22.902007120346788,eV/L0^2,fit,1.9660912863289761,3.2410942570570285,1.6484963234381136
historical,legacy_modes,perfect_Hxx,4.393593035123306,4.945211215219163,eV/L0^2,fit,0.43935930351233066,0.5516181800958568,1.2555058597510174
historical,legacy_modes,saddle_energy_at_source_state,0.07624909750742465,0.07330850624166689,eV/cell,fit,0.007624909750742465,-0.0029405912657577554,-0.3856558781527112
historical,legacy_modes,saddle_normal_force_at_source_state,1.4903612010162394e-15,0.19201717063350807,eV/L0,fit,0.03173805605024358,0.19201717063350657,6.050060858470029
historical,legacy_modes,fault_energy_at_source_state,0.06670794504308616,0.05655663699416266,eV/cell,fit,0.006670794504308616,-0.010151308048923502,-1.5217539743379664
historical,legacy_modes,fault_normal_force_at_source_state,5.29078226360765e-15,0.11459941604522933,eV/L0,fit,0.03173805605024358,0.11459941604522404,3.610788759834726
historical,legacy_modes,saddle_path_force_at_source_state,2.296700476743968e-16,-0.1002547510055404,eV/L0,fit,0.03173805605024358,-0.10025475100554064,-3.1588182605396593
historical,legacy_modes,opening_1.1h_energy,0.05670265774764735,0.052736151161659965,eV/cell,fit,0.005670265774764736,-0.003966506585987385,-0.6995274548928809
historical,legacy_modes,opening_1.5h_energy,0.4710312483934004,0.4055972942884202,eV/cell,fit,0.04710312483934004,-0.06543395410498021,-1.3891637620256236
historical,legacy_modes,opening_2h_energy,0.7060534019484034,0.6432885859985569,eV/cell,fit,0.07060534019484034,-0.06276481594984651,-0.888952815419381
historical,legacy_modes,opening_40h_energy,0.7719163228888833,0.7814396545038739,eV/cell,fit,0.07719163228888834,0.009523331614990527,0.12337259017077945
historical,legacy_modes,direct_quarter_energy,0.117221996542065,0.13737163970023514,eV/cell,heldout,0.0117221996542065,0.02014964315817014,1.7189302138305977
historical,legacy_modes,direct_half_energy,0.26732847628894163,0.3014351407762327,eV/cell,heldout,0.026732847628894163,0.03410666448729105,1.2758335722688556
historical,legacy_modes,oblique_energy,0.13339289745734875,0.1374729254511243,eV/cell,heldout,0.013339289745734876,0.004080027993775548,0.30586545997174264
historical,legacy_modes,opening_1.25h_energy,0.24853683654490819,0.19997904266117422,eV/cell,heldout,0.02485368365449082,-0.04855779388373396,-1.9537463564263255
historical,legacy_modes,opening_3h_energy,0.7719163228888833,0.7654370075837443,eV/cell,heldout,0.07719163228888834,-0.006479315305139011,-0.08393805277870386
historical,legacy_modes,saddle_Haa,12.717337762538286,17.426385233625265,eV/L0^2,heldout,1.2717337762538286,4.709047471086979,3.7028563359844964
historical,legacy_modes,saddle_Hxx,-0.18642463121762062,0.6843712505110633,eV/L0^2,heldout,0.018642463121762064,0.8707958817286839,46.710344874555254
historical,legacy_modes,fault_Haa,14.140554350039636,18.45615271320163,eV/L0^2,heldout,1.4140554350039638,4.3155983631619925,3.051930112732741
historical,legacy_modes,fault_Hxx,2.4858929774856264,2.7520902976900428,eV/L0^2,heldout,0.24858929774856264,0.26619732020441633,1.0708317800296594
historical,independent_cubic,normal_strain_force_ev,0.0,-2.6645352591003757e-15,eV/strain,exact,0.1,-2.6645352591003757e-15,-2.6645352591003757e-14
historical,independent_cubic,cohesive_ev_atom,3.36,3.3599999999999985,eV/atom,exact,0.0672,-1.3322676295501878e-15,-1.9825411154020654e-14
