model,observable,units,reference,prediction,LJ_pair,scalar_embedding,quadratic_angular,quartic_angular,density_angular_cross,reconstruction_residual,used_for_fit,adopted
strain_stable_quartic,new_direct_039_Haa,eV/L0^2,36.31678531793335,403.5747503674261,91.68862156113602,68.53888372767656,230.13253508486014,13.214709993753363,0,-5.684341886080802e-14,false,false
strain_stable_cross,new_direct_039_Haa,eV/L0^2,36.31678531793335,369.2008921631586,97.42579586815197,75.61969957938628,182.97614932710724,10.841020649932519,2.3382267385805444,0,false,false
strain_cross_bloch,new_direct_039_Haa,eV/L0^2,36.31678531793335,424.4134819271654,78.54248292902452,80.52087184605122,245.70484217301504,20.20458971671605,-0.5593047376414712,0,false,false
