occupation,rate,time_model,survival,exact_survival,error
0.02,0.1,50.0,0.9048374180359593,0.9048374180359595,2.220446049250313e-16
0.02,0.1,500.0,0.36787944117144233,0.36787944117144233,0.0
0.02,0.1,5000.0,4.539992976248516e-05,4.5399929762484854e-05,3.049318610115481e-19
0.02,10.0,0.5,0.9048374180359593,0.9048374180359595,2.220446049250313e-16
0.02,10.0,5.0,0.36787944117144233,0.36787944117144233,0.0
0.02,10.0,50.0,4.539992976248516e-05,4.5399929762484854e-05,3.049318610115481e-19
0.02,1000.0,0.005,0.9048374180359593,0.9048374180359595,2.220446049250313e-16
0.02,1000.0,0.05,0.36787944117144233,0.36787944117144233,0.0
0.02,1000.0,0.5,4.539992976248516e-05,4.5399929762484854e-05,3.049318610115481e-19
0.2,0.1,4.999999999999999,0.9048374180359596,0.9048374180359595,1.1102230246251565e-16
0.2,0.1,49.99999999999999,0.3678794411714423,0.36787944117144233,5.551115123125783e-17
0.2,0.1,499.9999999999999,4.539992976248477e-05,4.5399929762484854e-05,8.131516293641283e-20
0.2,10.0,0.05,0.9048374180359596,0.9048374180359595,1.1102230246251565e-16
0.2,10.0,0.5,0.3678794411714423,0.36787944117144233,5.551115123125783e-17
0.2,10.0,5.0,4.539992976248477e-05,4.5399929762484854e-05,8.131516293641283e-20
0.2,1000.0,0.0005,0.9048374180359596,0.9048374180359595,1.1102230246251565e-16
0.2,1000.0,0.005,0.3678794411714423,0.36787944117144233,5.551115123125783e-17
0.2,1000.0,0.05,4.539992976248477e-05,4.5399929762484854e-05,8.131516293641283e-20
0.8,0.1,1.2499999999999998,0.9048374180359595,0.9048374180359595,0.0
0.8,0.1,12.499999999999998,0.3678794411714422,0.36787944117144233,1.1102230246251565e-16
0.8,0.1,124.99999999999997,4.5399929762484915e-05,4.5399929762484854e-05,6.098637220230962e-20
0.8,10.0,0.0125,0.9048374180359595,0.9048374180359595,0.0
0.8,10.0,0.125,0.3678794411714422,0.36787944117144233,1.1102230246251565e-16
0.8,10.0,1.25,4.5399929762484915e-05,4.5399929762484854e-05,6.098637220230962e-20
0.8,1000.0,0.000125,0.9048374180359595,0.9048374180359595,0.0
0.8,1000.0,0.00125,0.3678794411714422,0.36787944117144233,1.1102230246251565e-16
0.8,1000.0,0.0125,4.5399929762484915e-05,4.5399929762484854e-05,6.098637220230962e-20
