q_A,relative_energy_eV,reaction_eV_A,free_gradient_max_eV_A
2.640940936923146,0.0,4.163336342344337e-17,4.9611356689460706e-14
2.7037240326442973,0.012872079946559367,0.4001525552355461,4.4536077822322773e-07
2.766507128365449,0.049000956350864655,0.7407525109276905,4.828031853801838e-07
2.829290224086601,0.10460333579494518,1.0200100753220127,4.544307131227124e-07
2.8920733198077526,0.17571434858604196,1.2339579066130877,4.814564187310272e-07
2.954856415528904,0.2580571681182171,1.3766772801921954,4.007264127183982e-07
3.017639511250056,0.3469332461624841,1.4407601098877818,4.0440431925024486e-07
3.080422606971208,0.4371549101386476,1.4182469043837913,4.223032944380978e-07
3.1432057026923594,0.5230614956097881,1.3024282341735254,4.131954112621475e-07
3.205988798413511,0.598689644244407,1.0910598611886773,4.298804599680954e-07
3.268771894134663,0.6582068609394112,0.791630203714978,4.238127064956805e-07
3.3315549898558148,0.6967487772719383,0.428897039357361,4.2945002224183473e-07
3.3943380855769663,0.711763594800245,0.052877584865789314,4.095003317655362e-07
3.4571211812981177,0.7046986523758081,-0.260259758388175,4.366044081063891e-07
3.5199042770192697,0.6820878988054289,-0.43179077551607487,4.3088805472789315e-07
3.5826873727404216,0.6539458952747501,-0.44175949247410917,4.1773420137629705e-07
3.645470468461573,0.6283929023571146,-0.3666605546495113,4.3816181481215813e-07
3.7082535641827246,0.6080716190856714,-0.2808631364134073,4.735185342064248e-07
3.7710366599038765,0.5930931281044298,-0.1965654445123639,3.6823779304105686e-07
3.8338197556250284,0.5833534795538404,-0.11399576041686846,4.0660102571454457e-07
3.89660285134618,0.5787405093522247,-0.03327077876358565,3.536659671792182e-07
3.9593859470673314,0.5791347942786396,0.045495130984489415,4.975637659379237e-07
4.022169042788484,0.5844098177802057,0.12219020619885776,4.195413938184317e-07
4.084952138509635,0.5944321751245623,0.1967070173044538,3.789088575860758e-07
4.147735234230787,0.6090618214658488,0.26894198515164847,3.438314844124435e-07
4.210518329951938,0.6281523142313685,0.33879272008110367,4.4029246211462793e-07
4.27330142567309,0.6515499118332548,0.4061107262684735,4.926856604558702e-07
4.336084521394242,0.6790844742497444,0.4704593243408256,4.64814433516654e-07
4.3988676171153935,0.7105373962495114,0.5306421047385705,4.4990620453114194e-07
4.461650712836545,0.7455772844611488,0.5841705568362705,4.740848588216662e-07
4.524433808557697,0.7836545483103361,0.6262729957882769,4.781377324577542e-07
4.587216904278849,0.8159013566585345,0.2563504120378675,4.5519898466805236e-07
4.65,0.831370580750348,0.24481929576108363,4.1170251665511226e-07
