kmax,pmax,Uaa,Uss,curvature_ratio
20,50,106.76184057530831,25.717922619965663,0.2408905886352212
40,100,106.76164314335489,25.717922619037147,0.24089103410017995
80,200,106.76163014110915,25.717922619022065,0.24089106343758646
120,300,106.76162942806505,25.717922619021845,0.24089106504645783
200,500,106.76162927384597,25.71792261902182,0.24089106539442906
